CODIGO;ENTIDAD;NOMBRE FANTASIA;DIRECCION;COMUNA;HORARIO REFERENCIAL;ESTE;NORTE;LONGITUD;LATITUD
424;Fullcarga;EL RINCON DEL GUSTO MAIPU;CERRO BLANCO 0625;MAIPU;;334334;6288064;-70.78489467;-33.53436509
940;Fullcarga;LALITO SN RAMON;URUGUAY 1612;SAN RAMON;;347374;6288474;-70.64443457;-33.53259911
954;Fullcarga;LUIS ARAYA CARVAJAL;TAMARUGOS 3554;RENCA;;342184;6304138;-70.6967945734628;-33.3903495490553
1957;Fullcarga;DON ALEJO LO ESPEJO;AV. SANTA ANITA 7666;LO ESPEJO;;343168;6289947;-70.6886937574691;-33.5184399537654
3256;Fullcarga;LOS PEQUES SN JOAQUIN;CHILOE 264;SAN JOAQUIN;;349332;6290636;-70.62299239;-33.51340381
3316;Fullcarga;NISSY LA PINTANA;JOAQUIN EDWARDS BELLO 10999;LA PINTANA;;349448;6285070;-70.62268808;-33.56360171
9878;Fullcarga;ERICHOPER;LOS RETAMOS 5615;HUECHURABA;;349062;6305684;-70.62318232;-33.37779948
10347;Fullcarga;DON ORLANDO RENCA;ARTURO PRAT 5725 DPTO 11;RENCA;;338912;6302602;-70.73299013;-33.40400045
10489;Fullcarga;NOLBERTO VALDES NAVARRO;CALLE 462  5994;PENALOLEN;;354320;6291989;-70.56833145643716;-33.50171990370461
10767;Fullcarga;BAZAR LA KUKA;AV. RECOLETA 4021;RECOLETA;;347250;6304432;-70.6422992625761;-33.3884287445116
11278;Fullcarga;SUPER OFERTAS SANTIAGO;CARMEN 2263 - A;SANTIAGO;;348110;6295008;-70.63530722;-33.47396145
11352;Fullcarga;LICORES JUAN INAREJO;GONZALO BULNES 2302;QUINTA NORMAL;;342217;6300718;-70.69780225;-33.42147769
11730;Fullcarga;FERRADA GONZALEZ JOSEFINA;CALLE JOSE MIGUEL CARRERA 1001;LA FLORIDA;;353791;6286598;-70.57490277777778;-33.55014138888888
12212;Fullcarga;SOMOS;TALINAY 9753;LA REINA;;357704;6296775;-70.53190641;-33.45919537
12214;Fullcarga;ATEMIS COMPUTACION;GABRIELA PONIENTE 519;PUENTE ALTO;;352713;6283332;-70.58762524;-33.57983789
