CODIGO;ENTIDAD;DIRECCION;COMUNA;HORARIO;ESTE;NORTE;LONGITUD;LATITUD
2;ServiPag;OHIGGINS 038;QUILICURA;"Lun a Vie 07:00 a 22:00 Sab 08:00 a 22:00 Dom y Festivos 09:00 a 22:00";339123;6306982;-70.729876;-33.364559
3;ServiPag;SAN JOSE DE LA ESTRELLA 1189 (Pony Stripcenter);LA FLORIDA;"Lun a Vie 07:00 a 22:00 Sab 08:00 a 22:00 Dom y Festivos 09:00 a 22:00";352564;6286262;-70.601006831;-33.553779642
4;ServiPag;AV. RECOLETA 5615;HUECHURABA;"Lun a Vie 07:00 a 22:00 Sab 08:00 a 22:00 Dom y Festivos 09:00 a 22:00";347803;6306036;-70.6369873306668;-33.3743266728215
6;ServiPag;AV. EJERCITO LIBERTADOR 3263 (3269);PUENTE ALTO;"Lun a Vie 07:00 a 22:00 Sab 08:00 a 22:00 Dom y Festivos 09:00 a 22:00";347803;6306036;-70.5972527520502;-33.5814585895894
7;ServiPag;AV. SANTA ROSA 10286;LA GRANJA;"Lun a Vie 07:00 a 22:00 Sab 08:00 a 22:00 Dom y Festivos 09:00 a 22:00";348592;6286067;-70.631563987;-33.554597748
9;ServiPag;AV. INDEPENDENCIA 5784;CONCHALI;"Lun a Vie 07:00 a 22:00 Sab 08:00 a 22:00 Dom y Festivos 09:00 a 22:00";343185;6306004;-70.686334698276;-33.3741907681277
12;ServiPag;AV. ESCUELA AGRICOLA 3142 (3150);MACUL;"Lun a Vie 07:00 a 22:00 Sab 08:00 a 22:00 Dom y Festivos 09:00 a 22:00";351432;6293259;-70.5997571459929;-33.4901010496947
13;ServiPag;AV. CENTRAL CARDENAL RAUL SILVA HENRIQUEZ 8515;LO ESPEJO;"Lun a Vie 07:00 a 22:00 Sab 08:00 a 22:00 Dom y Festivos 09:00 a 22:00";342431;6289583;-70.696075782;-33.520068943
15;ServiPag;AV. SENADOR JAIME GUZMAN 1305;RENCA;"Lun a Vie 07:00 a 22:00 Sab 08:00 a 22:00 Dom y Festivos 09:00 a 22:00";341609;6302502;-70.703798;-33.40544
24;ServiEstado;AV. FLORENCIO BARRIOS 1660;LAS CONDES;"Lun a Vie 07:00 a 22:00 Sab 08:00 a 22:00 Dom y Festivos 09:00 a 22:00";355739;6300507;-70.5522593772394;-33.4253931794707
26;ServiPag;AV. DEPARTAMENTAL 518;SAN MIGUEL;"Lun a Vie 07:00 a 22:00 Sab 08:00 a 22:00 Dom y Festivos 09:00 a 22:00";347788;6291309;-70.639512099;-33.507196804
34;ServiPag;AV. SAN PABLO 8636;PUDAHUEL;"Lun a Vie 07:00 a 22:00 Sab 08:00 a 22:00 Dom y Festivos 09:00 a 22:00";337199;6298107;-70.7522291375094;-33.444357051398 
36;ServiEstado;AV. FRANCISCO BILBAO 1966;PROVIDENCIA;"Lun a Vie 07:00 a 22:00 Sab 08:00 a 22:00 Dom y Festivos 09:00 a 22:00";350564;6298983;-70.608272575;-33.438292644
41;ServiEstado;FREIRE 399;SAN BERNARDO;"Lun a Vie 07:00 a 22:00 Sab 08:00 a 22:00 Dom y Festivos 09:00 a 22:00";342027;6282009;-70.70359;-33.591856
44;ServiPag;AV. PAJARITOS 4921;MAIPU;"Lun a Vie 07:00 a 22:00 Sab 08:00 a 22:00 Dom y Festivos 09:00 a 22:00";338267;6294537;-70.740805595;-33.477084768
49;ServiPag;JOSE JOAQUIN PEREZ 6035;QUINTA NORMAL;"Lun a Vie 07:00 a 22:00 Sab 08:00 a 22:00 Dom y Festivos 09:00 a 22:00";340246;6299652;-70.718979261;-33.430827596
59;Fullcarga;AV. 5 DE ABRIL 5101 (Esq. Las Rejas Sur);ESTACION CENTRAL;"Lun a Vie 07:00 a 22:00 Sab 08:00 a 22:00 Dom y Festivos 09:00 a 22:00";341522;6295906;-70.7053621313577;-33.4644668833812
64;Fullcarga;AV. EL SALTO 2693;RECOLETA;"Lun a Vie 07:00 a 22:00 Sab 08:00 a 22:00 Dom y Festivos 09:00 a 22:00";348432;6302977;-70.6304929349206;-33.4021305440776
66;Fullcarga;AV. INDEPENDENCIA 2127 (Exterior Supermercado Monserrat );INDEPENDENCIA;"Lun a Vie 07:00 a 22:00 Sab 08:00 a 22:00 Dom y Festivos 09:00 a 22:00";345636;6302389;-70.660524371;-33.406932263
70;Fullcarga;PIO NONO 03;PROVIDENCIA;"Lun a Vie 07:00 a 22:00 Sab 08:00 a 22:00 Dom y Festivos 09:00 a 22:00";348029;6299351;-70.63540677;-33.434685966
78;Fullcarga;AV. CLOTARIO BLEST 5190;PEDRO A. CERDA;"Lun a Vie 07:00 a 22:00 Sab 08:00 a 22:00 Dom y Festivos 09:00 a 22:00";344292;6292613;-70.676792614;-33.494994668
79;Fullcarga;SAN FRANCISCO 685;SANTIAGO;"Lun a Vie 07:00 a 22:00 Sab 08:00 a 22:00 Dom y Festivos 09:00 a 22:00";347030;6297244;-70.64663853;-33.45349244
93;ServiEstado;MANUEL RODRIGUEZ 1853;MAIPU;"Lun a Vie 07:00 a 22:00 Sab 08:00 a 22:00 Dom y Festivos 09:00 a 22:00";336620;6290790;-70.75978192;-33.51014368
95;Fullcarga;AV PEDRO DE VALDIVIA 3399 ;NUNOA;"Lun a Vie 07:00 a 22:00 Sab 08:00 a 22:00 Dom y Festivos 09:00 a 22:00";350933;6296934;-70.6049706416048;-33.453692341057
98;Fullcarga;ALCALDE FERNANDO CASTILLO VELASCO 8900;LA REINA;"Lun a Vie 07:00 a 22:00 Sab 08:00 a 22:00 Dom y Festivos 09:00 a 22:00";356883;6297649;-70.5404113867119;-33.4513184212625
