CODIGO;ENTIDAD;NOMBRE FANTASIA;DIRECCION;COMUNA;HORARIO REFERENCIAL;ESTE;NORTE;LONGITUD;LATITUD
100;UNIMARC;UNIMARC ZAPADORES;ZAPADORES 1320;CONCHALI;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;345213;6304640;-70.6641478015796;-33.3862617267971
101;UNIMARC;UNIMARC LAS REJAS;LAS REJAS SUR 1279;ESTACION CENTRAL;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;341557;6295424;-70.70507104166667;-33.46882000000001
102;UNIMARC;UNIMARC JUAN ANTONIO RIOS;SALOMON SACK 351;INDEPENDENCIA;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;344653;6300937;-70.67080616666668;-33.419566666666654
103;UNIMARC;UNIMARC-INDEPENDENCIA;AV. EL GUANACO 3100;CONCHALI;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;345812;6303726;-70.6578679616206;-33.3945915377861
104;UNIMARC;UNIMARC LO OVALLE;GRAN AVENIDA 6555;LA CISTERNA;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;345864;6290169;-70.65963511904762;-33.516832083333334
105;UNIMARC;UNIMARC VICUÑA PARAD 19;AV.VICUÑA MACKENNA 9090;LA FLORIDA;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;352240;6287757;-70.5914099988768;-33.5394802038029
106;UNIMARC;UNIMARC ROJAS MAGALLANES;ROJAS MAGALLANES 3638;LA FLORIDA;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;355705;6288235;-70.5547798666583;-33.5359270019668
107;UNIMARC;UNIMARC MIRADOR;VICUÑA MACKENNA ORIENTE 6331;LA FLORIDA;Lun-Dom 09:00 a 21:00 ;350733;6290567;-70.6071683333333;-33.513935000000004
108;UNIMARC;UNIMARC VICENTE VALDES;VICENTE VALDES 085;LA FLORIDA;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;352027;6289200;-70.5934611759999;-33.5264369719999
109;UNIMARC;UNIMARC LA REINA;PRINCIPE DE GALES 7271;LA REINA;Lun-Vie 08:30 a 22:00 Sab 08:30 a 22:00 Dom 08:30 a 22:00 ;355356;6298989;-70.5566216661032;-33.439033930051
