shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
A_I,-22.4283090,-68.9265140,1
A_I,-22.4286260,-68.9246870,2
A_I,-22.4289800,-68.9246520,3
A_I,-22.4299540,-68.9248370,4
A_I,-22.4306810,-68.9249600,5
A_I,-22.4315530,-68.9251450,6
A_I,-22.4320000,-68.9252500,7
A_I,-22.4324340,-68.9253410,8
A_I,-22.4326440,-68.9254320,9
A_I,-22.4328680,-68.9257350,10
A_I,-22.4330270,-68.9257960,11
A_I,-22.4333670,-68.9258890,12
A_I,-22.4331070,-68.9272650,13
A_I,-22.4356080,-68.9277730,14
A_I,-22.4370930,-68.9280710,15
A_I,-22.4372590,-68.9280870,16
A_I,-22.4373310,-68.9280950,17
A_I,-22.4374040,-68.9281180,18
A_I,-22.4374400,-68.9281340,19
A_I,-22.4374760,-68.9281730,20
A_I,-22.4374970,-68.9282120,21
A_I,-22.4372740,-68.9296180,22
A_I,-22.4372740,-68.9296970,23
A_I,-22.4373020,-68.9297900,24
A_I,-22.4373670,-68.9297820,25
A_I,-22.4388300,-68.9300900,26
A_I,-22.4386980,-68.9307980,27
A_I,-22.4386860,-68.9308640,28
A_I,-22.4385780,-68.9316020,29
A_I,-22.4384460,-68.9323710,30
A_I,-22.4389450,-68.9325140,31
A_I,-22.4387610,-68.9335520,32
A_I,-22.4386050,-68.9344350,33
A_I,-22.4383880,-68.9356590,34
A_I,-22.4391280,-68.9358150,35
A_I,-22.4399120,-68.9359810,36
A_I,-22.4400010,-68.9355800,37
A_I,-22.4398740,-68.9347010,38
A_I,-22.4397700,-68.9339780,39
A_I,-22.4397350,-68.9337540,40
A_I,-22.4397050,-68.9335640,41
A_I,-22.4396910,-68.9334310,42
A_I,-22.4397120,-68.9332980,43
A_I,-22.4397410,-68.9330720,44
A_I,-22.4398240,-68.9327040,45
A_I,-22.4412650,-68.9329780,46
A_I,-22.4413230,-68.9330560,47
A_I,-22.4414670,-68.9331030,48
A_I,-22.4426590,-68.9333370,49
A_I,-22.4425340,-68.9340960,50
A_I,-22.4423770,-68.9349470,51
A_I,-22.4422830,-68.9355040,52
A_I,-22.4420200,-68.9370570,53
