stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
PV-8-1,,Alonso De Ercilla esq. Ollantay,,-22.451457,-68.950819,,,,,
PV-84-1,,Rafael Sotomayor esq. Rupanco,,-22.463211,-68.947774,,,,,
PV-97-13,,Vasco De Gama esq. Libertador Bernardo O'Higgins,,-22.45459,-68.934114,,,,,
PV-93-1,,Tarapacá esq. Luis Risopatrón,,-22.457724,-68.933043,,,,,
PV-54-3,,Independencia esq. Honduras,,-22.442643,-68.933075,,,,,
PV-47-15,,Grecia esq. Cerro Jardín,,-22.467,-68.933,,,,,
PV-12-2,,Arturo Prat esq. Italia,,-22.444203,-68.933153,,,,,
PV-83-2,,Puritama esq. Ollagüe,,-22.478,-68.933,,,,,
PV-56-1,,Javiera Carrera esq. Grecia,,-22.465,-68.933,,,,,
PV-51-1,,Honduras esq. Canadá,,-22.44101,-68.93296,,,,,
PV-32-3,,Diego De Almagro esq. Grecia,,-22.448022,-68.932812,,,,,
PV-56-2,,Javiera Carrera esq. Grecia,,-22.465025,-68.933005,,,,,
PV-87-3,,Rupanco esq. Vasco De Gama,,-22.455,-68.947,,,,,
PV-26-2,,Clotario Blest esq. Alejandro Cerutti,,-22.438819,-68.932973,,,,,
PV-27-2,,Cobija esq. Llama,,-22.46778,-68.932144,,,,,
PV-97-14,,Vasco De Gama esq. Venezuela,,-22.454662,-68.932015,,,,,
PV-32-4,,Diego De Almagro esq. Grecia,,-22.447543,-68.932101,,,,,
PV-47-4,,Grecia esq. Arturo Prat,,-22.444,-68.932,,,,,
PV-47-5,,Grecia esq. Finlandia,,-22.44699,-68.932452,,,,,
PV-27-3,,Cobija esq. Guanaco,,-22.4678,-68.931981,,,,,
PV-73-1,,Ojo De Apache esq. Puritama,,-22.481,-68.932,,,,,
PV-17-3,,Bolivia esq. Honduras,,-22.44,-68.932,,,,,
PV-47-2,,Grecia esq. Canadá,,-22.442071,-68.9316,,,,,
PV-86-1,,Ralún esq. Agrebus,,-22.464048,-68.947264,,,,,
PV-34-2,,Doctor Carlos Cisternas esq. Lautaro,,-22.458838,-68.932022,,,,,
PV-47-3,,Grecia esq. Independencia,,-22.443195,-68.931691,,,,,
PV-34-1,,Doctor Carlos Cisternas esq. Pedro Aguirre Cerda,,-22.458731,-68.932022,,,,,
PV-47-16,,Grecia esq. Aconcagua,,-22.472043,-68.93135,,,,,
PV-24-1,,Chala esq. Polapi,,-22.478065,-68.931022,,,,,
PV-97-15,,Vasco De Gama esq. Costa Rica,,-22.454506,-68.931016,,,,,
PV-47-1,,Grecia esq. Bolivia,,-22.441005,-68.931269,,,,,
PV-9-1,,Aníbal Pinto esq. Tarapacá,,-22.458027,-68.931097,,,,,
PV-47-17,,Grecia esq. Aconcagua,,-22.472038,-68.931194,,,,,
PV-89-1,,Santiago esq. Grecia,,-22.474467,-68.931086,,,,,
PV-66-3,,Maipú esq. Pucón,,-22.45358,-68.947027,,,,,
PV-12-3,,Arturo Prat esq. Dinamarca,,-22.444672,-68.93095,,,,,
PV-47-18,,Grecia esq. Turi,,-22.474962,-68.93072,,,,,
PV-31-2,,Costa Rica esq. Alonso De Ercilla,,-22.453048,-68.930968,,,,,
PV-50-10,,Hernán Cortés esq. Colombia,,-22.450254,-68.931077,,,,,
PV-33-4,,Dinamarca esq. Arturo Prat,,-22.444038,-68.930386,,,,,
PV-9-2,,Aníbal Pinto esq. Vicuña Mackenna,,-22.464161,-68.930529,,,,,
PV-38-2,,Eleuterio Ramírez esq. Aníbal Pinto,,-22.462038,-68.930005,,,,,
PV-38-1,,Eleuterio Ramírez esq. Pedro Aguirre Cerda,,-22.462039,-68.930036,,,,,
PV-31-1,,Costa Rica esq. Federico Errazuriz,,-22.450994,-68.930214,,,,,
PV-12-4,,Arturo Prat esq. Dinamarca,,-22.444757,-68.929964,,,,,
PV-41-1,,Federico Errazuriz esq. Huaka Huali,,-22.450043,-68.947005,,,,,
PV-47-19,,Grecia esq. Turi,,-22.475989,-68.930199,,,,,
PV-92-2,,Talca esq. Alejandro Rodríguez,,-22.438672,-68.930107,,,,,
PV-33-2,,Dinamarca esq. Independencia,,-22.442,-68.93,,,,,
PV-54-5,,Independencia esq. Dinamarca,,-22.443172,-68.930011,,,,,
PV-5-4,,Alejandro Rodríguez esq. Talca,,-22.438782,-68.929907,,,,,
PV-27-4,,Cobija esq. Chinchilla,,-22.467,-68.93,,,,,
PV-92-1,,Talca esq. La Tirana,,-22.438005,-68.929946,,,,,
PV-60-1,,La Tirana esq. Arica,,-22.438014,-68.929852,,,,,
PV-47-20,,Grecia esq. Quemazón,,-22.478757,-68.929529,,,,,
PV-97-4,,Vasco De Gama esq. Rupanco,,-22.455,-68.946,,,,,
PV-33-1,,Dinamarca esq. Bolivia,,-22.441071,-68.929686,,,,,
PV-69-3,,Mejillones esq. Freirina,,-22.434952,-68.92935,,,,,
PV-11-7,,Argentina esq. Federico Errazuriz,,-22.452,-68.929576,,,,,
PV-10-1,,Antofagasta esq. Santa María,,-22.459878,-68.929039,,,,,
PV-96-1,,Valdivia esq. Punta Arenas,,-22.470938,-68.929509,,,,,
PV-46-22,,Granaderos esq. Tarapacá,,-22.457,-68.929032,,,,,
PV-11-6,,Argentina esq. Finlandia,,-22.448,-68.929,,,,,
PV-27-5,,Cobija esq. Miscanti,,-22.466643,-68.929418,,,,,
