id;entity;name;address;schedule;longitude;latitude;services
1;UNIMARC;UNIMARC LAS REJAS;LAS REJAS SUR 1279;Lun-Dom 09:00 a 20:00;-70.70507104166667;-33.46882000000001;Carga de tarjetas,Consulta de saldo, Activación de carga remota
2;UNIMARC;UNIMARC JUAN ANTONIO RIOS;SALOMON SACK 351;Lun-Dom 09:00 a 20:00;-70.67080616666668;-33.419566666666654;Carga de tarjetas,Consulta de saldo, Activación de carga remota
3;UNIMARC;UNIMARC-INDEPENDENCIA;AVDA. EL GUANACO 3100;Lun-Dom 09:00 a 20:00;-70.6578679616206;-33.3945915377861;Carga de tarjetas,Consulta de saldo, Activación de carga remota
4;UNIMARC;UNIMARC LO OVALLE;GRAN AVENIDA 6555;Lun-Dom 09:00 a 20:00;-70.65963511904762;-33.516832083333334;Carga de tarjetas,Consulta de saldo, Activación de carga remota
5;UNIMARC;UNIMARC VICUÑA PARAD 19;AVDA.VICUÑA MACKENNA 9090;Lun-Dom 09:00 a 20:00;-70.5914099988768;-33.5394802038029;Carga de tarjetas,Consulta de saldo, Activación de carga remota
6;UNIMARC;UNIMARC ROJAS MAGALLANES;ROJAS MAGALLANES 3638;Lun-Dom 09:00 a 20:00;-70.5547798666583;-33.5359270019668;Carga de tarjetas,Consulta de saldo, Activación de carga remota
7;UNIMARC;UNIMARC MIRADOR;VICUÑA MACKENNA ORIENTE 6331;Lun-Dom 09:00 a 20:00;-70.6071683333333;-33.513935000000004;Carga de tarjetas,Consulta de saldo, Activación de carga remota
8;UNIMARC;UNIMARC VICENTE VALDES;VICENTE VALDES 087;Lun-Dom 09:00 a 20:00;-70.595128;-33.526600;Carga de tarjetas,Consulta de saldo, Activación de carga remota
9;UNIMARC;UNIMARC LA REINA;PRINCIPE DE GALES 7271;Lun-Dom 09:00 a 20:00;-70.5566216661032;-33.439033930051;Carga de tarjetas,Consulta de saldo, Activación de carga remota
10;UNIMARC;UNIMARC BATUCO;AVDA. FRANCIA 640;Lun-Dom 09:00 a 20:00;-70.80771748822639;-33.230514171094136;Carga de tarjetas,Consulta de saldo, Activación de carga remota
11;UNIMARC;UNIMARC LARAPINTA;LOS HALCONES 2180;Lun-Dom 09:00 a 20:00;-70.86674258469635;-33.294249826808695;Carga de tarjetas,Consulta de saldo, Activación de carga remota
12;UNIMARC;UNIMARC LAS CONDES;AVDA. LAS CONDES 14791;Lun-Dom 09:00 a 20:00;-70.4992863209999;-33.3671586729999;Carga de tarjetas,Consulta de saldo, Activación de carga remota
13;UNIMARC;UNIMARC LOS MILITARES;MANQUEHUE NORTE 457;Lun-Dom 09:00 a 20:00;-70.569019;-33.403826;Carga de tarjetas,Consulta de saldo, Activación de carga remota
14;UNIMARC;UNIMARC ESC. MILITAR;AVDA. APOQUINDO 4335;Lun-Dom 09:00 a 20:00;-70.5854137269988;-33.4151957807766;Carga de tarjetas,Consulta de saldo, Activación de carga remota
15;UNIMARC;UNIMARC MANQUEHUE;MANQUEHUE 1700;Lun-Dom 09:00 a 20:00;-70.5638241520871;-33.4267767581412;Carga de tarjetas,Consulta de saldo, Activación de carga remota
16;UNIMARC;UNIMARC LOS TRAPENSES;AVDA. JOSE ALCALDE DELANO 10497;Lun-Dom 09:00 a 20:00;-70.539645;-33.356825;Carga de tarjetas,Consulta de saldo, Activación de carga remota
17;UNIMARC;UNIMARC 2da TRANSVERSAL MAIPU;SEGUNDA TRANSVERSAL 4090;Lun-Dom 09:00 a 20:00;-70.742400759;-33.488491715;Carga de tarjetas,Consulta de saldo, Activación de carga remota
18;UNIMARC;UNIMARC EL ROSAL;AVENIDA EL ROSAL 6361;Lun-Dom 09:00 a 20:00;-70.755865037;-33.4790914719999;Carga de tarjetas,Consulta de saldo, Activación de carga remota
19;UNIMARC;UNIMARC MAIPU 4 PONIENTE ;CUATRO PONIENTE 1197;Lun-Dom 09:00 a 20:00;-70.7929883333333;-33.5311133333333;Carga de tarjetas,Consulta de saldo, Activación de carga remota
20;UNIMARC;UNIMARC SILVA CARVALLO;SILVA CARVALLO 1414;Lun-Dom 09:00 a 20:00;-70.7748811580075;-33.5317578837243;Carga de tarjetas,Consulta de saldo, Activación de carga remota
21;UNIMARC;UNIMARC ABRAZO DE MAIPU;AVDA. JORGE GUERRA 16190;Lun-Dom 09:00 a 20:00;-70.77119666666665;-33.542105555555565;Carga de tarjetas,Consulta de saldo, Activación de carga remota
22;UNIMARC;UNIMARC IGNACIO CARRERA PINTO;CAPITAN IGNACIO CARRERA PINTO 3857;Lun-Dom 09:00 a 20:00;-70.590836;-33.471126;Carga de tarjetas,Consulta de saldo, Activación de carga remota
23;UNIMARC;UNIMARC IRARRAZAVAL;AVDA. IRARRAZAVAL 4354;Lun-Dom 09:00 a 20:00;-70.5832589036208;-33.454682812099;Carga de tarjetas,Consulta de saldo, Activación de carga remota
24;UNIMARC;UNIMARC VILLA OLIMPICA;OBISPO ORREGO 1250;Lun-Dom 09:00 a 20:00;-70.620126539;-33.4622026659999;Carga de tarjetas,Consulta de saldo, Activación de carga remota
25;UNIMARC;UNIMARC GRECIA;AVDA. GRECIA 320;Lun-Dom 09:00 a 20:00;-70.624774370013;-33.4570436385942;Carga de tarjetas,Consulta de saldo, Activación de carga remota
26;UNIMARC;UNIMARC LOS LEONES;GENERAL JOSE ARTIGAS 3250;Lun-Dom 09:00 a 20:00;-70.5979928378057;-33.4492817398444;Carga de tarjetas,Consulta de saldo, Activación de carga remota
27;UNIMARC;UNIMARC BUIN MAIPO;CAMINO BUIN MAIPO 3147;Lun-Dom 09:00 a 20:00;-70.775400;-33.731020;Carga de tarjetas,Consulta de saldo, Activación de carga remota
28;UNIMARC;UNIMARC MANUEL MONTT;AVDA. IRARRAZAVAL 1740;Lun-Dom 09:00 a 20:00;-70.612909;-33.453171;Carga de tarjetas,Consulta de saldo, Activación de carga remota
29;UNIMARC;UNIMARC CONSISTORIAL;AVDA. CONSISTORIAL 2701;Lun-Dom 09:00 a 20:00;-70.54804093749999;-33.48475083333333;Carga de tarjetas,Consulta de saldo, Activación de carga remota
30;UNIMARC;UNIMARC FCO. BILBAO;BILBAO 2050;Lun-Dom 09:00 a 20:00;-70.60635638888888;-33.43787740740739;Carga de tarjetas,Consulta de saldo, Activación de carga remota
31;UNIMARC;UNIMARC CIUDAD DE LOS VALLES;AVDA. EN CANAL 19591;Lun-Dom 09:00 a 20:00;-70.843834;-33.44899;Carga de tarjetas,Consulta de saldo, Activación de carga remota
32;UNIMARC;UNIMARC CONCHA y TORO;AVDA. CONCHA Y TORO 3193;Lun-Dom 09:00 a 20:00;-70.5810930577196;-33.5810872192106;Carga de tarjetas,Consulta de saldo, Activación de carga remota
33;UNIMARC;UNIMARC TRONCAL SAN FRANCISCO;AVDA. LAS NIEVES 02251;Lun-Dom 09:00 a 20:00;-70.55648055378825;-33.58999730657146;Carga de tarjetas,Consulta de saldo, Activación de carga remota
34;UNIMARC;UNIMARC CARRASCAL;GONZALO BULNES 2407;Lun-Dom 09:00 a 20:00;-70.69770881268451;-33.41897606779182;Carga de tarjetas,Consulta de saldo, Activación de carga remota
35;UNIMARC;UNIMARC BUIN;BALMACEDA 280;Lun-Dom 09:00 a 20:00;-70.739633;-33.732849;Carga de tarjetas,Consulta de saldo, Activación de carga remota
36;UNIMARC;UNIMARC ALTO JAHUEL;MIRAFLORES 242;Lun-Dom 09:00 a 20:00;-70.68438;-33.735082;Carga de tarjetas,Consulta de saldo, Activación de carga remota
37;UNIMARC;UNIMARC SAN JOAQUIN;SANTA ROSA 5320;Lun-Dom 09:00 a 20:00;-70.63829166666666;-33.5057238888889;Carga de tarjetas,Consulta de saldo, Activación de carga remota
38;UNIMARC;UNIMARC GRAN AVENIDA 1;GRAN AVENIDA 5485 - 5620;Lun-Dom 09:00 a 20:00;-70.65522499999997;-33.50367933333334;Carga de tarjetas,Consulta de saldo, Activación de carga remota
39;UNIMARC;UNIMARC ESTADO;ESTADO 85-93-95;Lun-Dom 09:00 a 20:00;-70.6490317802572;-33.44197592224275;Carga de tarjetas,Consulta de saldo, Activación de carga remota
40;UNIMARC;UNIMARC ESPACIO M;COMPAÑIA 1214;Lun-Dom 09:00 a 20:00;-70.6540427730639;-33.4386299257484;Carga de tarjetas,Consulta de saldo, Activación de carga remota
41;UNIMARC;UNIMARC RENCA BIGGER;AVDA. BRASIL 7073-7085;Lun-Dom 09:00 a 20:00;-70.7452052654659;-33.4003926036353;Carga de tarjetas,Consulta de saldo, Activación de carga remota
42;UNIMARC;UNIMARC VITACURA;AVDA. VITACURA 4607;Lun-Dom 09:00 a 20:00;-70.58644919291348;-33.39845424503488;Carga de tarjetas,Consulta de saldo, Activación de carga remota
43;UNIMARC;UNIMARC SANTA MARIA;SANTA MARIA 6940;Lun-Dom 09:00 a 20:00;-70.5685015296984;-33.37672678934954;Carga de tarjetas,Consulta de saldo, Activación de carga remota
44;UNIMARC;UNIMARC PUDAHUEL;SAN PABLO 8315;Lun-Dom 09:00 a 20:00;-70.74089;-33.444551;Carga de tarjetas,Consulta de saldo, Activación de carga remota
45;UNIMARC;UNIMARC HUECHURABA;AVDA. PEDRO FONTOVA 7626;Lun-Dom 09:00 a 20:00;-70.6702618902826;-33.3491351263854;Carga de tarjetas,Consulta de saldo, Activación de carga remota
46;UNIMARC;UNIMARC PORTUGAL;PORTUGAL 579;Lun-Dom 09:00 a 20:00;-70.63514240599;-33.4492998960469;Carga de tarjetas,Consulta de saldo, Activación de carga remota
47;UNIMARC;UNIMARC EL ABRAZO;CAMINO A MELIPILLA 16860;Lun-Dom 09:00 a 20:00;-70.780068;-33.543589;Carga de tarjetas,Consulta de saldo, Activación de carga remota
48;UNIMARC;UNIMARC LOS DOMINICOS;AVDA. LOS DOMINICOS 8630;Lun-Dom 09:00 a 20:00;-70.5444439874589;-33.4097939366661;Carga de tarjetas,Consulta de saldo, Activación de carga remota
49;UNIMARC;UNIMARC ALFEREZ REAL;MANUEL MONTT 1097 ESQUINA ALFEREZ REAL PISO -1;Lun-Dom 09:00 a 20:00;-70.615965752;-33.437514134;Carga de tarjetas,Consulta de saldo, Activación de carga remota
50;UNIMARC;OK MARKET ELIODORO YAÑEZ;AVDA. PROVIDENCIA 753-759-763;Lun-Dom 09:00 a 20:00;-70.62545892622124;-33.43295613888134;Carga de tarjetas,Consulta de saldo, Activación de carga remota
51;UNIMARC;OK MARKET EL RODEO;LA DEHESA 2035 LOCAL 3 y 4;Lun-Dom 09:00 a 20:00;-70.51831066;-33.35236727;Carga de tarjetas,Consulta de saldo, Activación de carga remota
52;UNIMARC;Ok Market Ciudad Empresarial;AVENIDA SANTA CLARA 354, LOCALES 102 Y 107;Lun-Dom 09:00 a 20:00;-70.6144908536614;-33.3930467031672;Carga de tarjetas,Consulta de saldo, Activación de carga remota
53;UNIMARC;Ok Market Brown Norte;AVDA. IRARRAZABAL ÑUÑOA 3674;Lun-Dom 09:00 a 20:00;-70.59221381482593;-33.45514363505319;Carga de tarjetas,Consulta de saldo, Activación de carga remota
54;UNIMARC;Ok Market Macul;MACUL 3440;Lun-Dom 09:00 a 20:00;-70.5992514590774;-33.485831257858486;Carga de tarjetas,Consulta de saldo, Activación de carga remota
55;UNIMARC;Ok Market Rosario Norte;ROSARIO NORTE 530, LOCALES 104, 105 Y106;Lun-Dom 09:00 a 20:00;-70.5730424247903;-33.4045172561425;Carga de tarjetas,Consulta de saldo, Activación de carga remota
56;UNIMARC;Ok Market Tobalaba;AVENIDA PROVIDENCIA 2646 - 2658, LOCAL 16 PROVIDENCIA;Lun-Dom 09:00 a 20:00;-70.6021390378432;-33.418453013673;Carga de tarjetas,Consulta de saldo, Activación de carga remota
57;UNIMARC;Ok Market Encomenderos;SAN SEBASTIÁN 2701;Lun-Dom 09:00 a 20:00;-70.6022430949566;-33.4166292576182;Carga de tarjetas,Consulta de saldo, Activación de carga remota
58;UNIMARC;Ok Market Santa Blanca;JOSE ALCALDE DELANO 11293 ;Lun-Dom 09:00 a 20:00;-70.53240408856489;-33.355025553646236;Carga de tarjetas,Consulta de saldo, Activación de carga remota
59;UNIMARC;Ok Market Los Ingleses;CAMINO CHICUREO KM 2 S/N;Lun-Dom 09:00 a 20:00;-70.6755224365375;-33.2861869796065;Carga de tarjetas,Consulta de saldo, Activación de carga remota
60;UNIMARC;UNIMARC TALAGANTE;AVDA. BERNARDO O'HIGGINS 2259;Lun-Dom 09:00 a 20:00;-70.942314;-33.670833;Carga de tarjetas,Consulta de saldo, Activación de carga remota
61;UNIMARC;UNIMARC NOS;Camino Nos a los Morros N° 565 Local F;Lun-Dom 09:00 a 20:00;-70.702775;-33.639939;Carga de tarjetas,Consulta de saldo, Activación de carga remota
62;UNIMARC;OK MARKET SAN PASCUAL;AV. APOQUINDO 4671;Lun-Dom 09:00 a 20:00;-70.580735;-33.413128;Carga de tarjetas,Consulta de saldo, Activación de carga remota
63;WALMART;LIDER EXPRESS LYON;AV. NUEVA PROVIDENCIA 2249;Lun-Dom 08:30-22:30;-70.6081661556346;-33.4219538517412;Carga de tarjetas,Consulta de saldo, Activación de carga remota
64;WALMART;LIDER HIPER INDEPENDENCIA;AV. INDEPENDENCIA 4142;Lun-Dom y Fest. 08:30-22:00;-70.6755763593055;-33.3900453115187;Carga de tarjetas,Consulta de saldo, Activación de carga remota
65;WALMART;LIDER EXPRESS SANTO DOMINGO;SANTO DOMINGO 1031;Lun-Dom 08:30-22:30;-70.6516548119126;-33.4360880401112;Carga de tarjetas,Consulta de saldo, Activación de carga remota
66;WALMART;LIDER HIPER PUENTE ALTO;AV. CONCHA Y TORO 1149;Lun-Dom y Fest. 08:30-22:00;-70.5775013992747;-33.5994671217027;Carga de tarjetas,Consulta de saldo, Activación de carga remota
67;WALMART;LIDER EXPRESS HUERFANOS;HUERFANOS 827;Lun-Dom 08:30-22:30;-70.6485729715654;-33.4392619273105;Carga de tarjetas,Consulta de saldo, Activación de carga remota
68;WALMART;LIDER HIPER PUENTE NUEVO;AV. LAS CONDES 12916;"Lun-Sáb 08:00-22:00
Dom 09:00-22:00";-70.5124132700129;-33.3707159149033;Carga de tarjetas,Consulta de saldo, Activación de carga remota
69;WALMART;LIDER HIPER DEPARTAMENTAL;AV. AMERICO VESPUCIO 6325;"Lun-Sáb 08:30-22:00
Dom y Fest. 09:00-22:00";-70.591186;-33.510433;Carga de tarjetas,Consulta de saldo, Activación de carga remota
70;WALMART;LIDER EXPRESS SAN PABLO;SAN PABLO 2362;Lun-Dom 08:30-22:30;-70.6703095942928;-33.4351117170152;Carga de tarjetas,Consulta de saldo, Activación de carga remota
