modo;servicio;sentido;variante;tipodia;shape_id;horario;color_id;direccion;paradas
3;A;I;-;L;A_I;07:00:00-20:00:00;#0000FF;Neira;P-279|PR-280|P-151|PR-152|PR-154|P-156|P-157|P-158|PR-159|P-282|P-283|P-284|P-285|P-286|PR-267|P-269|P-287|P-288|P-289|P-290|P-317
3;A;R;-;L;A_R;07:00:00-21:00:00;#0000FF;Granaderos;PR-291|P-292|P-293|P-271|P-272|P-294|P-296|PR-160|P-155|PR-153|P-150|P-148|P-147|PR-309|P-302|P-297|P-200
3;B;I;-;L;B_I;07:00:00-20:00:00;#0000FF;Ojo de Opache;P-122|P-123|P-126|P-128|P-129|P-131|P-132|P-176|PR-178|PR-179|P-140|P-139|P-180|P-181|P-182|P-183|P-161|P-184|P-185|P-186|P-187|PR-165|P-166|PR-167|PR-188|P-189|P-190|P-191|P-192|P-193|P-194
3;B;R;-;L;B_R;07:00:00-20:00:00;#0000FF;Ruta 21;PR-195|PR-170|PR-171|P-172|P-173|P-174|P-175|P-196|P-198|P-199|P-200|P-177|PR-135|P-134|P-133|PR-130|P-127|P-125|P-124|P-121
3;C;I;-;L;C_I;06:00:00-20:00:00;#0000FF;Juan Soldado;PR-280|P-183|PR-267|P-269|P-186|PR-237|P-299|PR-246|PR-245|P-244|PR-243|PR-242
3;C;R;-;L;C_R;08:00:00-20:00:00;#0000FF;Granaderos;P-256|P-255|P-254|P-252|P-251|P-300|PR-170|PR-171|P-172|P-173|PR-309|P-302|P-297|P-200
3;D;I;-;L;D_I;07:00:00-20:00:00;#0000FF;Parque El Loa;P-122|P-123|P-126|P-128|P-129|P-131|P-132|PR-178|PR-179|P-141|PR-144|P-206|P-207|PR-208|P-209|P-210|P-212|P-214|P-184|P-185|P-186|P-187|PR-165|P-166|PR-167|PR-188|P-189|P-190|PR-215
3;D;R;-;L;D_R;07:00:00-20:00:00;#0000FF;Ruta 21;P-216|P-217|PR-218|PR-195|PR-170|PR-171|P-172|P-173|P-174|P-175|P-196|P-220|P-221|P-222|PR-146|PR-143|PR-142|P-223|PR-224|PR-136|PR-135|P-134|P-133|PR-130|P-127|P-125|P-124|P-121
3;E;I;-;L;E_I;07:00:00-20:00:00;#0000FF;Ojo de Opache;P-122|P-123|P-126|P-128|P-129|P-131|P-132|P-151|PR-152|PR-154|P-156|P-157|P-158|PR-159|P-161|P-162|P-163|P-164|P-225
3;E;R;-;L;E_R;07:00:00-20:00:00;#0000FF;Ruta 21;P-226|P-227|P-228|P-229|P-230|P-231|P-173|P-174|P-175|PR-160|P-155|PR-153|P-150|P-148|P-223|PR-224|P-232|P-133|PR-130|P-127|P-125|P-124|P-121
3;F;I;-;L;F_I;06:00:00-19:00:00/19:30:00-20:00:00;#0000FF;Tupac;P-303|PR-304|P-141|PR-144|P-279|PR-280|P-206|P-207|PR-208|P-209|P-210|P-282|P-305|P-306|P-285|P-286|P-307|P-308|PR-149
3;F;R;-;L;F_R;07:00:00-20:00:00;#0000FF;Granaderos;P-294|P-296|P-220|P-221|PR-309|P-302
3;M;I;-;L;M_I;07:00:00-20:00:00;#0000FF;Ojo de Opache;P-122|P-123|P-126|P-128|P-129|P-131|P-132|PR-138|P-139|P-140|P-141|PR-144|P-151|PR-152|PR-154|P-156|P-157|P-158|PR-159|P-161|P-162|P-163|P-164|PR-165|P-166|PR-167|PR-168|P-169
3;M;R;-;L;M_R;07:00:00-20:00:00;#0000FF;Ruta 21;PR-170|PR-171|P-172|P-173|P-174|P-175|PR-160|P-155|PR-153|P-150|P-148|P-147|PR-146|PR-143|PR-142|P-232|P-133|PR-130|P-127|P-125|P-124|P-121
3;T;I;-;L;T_I;07:00:00-20:00:00;#0000FF;Avenida Grau;P-139|P-206|P-258|P-259|P-260|P-261|P-262|P-263|P-264|P-265|P-266|PR-267|P-269|P-270|PR-149
3;T;R;-;L;T_R;08:00:00-20:00:00;#0000FF;Granaderos;P-273|P-274|P-275|P-276|P-277|P-278
3;X;I;-;L;X_I;07:00:00-20:00:00;#0000FF;Calle Jose Lira;P-122|P-123|P-126|P-128|P-129|P-131|P-132|PR-234|P-151|PR-152|PR-154|P-156|PR-235|P-236|P-184|P-185|P-186|PR-237|P-238|P-239|PR-215|PR-240|PR-241|PR-242|PR-243|P-244|PR-245|PR-246|PR-247
3;X;R;-;L;X_R;07:00:00-20:00:00;#0000FF;Ruta 21;P-249|P-250|P-251|P-252|P-253|P-254|P-255|P-256|PR-257|P-216|P-217|PR-170|PR-171|P-172|P-173|P-174|P-175|PR-160|P-155|PR-153|P-150|P-148|P-147|P-134|P-133|PR-130|P-127|P-125|P-124|P-121
3;Z;I;-;L;Z_I;07:00:00-20:00:00;#0000FF;El Manzano;P-139|P-151|PR-152|PR-154|P-156|P-157|P-158|PR-159|P-281|P-261|P-311|P-214|P-161|P-184|P-185|P-186|PR-237
3;Z;R;-;L;Z_R;07:00:00-20:00:00;#0000FF;Granaderos;PR-170|PR-171|P-172|P-173|P-174|P-175|P-196|P-312|P-155|PR-153|P-150|P-148|P-147
