mode;code;name;latitude;longitude;services
3;P-121;-;-22.44343133;-68.90520608;B|D|E|M|X
3;P-122;-;-22.44312424;-68.90533263;B|D|E|M|X
3;P-123;-;-22.44196862;-68.9065968;B|D|E|M|X
3;P-124;-;-22.44208609;-68.9066356;B|D|E|M|X
3;P-125;-;-22.44061446;-68.90825953;B|D|E|M|X
3;P-126;-;-22.4402081;-68.90855135;B|D|E|M|X
3;P-127;-;-22.43918796;-68.90981538;B|D|E|M|X
3;P-128;-;-22.43851074;-68.91041834;B|D|E|M|X
3;P-129;-;-22.43703902;-68.91194501;B|D|E|M|X
3;P-131;-;-22.43530529;-68.91345238;B|D|E|M|X
3;P-132;-;-22.43477301;-68.91481321;B|D|E|M|X
3;P-133;-;-22.43489048;-68.91486173;B|D|E|M|X
3;P-134;-;-22.43504508;-68.91683436;B|D|X
3;P-139;-;-22.43894487;-68.92965999;B|M|T|Z
3;P-140;-;-22.43928725;-68.92759957;B|M
3;P-141;-;-22.44140998;-68.92698621;D|F|M
3;P-147;-;-22.44736902;-68.91973292;AC|A|M|X|Z
3;P-148;-;-22.44839906;-68.92003361;AC|A|E|M|X|Z
3;P-150;-;-22.4494833;-68.92034399;AC|A|E|M|X|Z
3;P-151;-;-22.44859792;-68.92026674;AC|A|E|M|X|Z
3;P-155;-;-22.45292576;-68.92134309;AC|A|E|M|X|Z
3;P-156;-;-22.45363965;-68.92175089;AC|A|E|M|X|Z
3;P-157;-;-22.4541008;-68.92260593;AC|A|E|M|Z
3;P-158;-;-22.4538302;-68.9234808;AC|A|E|M|Z
3;P-161;-;-22.45854659;-68.92479035;B|E|M|Z
3;P-162;-;-22.45898059;-68.92558712;E|M
3;P-163;-;-22.46017436;-68.92840517;E|M
3;P-164;-;-22.46184547;-68.92796693;E|M
3;P-166;-;-22.4666332;-68.92727433;B|D|M
3;P-169;-;-22.47026636;-68.93061623;M
3;P-172;-;-22.46232321;-68.92561449;B|C|D|M|X|Z
3;P-173;-;-22.46001963;-68.92584899;B|C|D|E|M|X|Z
3;P-174;-;-22.45852004;-68.92598586;B|D|E|M|X|Z
3;P-175;-;-22.45772506;-68.92601544;B|D|E|M|X|Z
3;P-176;-;-22.43585101;-68.92059472;B
3;P-177;-;-22.43824521;-68.92093349;B
3;P-180;-;-22.44697743;-68.93263959;B
3;P-181;-;-22.45020286;-68.9332892;B
3;P-182;-;-22.45219052;-68.93370617;B
3;P-183;-;-22.45780941;-68.93297454;B|C
3;P-184;-;-22.45908862;-68.92477062;B|D|X|Z
3;P-185;-;-22.46002814;-68.92471179;B|D|X|Z
3;P-186;-;-22.46235885;-68.92455502;B|C|D|X|Z
3;P-187;-;-22.46322636;-68.92507942;B|D
3;P-189;-;-22.47093317;-68.92674718;B|D
3;P-190;-;-22.47232462;-68.92721303;B|D
3;P-191;-;-22.47533363;-68.92871817;B
3;P-192;-;-22.47519113;-68.93350081;B
3;P-193;-;-22.47701597;-68.93341246;B
3;P-194;-;-22.48076459;-68.93220525;B
3;P-196;-;-22.4573738;-68.92837745;B|D|Z
3;P-198;-;-22.4534643;-68.93364725;B
3;P-199;-;-22.44935352;-68.93295916;B
3;P-200;-;-22.43882775;-68.93040835;AC|A|B|C
3;P-206;-;-22.44747239;-68.9282076;D|F|T
3;P-207;-;-22.44854755;-68.92845002;D|F
3;P-209;-;-22.45163747;-68.92907045;D|F
3;P-210;-;-22.4523964;-68.92921585;D|F
3;P-212;-;-22.45386902;-68.92938033;D
3;P-214;-;-22.45508862;-68.92937971;D|Z
3;P-216;-;-22.47933601;-68.92940631;D|X
3;P-217;-;-22.47806202;-68.92896951;D|X
3;P-220;-;-22.45170064;-68.9289052;D|F
3;P-221;-;-22.44975814;-68.92850771;D|F
3;P-222;-;-22.44709285;-68.92795511;D
3;P-223;-;-22.43848162;-68.92411118;D|E
3;P-225;-;-22.4749391;-68.93578529;E
3;P-226;-;-22.4806117;-68.93387735;E
3;P-227;-;-22.47584234;-68.93538632;E
3;P-228;-;-22.47265371;-68.93635013;E
3;P-229;-;-22.46114307;-68.93320621;E
3;P-230;-;-22.46100642;-68.93052364;E
3;P-231;-;-22.46093326;-68.92848254;E
3;P-232;-;-22.43409683;-68.9174763;E|M
3;P-236;-;-22.45831104;-68.92338115;X
3;P-238;-;-22.477618;-68.92597572;X
3;P-239;-;-22.47704073;-68.92796879;X
3;P-244;-;-22.48482218;-68.9158228;C|X
3;P-249;-;-22.48028422;-68.91047898;X
3;P-250;-;-22.48185717;-68.91235415;X
3;P-251;-;-22.48315901;-68.91410315;C|X
3;P-252;-;-22.48390025;-68.91495816;C|X
3;P-253;-;-22.48512962;-68.91636701;X
3;P-254;-;-22.48605205;-68.91824269;C|X
3;P-255;-;-22.48732659;-68.91972934;C|X
3;P-256;-;-22.48879045;-68.92042845;C|X
3;P-258;-;-22.44799685;-68.92929584;T
3;P-259;-;-22.44833454;-68.93762468;T
3;P-260;-;-22.45427025;-68.93848704;T
3;P-261;-;-22.45479605;-68.9434825;T|Z
3;P-262;-;-22.45672819;-68.94028404;T
3;P-263;-;-22.45955578;-68.94009816;T
3;P-264;-;-22.46198589;-68.93996104;T
3;P-265;-;-22.46364811;-68.9398534;T
3;P-266;-;-22.46562654;-68.93977479;T
3;P-269;-;-22.46071488;-68.92505161;AC|A|C|T
3;P-270;-;-22.45933153;-68.92263218;T
3;P-271;-;-22.46329994;-68.92793702;AC|A
3;P-272;-;-22.46416839;-68.93062898;AC|A
3;P-273;-;-22.46622273;-68.93962873;T
3;P-274;-;-22.45998938;-68.94000077;T
3;P-275;-;-22.45741473;-68.94016711;T
3;P-276;-;-22.45425214;-68.93837041;T
3;P-277;-;-22.45139728;-68.93811898;T
3;P-278;-;-22.44765689;-68.93738202;T
3;P-279;-;-22.44256017;-68.93361356;AC|A|F
3;P-281;-;-22.45275755;-68.92872971;Z
3;P-282;-;-22.45309339;-68.93241309;AC|A|F
3;P-283;-;-22.45878919;-68.94372387;AC|A
3;P-284;-;-22.46200525;-68.9435379;AC|A
3;P-285;-;-22.46297114;-68.94143802;AC|A|F
3;P-286;-;-22.46287911;-68.93694751;AC|A|F
3;P-287;-;-22.45530895;-68.91771645;AC|A
3;P-288;-;-22.4536177;-68.91411164;AC|A
3;P-289;-;-22.45204543;-68.91347115;AC|A
3;P-290;-;-22.4509166;-68.91425909;AC|A
3;P-292;-;-22.45634846;-68.9189016;A
3;P-293;-;-22.45686399;-68.92007735;AC|A
3;P-294;-;-22.46273384;-68.93511053;AC|A|F
3;P-296;-;-22.4532829;-68.93192705;AC|A|F
3;P-297;-;-22.43853936;-68.93205086;AC|A|C
3;P-299;-;-22.4796528;-68.91223888;C
3;P-300;-;-22.46397624;-68.90774845;C
3;P-302;-;-22.44278566;-68.93274852;AC|A|C|F
3;P-303;-;-22.43413689;-68.92553235;F
3;P-305;-;-22.45436343;-68.94645676;F
3;P-306;-;-22.45699227;-68.94625164;F
3;P-307;-;-22.46282391;-68.93445926;F
3;P-308;-;-22.46256151;-68.93342908;F
3;P-311;-;-22.4547841;-68.93569738;Z
3;P-312;-;-22.45464953;-68.93808838;Z
3;P-317;-;-22.45110752;-68.91657209;AC|A
3;PR-130;-;-22.4355582;-68.91336476;B|D|E|M|X
3;PR-135;-;-22.43462161;-68.91905028;B|D
3;PR-136;-;-22.43436038;-68.92058585;D
3;PR-138;-;-22.433441;-68.92495937;M
3;PR-142;-;-22.44213269;-68.92693724;D|M
3;PR-143;-;-22.44325301;-68.92716018;D|M
3;PR-144;-;-22.44302724;-68.92733523;D|F|M
3;PR-146;-;-22.44476183;-68.92745095;D|M
3;PR-149;-;-22.4489773;-68.92016934;F|T
3;PR-152;-;-22.45050438;-68.92080992;AC|A|E|M|X|Z
3;PR-153;-;-22.45054043;-68.92063495;AC|A|E|M|X|Z
3;PR-154;-;-22.4519952;-68.92123671;AC|A|E|M|X|Z
3;PR-159;-;-22.45356879;-68.92470556;AC|A|E|M|Z
3;PR-160;-;-22.45380355;-68.92445274;AC|A|E|M|X
3;PR-165;-;-22.46517888;-68.927625;B|D|M
3;PR-167;-;-22.46857526;-68.9266901;B|D|M
3;PR-168;-;-22.47032914;-68.92954696;M
3;PR-170;-;-22.46554824;-68.92535033;B|C|D|M|X|Z
3;PR-171;-;-22.46375048;-68.92539017;B|C|D|M|X|Z
3;PR-178;-;-22.4384909;-68.92463596;B|D
3;PR-179;-;-22.43882601;-68.92649194;B|D
3;PR-188;-;-22.47033684;-68.92657253;B|D
3;PR-195;-;-22.47235164;-68.92703805;B|D
3;PR-208;-;-22.44994796;-68.92873115;D|F
3;PR-215;-;-22.47828798;-68.92923186;D|X
3;PR-218;-;-22.47532429;-68.92803772;D
3;PR-224;-;-22.43782211;-68.92407267;D|E
3;PR-234;-;-22.44053995;-68.92111684;X
3;PR-235;-;-22.45651287;-68.92254627;X
3;PR-237;-;-22.46351518;-68.92449607;C|X|Z
3;PR-240;-;-22.48984905;-68.92378183;X
3;PR-241;-;-22.48972998;-68.92041819;X
3;PR-242;-;-22.48763386;-68.91994304;C|X
3;PR-243;-;-22.48562713;-68.91762077;C|X
3;PR-245;-;-22.48412616;-68.91507468;C|X
3;PR-246;-;-22.48288774;-68.91364642;C|X
3;PR-247;-;-22.48068219;-68.9113439;X
3;PR-257;-;-22.48977675;-68.92371382;X
3;PR-267;-;-22.46073312;-68.92540151;AC|A|C|T
3;PR-280;-;-22.44501909;-68.93775251;AC|A|C|F
3;PR-291;-;-22.44535107;-68.91324206;AC|A
3;PR-304;-;-22.43567283;-68.92585222;F
3;PR-309;-;-22.44556112;-68.93773283;AC|A|C|F
