paradero;servicio;distancia
P-279;AC_I;3214
PR-280;AC_I;3913
P-151;AC_I;6575
P-290;AC_I;6665
P-317;AC_I;6746
P-289;AC_I;6765
PR-152;AC_I;6794
P-288;AC_I;6950
PR-154;AC_I;6965
P-156;AC_I;7154
P-157;AC_I;7312
P-158;AC_I;7407
PR-159;AC_I;7536
P-282;AC_I;8350
P-283;AC_I;10872
P-284;AC_I;11229
P-285;AC_I;11544
P-286;AC_I;12006
PR-267;AC_I;14049
P-269;AC_I;14085
P-287;AC_I;14808
P-293;AC_R;2530
P-271;AC_R;3803
P-272;AC_R;4149
P-294;AC_R;5106
P-296;AC_R;8994
PR-160;AC_R;9773
P-155;AC_R;10231
PR-153;AC_R;10505
P-150;AC_R;10626
P-148;AC_R;10750
P-147;AC_R;10868
PR-291;AC_R;10994
PR-309;AC_R;13337
P-302;AC_R;14186
P-297;AC_R;15554
P-200;AC_R;15726
P-279;A_I;3214
PR-280;A_I;3913
P-151;A_I;6575
PR-152;A_I;6794
PR-154;A_I;6965
P-156;A_I;7154
P-157;A_I;7312
P-158;A_I;7407
PR-159;A_I;7536
P-282;A_I;8354
P-283;A_I;10877
P-284;A_I;11233
P-285;A_I;11549
P-286;A_I;12011
PR-267;A_I;14053
P-269;A_I;14089
P-287;A_I;15204
P-288;A_I;15692
P-289;A_I;17144
P-290;A_I;17326
P-317;A_I;17567
PR-291;A_R;92
P-292;A_R;1732
P-293;A_R;1865
P-271;A_R;3215
P-272;A_R;3561
P-294;A_R;4519
P-296;A_R;8406
PR-160;A_R;9185
P-155;A_R;9644
PR-153;A_R;9918
P-150;A_R;10038
P-148;A_R;10162
P-147;A_R;10281
PR-309;A_R;12749
P-302;A_R;13598
P-297;A_R;14966
P-200;A_R;15138
P-122;B_I;4067
P-123;B_I;4249
P-126;B_I;4529
P-128;B_I;4798
P-129;B_I;5024
P-131;B_I;5275
P-132;B_I;5426
P-176;B_I;6210
PR-178;B_I;6940
PR-179;B_I;7181
P-140;B_I;7355
P-139;B_I;7570
P-180;B_I;8633
P-181;B_I;8996
P-182;B_I;9220
P-183;B_I;9914
P-161;B_I;10985
P-184;B_I;11045
