servicio;distancia;latitud;longitud
AC_I;0;-22.428309;-68.926514
AC_I;20;-22.42834215;-68.92632295
AC_I;40;-22.4283753;-68.9261319
AC_I;60;-22.42840845;-68.92594085
AC_I;80;-22.4284416;-68.9257498
AC_I;100;-22.42847475;-68.92555875
AC_I;120;-22.42850789;-68.9253677
AC_I;140;-22.42854104;-68.92517665
AC_I;160;-22.42857419;-68.9249856
AC_I;180;-22.42860734;-68.92479455
AC_I;200;-22.42870463;-68.92467923
AC_I;220;-22.42888456;-68.92466144
AC_I;240;-22.42906354;-68.92466787
AC_I;260;-22.42924147;-68.92470166
AC_I;280;-22.4294194;-68.92473546
AC_I;300;-22.42959733;-68.92476925
AC_I;320;-22.42977526;-68.92480305
AC_I;340;-22.42995319;-68.92483685
AC_I;360;-22.43013167;-68.92486706
AC_I;380;-22.43031016;-68.92489726
AC_I;400;-22.43048865;-68.92492746
AC_I;420;-22.43066713;-68.92495765
AC_I;440;-22.4308445;-68.92499469
AC_I;460;-22.43102176;-68.92503229
AC_I;480;-22.43119903;-68.9250699
AC_I;500;-22.4313763;-68.92510751
AC_I;520;-22.43155356;-68.92514513
AC_I;540;-22.43173008;-68.9251866
AC_I;560;-22.4319066;-68.92522806
AC_I;580;-22.43208351;-68.92526751
AC_I;600;-22.43226086;-68.9253047
AC_I;620;-22.43243797;-68.92534272
AC_I;640;-22.43260556;-68.92541534
AC_I;660;-22.43273067;-68.92554923
AC_I;680;-22.43284312;-68.92570135
AC_I;700;-22.43300054;-68.92578585
AC_I;720;-22.43317488;-68.92583645
AC_I;740;-22.43334999;-68.92588435
AC_I;760;-22.43333451;-68.92606096
AC_I;780;-22.43329852;-68.92625142
AC_I;800;-22.43326253;-68.92644188
AC_I;820;-22.43322654;-68.92663234
AC_I;840;-22.43319056;-68.9268228
AC_I;860;-22.43315457;-68.92701326
AC_I;880;-22.43311858;-68.92720372
AC_I;900;-22.43322742;-68.92728946
AC_I;920;-22.43340497;-68.92732552
AC_I;940;-22.43358251;-68.92736158
AC_I;960;-22.43376005;-68.92739765
AC_I;980;-22.4339376;-68.92743371
AC_I;1000;-22.43411514;-68.92746977
AC_I;1020;-22.43429269;-68.92750583
AC_I;1040;-22.43447023;-68.9275419
AC_I;1060;-22.43464777;-68.92757796
AC_I;1080;-22.43482532;-68.92761402
AC_I;1100;-22.43500286;-68.92765008
AC_I;1120;-22.43518041;-68.92768615
AC_I;1140;-22.43535795;-68.92772221
AC_I;1160;-22.4355355;-68.92775827
AC_I;1180;-22.43571308;-68.92779409
AC_I;1200;-22.4358907;-68.92782973
AC_I;1220;-22.43606832;-68.92786537
AC_I;1240;-22.43624593;-68.92790102
AC_I;1260;-22.43642355;-68.92793666
AC_I;1280;-22.43660117;-68.9279723
AC_I;1300;-22.43677879;-68.92800795
AC_I;1320;-22.4369564;-68.92804359
AC_I;1340;-22.43713456;-68.92807501
AC_I;1360;-22.43731445;-68.92809316
AC_I;1380;-22.43747454;-68.92817142
AC_I;1400;-22.43747401;-68.92835697
AC_I;1420;-22.43744362;-68.92854857
AC_I;1440;-22.43741323;-68.92874016
AC_I;1460;-22.43738284;-68.92893175
AC_I;1480;-22.43735246;-68.92912334
AC_I;1500;-22.43732207;-68.92931493
AC_I;1520;-22.43729168;-68.92950653
AC_I;1540;-22.43727465;-68.92969917
AC_I;1560;-22.437393;-68.92978747
AC_I;1580;-22.43757032;-68.9298248
AC_I;1600;-22.43774764;-68.92986213
AC_I;1620;-22.43792496;-68.92989946
AC_I;1640;-22.43810227;-68.92993679
AC_I;1660;-22.43827959;-68.92997412
AC_I;1680;-22.43845691;-68.93001145
AC_I;1700;-22.43863423;-68.93004878
AC_I;1720;-22.43881155;-68.93008611
