iLat;iLon;stops;services;route_segments;puntos
0;9;PR-257;X_I|X_R;26-27|12-13;
0;10;PR-241;C_I|C_R|X_I|X_R;60-61-62-63|0|27-28-29-30|9-10-11-12;
0;11;;C_I;61-62;
1;8;;X_I|X_R;26|13;
1;9;;X_I|X_R;26|13;
1;10;P-256|PR-242;C_I|C_R|X_I|X_R;59-60|0-1|30-31|8-9;
1;11;P-255;C_I|C_R|X_I|X_R;58-59|1-2|31-32|7-8;
2;7;;X_I|X_R;26|13;
2;8;;X_I|X_R;26|13;
2;11;P-254|PR-243;C_I|C_R|X_I|X_R;57-58|2-3|32-33|6-7;
2;12;P-244|P-252|P-253|PR-245;C_I|C_R|X_I|X_R;56-57|3-4|33-34|5-6;
3;6;N-117|N-93;B_I|B_R|E_I|E_R|M_I|M_R;25-26|0-1|23-24-25|0-1-2|32-33|0;
3;7;;X_I|X_R;25-26|13-14;
3;12;P-251;C_I|C_R|X_I|X_R;56|4|34|5;
3;13;N-266|N-271|P-250|PR-246;C_I|C_R|X_I|X_R;54-55-56|4-5-6|34-35-36-37|2-3-4-5;
4;5;;E_I|E_R;23|2;
4;6;P-194|P-226;B_I|B_R|E_I|E_R|M_I|M_R;25-26|0-1|23-25|0-2|32|0-1;
4;7;N-149|P-216|PR-215;B_I|B_R|D_I|D_R|E_I|E_R|M_I|M_R|X_I|X_R;26-27|0|18-19|0|25-26|0|29-30-31-32|1|24-25|14-15;
4;13;P-299|PR-247;C_I|C_R|X_I|X_R;53-54|6-7|37-38|1-2;
4;14;N-273|P-248|P-249;C_I|C_R|X_I|X_R;53|7|38|0-1;
4;15;;X_R;0;
5;5;N-83|P-227;E_I|E_R;23|2;
5;6;N-105|P-193;B_I|B_R;25|1;
5;7;N-124|N-140|P-217;D_I|D_R|M_I|M_R|X_I|X_R;18|0|29|1-2|23-24|15;
5;8;N-182|P-238|P-239;D_I|D_R|X_I|X_R;18|0|20-21-23|15-16;
5;9;N-195|N-201;X_I|X_R;21-22-23|16-17-18-19;
5;14;N-278|N-279;C_I|C_R|X_I;53|7|38;
5;15;N-282;C_I|C_R|X_I|X_R;50-51-52-53|7-8-9-10|38-39-40-41|0;
5;16;;C_I|C_R;50|10;
6;5;N-63|P-225;E_I|E_R;23|2;
6;6;N-95|P-192;B_I|B_R;24-25|1-2-3;
6;7;N-129|N-131|P-191;B_I|B_R|M_I|M_R;24|3|29|2-3;
6;8;N-165|N-169|PR-218;B_I|B_R|D_I|D_R|X_I|X_R;23-24|3-4|18|0|18-19-20|21-22-23;
6;9;N-203|N-206;X_I|X_R;17-18|19-20-21;
6;16;;C_I|C_R;49-50|10-11;
6;17;;C_I|C_R;48-49|11-12;
