modo;servicio;sentido;variante;tipodia;shape_id;horario;color_id;direccion;paradas;resources_id
3;A;I;-;D;A_I;09:00:00-13:00:00|18:00:00-19:00:00;#d7282f;Neira;N-173|N-166|N-141|N-110|N-80|N-87|N-107|P-279|N-64|PR-280|N-62|N-89|N-98|N-130|N-170|N-198|N-239|P-151|PR-152|PR-154|P-156|P-157|P-158|PR-159|N-194|P-281|P-282|N-72|N-50|N-36|N-16|N-9|N-28|P-283|P-284|P-285|P-286|N-78|N-109|N-135|P-230|P-231|PR-267|P-270|N-235|P-287|P-288|P-289|P-290|P-317|N-254|N-263|N-269;1
3;A;I;-;L;A_I;08:00:00-19:00:00;#d7282f;Neira;N-173|N-166|N-141|N-110|N-80|N-87|N-107|P-279|N-64|PR-280|N-62|N-89|N-98|N-130|N-170|N-198|N-239|P-151|PR-152|PR-154|P-156|P-157|P-158|PR-159|N-194|P-281|P-282|N-72|N-50|N-36|N-16|N-9|N-28|P-283|P-284|P-285|P-286|N-78|N-109|N-135|P-230|P-231|PR-267|P-270|N-235|P-287|P-288|P-289|P-290|P-317|N-254|N-263|N-269;1
3;A;I;-;S;A_I;08:00:00-19:00:00;#d7282f;Neira;N-173|N-166|N-141|N-110|N-80|N-87|N-107|P-279|N-64|PR-280|N-62|N-89|N-98|N-130|N-170|N-198|N-239|P-151|PR-152|PR-154|P-156|P-157|P-158|PR-159|N-194|P-281|P-282|N-72|N-50|N-36|N-16|N-9|N-28|P-283|P-284|P-285|P-286|N-78|N-109|N-135|P-230|P-231|PR-267|P-270|N-235|P-287|P-288|P-289|P-290|P-317|N-254|N-263|N-269;1
3;A;R;-;D;A_R;10:00:00-14:00:00;#d7282f;Granaderos;PR-291|N-255|N-256|N-251|P-292|P-293|P-236|P-162|P-163|P-164|P-271|P-272|N-106|N-84|P-294|N-52|N-41|N-32|N-31|N-30|N-21|N-11|N-13|N-34|N-48|P-295|P-296|N-160|N-180|PR-160|N-219|P-155|PR-153|P-150|PR-149|P-148|P-147|N-231|N-208|PR-146|N-139|N-104|N-88|N-65|PR-309|N-57|N-76|P-302|N-118|N-90|N-79|P-297|P-200|N-148|N-172|N-191;1
3;A;R;-;L;A_R;08:00:00-19:00:00;#d7282f;Granaderos;PR-291|N-255|N-256|N-251|P-292|P-293|P-236|P-162|P-163|P-164|P-271|P-272|N-106|N-84|P-294|N-52|N-41|N-32|N-31|N-30|N-21|N-11|N-13|N-34|N-48|P-295|P-296|N-160|N-180|PR-160|N-219|P-155|PR-153|P-150|PR-149|P-148|P-147|N-231|N-208|PR-146|N-139|N-104|N-88|N-65|PR-309|N-57|N-76|P-302|N-118|N-90|N-79|P-297|P-200|N-148|N-172|N-191;1
3;A;R;-;S;A_R;09:00:00-19:00:00;#d7282f;Granaderos;PR-291|N-255|N-256|N-251|P-292|P-293|P-236|P-162|P-163|P-164|P-271|P-272|N-106|N-84|P-294|N-52|N-41|N-32|N-31|N-30|N-21|N-11|N-13|N-34|N-48|P-295|P-296|N-160|N-180|PR-160|N-219|P-155|PR-153|P-150|PR-149|P-148|P-147|N-231|N-208|PR-146|N-139|N-104|N-88|N-65|PR-309|N-57|N-76|P-302|N-118|N-90|N-79|P-297|P-200|N-148|N-172|N-191;1
3;AC;I;-;D;AC_I;13:00:00-18:00:00;#73308a;Avenida La Paz;N-173|N-166|N-141|N-110|N-80|N-87|N-107|P-279|N-64|PR-280|N-62|N-89|N-98|N-130|N-170|N-198|N-239|P-151|PR-152|PR-154|P-156|P-157|P-158|PR-159|N-194|P-281|P-282|N-72|N-50|N-36|N-16|N-9|N-28|P-283|P-284|P-285|P-286|N-78|N-109|N-135|P-230|P-231|PR-267|P-270|N-235|N-229|N-227|N-245|N-261|N-270|N-276|N-283;1
3;AC;R;-;D;AC_R;14:00:00-19:00:00;#73308a;Granaderos;P-300|N-272|N-267|N-257|N-250|P-314|N-233|P-315|P-236|P-162|P-163|P-164|P-271|P-272|N-106|N-84|P-294|N-52|N-41|N-32|N-31|N-30|N-21|N-11|N-13|N-34|N-48|P-295|P-296|N-160|N-180|PR-160|N-219|P-155|PR-153|P-150|PR-149|P-148|P-147|N-231|N-208|PR-146|N-139|N-104|N-88|N-65|PR-309|N-57|N-76|P-302|N-118|N-90|N-79|P-297|P-200|N-148|N-172;1
3;B;I;-;D;B_I;09:00:00-19:00:00;#d7282f;Ojo de Opache;N-306|N-303|N-301|N-299|N-297|N-295|N-293|N-291|P-122|P-123|P-126|P-128|P-129|P-131|P-132|N-246|P-176|N-230|PR-178|PR-179|N-144|N-119|N-114|P-180|P-181|N-94|P-182|P-183|N-176|P-161|P-184|P-185|P-186|P-187|PR-165|P-166|PR-167|PR-188|P-189|P-190|P-191|P-192|P-193|P-194;1
3;B;I;-;L;B_I;08:00:00-19:00:00;#d7282f;Ojo de Opache;N-306|N-303|N-301|N-299|N-297|N-295|N-293|N-291|P-122|P-123|P-126|P-128|P-129|P-131|P-132|N-246|P-176|N-230|PR-178|PR-179|N-144|N-119|N-114|P-180|P-181|N-94|P-182|P-183|N-176|P-161|P-184|P-185|P-186|P-187|PR-165|P-166|PR-167|PR-188|P-189|P-190|P-191|P-192|P-193|P-194;1
