id;latitud;longitud;sec
AC_I;-22.428309;-68.926514;0
AC_I;-22.428626;-68.924687;1
AC_I;-22.42898;-68.924652;2
AC_I;-22.432434;-68.925341;3
AC_I;-22.433367;-68.925889;4
AC_I;-22.433107;-68.927265;5
AC_I;-22.43744;-68.928134;6
AC_I;-22.437302;-68.92979;7
AC_I;-22.43883;-68.93009;8
AC_I;-22.438446;-68.932371;9
AC_I;-22.438945;-68.932514;10
AC_I;-22.438388;-68.935659;11
AC_I;-22.439912;-68.935981;12
AC_I;-22.439691;-68.933431;13
AC_I;-22.439824;-68.932704;14
AC_I;-22.442659;-68.933337;15
AC_I;-22.44202;-68.937057;16
AC_I;-22.446643;-68.93801;17
AC_I;-22.447122;-68.934984;18
AC_I;-22.44406;-68.934359;19
AC_I;-22.445823;-68.924087;20
AC_I;-22.445616;-68.923485;21
AC_I;-22.446267;-68.919555;22
AC_I;-22.454347;-68.921882;23
AC_I;-22.452742;-68.929252;24
AC_I;-22.453061;-68.929826;25
AC_I;-22.4531;-68.930606;26
AC_I;-22.453507;-68.947613;27
AC_I;-22.45638;-68.947416;28
AC_I;-22.456316;-68.943868;29
AC_I;-22.463005;-68.943421;30
AC_I;-22.46281;-68.934822;31
AC_I;-22.465619;-68.935488;32
AC_I;-22.465539;-68.934171;33
AC_I;-22.465121;-68.933596;34
AC_I;-22.464937;-68.930567;35
AC_I;-22.460994;-68.930687;36
AC_I;-22.460565;-68.922863;37
AC_I;-22.458065;-68.922654;38
AC_I;-22.457221;-68.920724;39
AC_I;-22.458493;-68.920539;40
AC_I;-22.45982;-68.921337;41
AC_I;-22.46319;-68.9215;42
AC_I;-22.463018;-68.918843;43
AC_I;-22.465273;-68.917092;44
AC_I;-22.464446;-68.914061;45
AC_I;-22.463851;-68.91284;46
AC_I;-22.464461;-68.911716;47
AC_I;-22.463837;-68.909588;48
AC_I;-22.464105;-68.907044;49
AC_I;-22.462769;-68.906609;50
AC_R;-22.462769;-68.906609;0
