paradas;servicios
P-10-3;AC_R|A_R|E_I|F_R|M_I|T_R
P-10-4;AC_R|A_R|T_R|X_I
P-10-6;A_R
P-10-7;A_R
P-10-8;A_I
P-15-10;AC_I|A_I|E_I|F_R|M_I|T_R|X_I|Z_I
P-15-12;AC_R|A_R|E_R|F_I|M_R|T_I|X_R|Z_R
P-15-16;AC_R|A_R|E_R|F_I|M_R|T_I|X_R|Z_R
P-15-17;AC_I|A_I|E_I|F_R|M_I|T_R|X_I|Z_I
P-15-19;AC_I|A_I|T_I
P-15-8;AC_R|A_R|F_I|M_R|T_I|X_R|Z_R
P-15-9;AC_R|A_R|E_R|F_I|M_R|T_I|X_R|Z_R
P-16-1;B_I|D_I|E_I|F_R|M_I|Z_I
P-16-2;B_I|D_I|X_I|Z_I
P-16-3;B_I|D_I|X_I|Z_I
P-16-4;B_I|C_I|D_I|X_I|Z_I
P-20-1;B_I
P-20-3;B_R
P-25-4;AC_I|A_I|E_I|F_R|M_I|Z_I
P-25-6;AC_I|A_I|E_I|F_R|M_I|Z_I
P-25-7;A_I
P-29-3;AC_I|A_I
P-29-5;AC_I|A_I
P-3-1;X_R
P-32-5;T_I
P-39-5;D_R|E_R
P-40-1;X_R
P-44-1;T_R
P-44-2;T_I
P-44-3;T_R
P-44-5;T_R
P-44-6;T_I
P-46-1;F_I
P-46-11;D_R
P-46-12;D_I|F_I|T_I
P-46-13;D_I|F_I
P-46-14;D_R|F_R
P-46-16;D_I|F_I
P-46-17;D_R|F_R
P-46-18;D_I|F_I
P-46-19;D_I
P-46-21;D_I|Z_I
P-46-23;AC_R|A_R|E_I|F_R|M_I|T_R
P-46-24;AC_R|A_R|E_I|F_R|M_I|T_R
P-46-26;B_I|D_I|M_I
P-46-5;D_I|F_I|M_I
P-47-11;B_R
P-47-12;B_R
P-47-13;B_I
P-47-14;F_I
P-47-6;B_I
P-47-7;B_R
P-47-9;B_I
P-5-2;AC_R|A_R|C_R
P-5-3;AC_R|A_R|B_R|C_R
P-5-5;B_R|M_I|T_I|Z_I
P-5-6;B_R|M_I
P-51-2;AC_I|A_I|C_I
P-52-10;B_I|D_I|E_I|F_R|M_I|X_I
P-52-11;B_I|D_I|E_I|F_R|M_I|X_I
P-52-13;B_I|D_I|E_I|F_R|M_I|X_I
P-52-14;B_I|D_I|E_I|F_R|M_I|X_I
P-52-15;B_R|D_R|E_R|F_I|M_R|X_R
P-52-16;B_I|D_I|E_I|F_R|M_I|X_I
P-52-17;B_R|D_R|E_R|F_I|M_R|X_R
P-52-18;B_R|D_R|E_R|F_I|M_R|X_R
P-52-19;B_I|D_I|E_I|F_R|M_I|X_I
P-52-20;B_I|D_I|E_I|M_I|X_I
P-52-21;B_R|D_R|E_R|M_R|T_I|X_R
P-52-8;B_R|D_R|X_R
P-52-9;B_R|D_R|E_R|F_I|M_R|X_R
P-54-4;AC_R|A_R|C_R|F_R
P-57-2;C_I
P-59-13;AC_R|C_R
P-59-2;AC_R|C_R
P-62-1;E_R
P-62-3;E_I
P-62-4;E_R
P-62-6;E_R
P-63-11;D_R|X_R
P-63-3;B_I|D_I
P-63-4;B_I|D_I
P-63-9;D_R|X_R
P-64-1;C_I|X_R
P-66-11;AC_R|A_R|F_R
P-66-12;AC_I|A_I|F_I
P-66-13;AC_R|A_R|F_R
P-68-1;AC_R
P-7-5;B_R|D_R|E_R|F_I|M_R|X_R|Z_R
P-7-6;B_R|D_R|E_R|F_I|M_R|X_R|Z_R
P-7-7;B_R|C_R|D_R|E_R|F_I|M_R|X_R|Z_R
P-7-8;B_R|C_R|D_R|M_R|T_I|X_R|Z_R
P-70-1;A_I
P-71-1;A_I
P-71-2;A_I
P-76-1;T_I
P-76-10;T_R
P-76-2;T_R
P-76-3;T_I
P-76-4;T_R
P-76-6;T_I
P-76-7;T_I
P-76-9;T_I
P-78-1;X_I
P-78-2;X_I
P-79-11;X_R
P-79-2;C_I|X_R
P-79-3;C_I|X_R
P-79-5;C_I|X_R
P-79-6;C_R|X_I
P-79-8;C_I|X_R
P-79-9;C_I|X_R
P-8-3;AC_I|A_I|Z_I
P-80-1;F_I
P-80-2;F_I
P-81-1;M_I
P-82-1;M_R
P-82-3;E_R|M_R
P-83-1;B_I
P-83-3;B_I
P-84-4;AC_I|A_I|F_I
P-84-7;AC_I|A_I|F_I
P-84-8;AC_R|A_R|F_R
P-84-9;F_I
P-85-1;E_R|F_I
P-85-2;AC_I|A_I|C_I|E_R|F_I
P-85-3;AC_I|A_I|C_I|E_R|F_I
P-9-3;AC_R|A_R
P-93-2;B_I|C_I
P-93-3;B_R|D_R|Z_R
P-95-1;B_I
P-95-2;B_I
P-97-10;Z_R
P-97-12;Z_I
P-97-6;T_I|Z_R
P-98-4;AC_R|A_R
P-98-5;B_I|D_I
PR-12-7;AC_R|A_R|M_R
PR-15-11;AC_R|A_R|E_R|F_I|M_R|T_I|X_R|Z_R
PR-15-13;AC_I|A_I|E_I|F_R|M_I|T_R|X_I|Z_I
PR-15-14;AC_R|A_R|E_R|F_I|M_R|T_I|X_R|Z_R
PR-15-15;AC_I|A_I|E_I|F_R|M_I|T_R|X_I|Z_I
PR-15-18;T_R|X_I
PR-16-5;C_I|X_I|Z_I
PR-2-1;X_R
PR-20-6;X_I
PR-23-1;B_I|D_I
PR-25-2;AC_I|A_I|E_I|F_R|M_I|Z_I
PR-25-3;AC_R|A_R|E_R|F_I|M_R|X_R|Z_R
PR-39-3;D_R|E_R
PR-45-2;AC_I|A_I|C_I|F_I
PR-45-3;AC_R|A_R|C_R|F_R
PR-46-10;D_R|M_R
PR-46-15;D_I|F_I
PR-46-2;F_I
PR-46-25;B_I|D_I|M_I|T_R
PR-46-27;B_I|D_I|M_I
PR-46-3;B_I|D_I|F_I
PR-46-7;D_I|F_I|M_I|Z_R
PR-46-8;D_R|M_R|Z_I
PR-46-9;D_I
PR-52-12;B_R|D_R|E_R|F_I|M_R|X_R
PR-52-3;M_I
PR-52-5;D_R
PR-52-7;B_R|D_R
PR-6-5;A_R|T_R
PR-63-10;D_I|X_I
PR-63-2;B_I|D_I
PR-63-5;B_R|D_R|X_R
PR-63-8;D_R
PR-64-2;C_R|X_I
PR-7-10;B_R|C_R|D_R|M_R|X_R|Z_R
PR-7-9;B_R|C_R|D_R|M_R|T_I|X_R|Z_R
PR-79-1;C_R|X_I
PR-79-10;C_R|X_I
PR-79-12;X_I
PR-79-4;C_R|X_I
PR-79-7;C_R|X_I
PR-81-2;M_I
PR-85-4;AC_I|A_I|C_I|T_I
PV-1-1;X_I
PV-1-2;X_R
PV-10-1;C_R
PV-10-2;C_R|F_R|T_R
PV-10-5;AC_I|A_I
PV-11-1;F_R
PV-11-2;F_R
PV-11-3;F_R
PV-11-4;F_R
PV-11-5;F_R|T_R
PV-11-6;T_R
PV-11-7;Z_I
PV-12-1;AC_I|A_I|F_I
PV-12-10;AC_I|A_I
PV-12-11;AC_R|A_R|M_R
PV-12-12;AC_I|A_I|M_I
PV-12-2;AC_R|A_R|F_R
PV-12-3;AC_I|A_I|F_I
PV-12-4;AC_R|A_R|F_R|T_R
PV-12-6;AC_I|A_I|F_I|T_I
PV-12-8;M_I
PV-12-9;AC_R|A_R|M_R
PV-13-1;Z_R
PV-13-2;Z_I
PV-13-3;X_I|Z_R
PV-13-5;X_R|Z_R
PV-14-1;C_R
PV-14-2;C_I
PV-15-1;F_R
PV-15-2;F_I
PV-15-20;C_R
PV-15-3;F_R
PV-15-4;F_I
PV-15-5;F_R
PV-15-6;X_I|Z_I
PV-15-7;F_R|X_I|Z_I
PV-16-6;X_I
PV-17-1;AC_I|A_I|C_I
PV-17-2;AC_R|A_R|C_R
PV-17-3;AC_R|A_R|C_R
PV-18-1;M_I
PV-19-1;E_R
PV-19-2;AC_I|A_I|E_I
PV-19-3;AC_R|A_R
PV-19-5;E_R
PV-20-2;B_R
PV-20-4;B_I
PV-20-5;X_R
PV-20-7;X_R
PV-21-1;X_R
PV-22-1;X_I
PV-23-2;B_R
PV-24-1;M_R
PV-25-1;AC_I|A_I|E_I|F_R|M_I|Z_I
