stop_code;stop_name;stop_lat;stop_lon;stop_mode
P-10-3;Antofagasta esq. Almirante Juan José Latorre;-22.45898057;-68.9255288;3
P-10-4;Antofagasta esq. Vía Parque Poniente;-22.45833822;-68.92353665;3
P-10-6;Antofagasta esq. Lautaro;-22.45688204;-68.92002874;3
P-10-7;Antofagasta esq. Fresia;-22.45644784;-68.91890154;3
P-10-8;Antofagasta esq. Los Algarrobos;-22.45542637;-68.91767751;3
P-15-10;Balmaceda Mall Nº 2 Poniente;-22.44870636;-68.92033471;3
P-15-12;Balmaceda Mall Nº 4 Oriente;-22.44926644;-68.92025664;3
P-15-16;Balmaceda Mall Nº 9 Oriente;-22.45290766;-68.92127507;3
P-15-17;Balmaceda Mall Nº 10 Poniente;-22.45364867;-68.92172173;3
P-15-19;Balmaceda esq. Antofagasta;-22.45944901;-68.92270015;3
P-15-8;Balmaceda esq. Almirante Grau;-22.44738709;-68.91972319;3
P-15-9;Balmaceda Mall Nº 1 Oriente;-22.44860684;-68.92003349;3
P-16-1;Bartolomé Vivar esq. Antofagasta;-22.45837498;-68.92487792;3
P-16-2;Bartolomé Vivar esq. Bañados Espinoza;-22.45913379;-68.92475115;3
P-16-3;Bartolomé Vivar esq. Bañados Espinoza;-22.46001006;-68.92469236;3
P-16-4;Bartolomé Vivar esq. Rafael Sotomayor;-22.46244016;-68.92455497;3
P-20-1;Camarones esq. Conde Duque;-22.43589617;-68.92058498;3
P-20-3;Camarones esq. Central Norte;-22.4382452;-68.92092377;3
P-25-4;Chorrillos esq. Faustino Sarmiento;-22.45388442;-68.92351965;3
P-25-6;Chorrillos esq. Sargento Aldea;-22.45412791;-68.92262535;3
P-25-7;Chorrillos esq. 2 Oriente;-22.45360869;-68.91415052;3
P-29-3;Colo Colo esq. Tarapacá;-22.45878015;-68.94371416;3
P-29-5;Colo Colo esq. Eleuterio Ramírez;-22.46201428;-68.94352818;3
P-3-1;Alcalde José Lira esq. Escritor Héctor Pumarino Soto;-22.48013856;-68.90849598;3
P-32-5;Diego De Almagro esq. Costa Rica;-22.44801491;-68.92929583;3
P-39-5;Ernesto Riquelme esq. Central Norte;-22.43827383;-68.9241113;3
P-40-1;Escritor Héctor Pumarino Soto esq. Ramón Silva Ulloa;-22.48025662;-68.90958466;3
P-44-1;Frankfurt esq. Diego De Almagro;-22.44769301;-68.93734312;3
P-44-2;Frankfurt esq. Hernán Cortés;-22.4483255;-68.93761497;3
P-44-3;Frankfurt esq. Federico Errazuriz;-22.45146052;-68.93811895;3
P-44-5;Frankfurt esq. Maipú;-22.45425213;-68.93835098;3
P-44-6;Frankfurt esq. Vasco De Gama;-22.45428832;-68.93848703;3
P-46-1;Granaderos esq. Curutu;-22.43427241;-68.92556143;3
P-46-11;Granaderos esq. Simón Bolívar;-22.44694829;-68.92793575;3
P-46-12;Granaderos esq. Diego De Almagro;-22.44765308;-68.92823667;3
P-46-13;Granaderos esq. Manuel Montt;-22.44858368;-68.92844028;3
P-46-14;Granaderos esq. Heriberto Salgado;-22.44975813;-68.92848827;3
P-46-16;Granaderos esq. Federico Errazuriz;-22.45162843;-68.9290413;3
P-46-17;Granaderos esq. Federico Errazuriz;-22.45173677;-68.92888574;3
P-46-18;Granaderos esq. Maipú;-22.45253192;-68.92923522;3
P-46-19;Granaderos esq. Vasco De Gama;-22.45393226;-68.9293803;3
P-46-21;Granaderos esq. Hurtado De Mendoza;-22.45509766;-68.92938943;3
P-46-23;Granaderos esq. Bañados Espinoza;-22.46017436;-68.92838573;3
P-46-24;Granaderos esq. Eleuterio Ramírez;-22.46177319;-68.92794752;3
P-46-26;Granaderos esq. Porvenir;-22.46664223;-68.92725488;3
P-46-5;Granaderos esq. Ascotán;-22.44146419;-68.92698618;3
P-47-11;Grecia esq. Maipú;-22.45355467;-68.93370552;3
P-47-12;Grecia esq. Hurtado De Mendoza;-22.45570475;-68.9336559;3
P-47-13;Grecia esq. Hurtado De Mendoza;-22.45584033;-68.93381135;3
P-47-14;Grecia esq. Eleuterio Ramírez;-22.46261569;-68.93338046;3
P-47-6;Grecia esq. Pje. Cuatro;-22.44700452;-68.93261042;3
P-47-7;Grecia esq. Manuel Montt;-22.44935352;-68.93295916;3
P-47-9;Grecia esq. Federico Errazuriz;-22.45029321;-68.93330859;3
P-5-2;Alejandro Rodríguez esq. Guatemala;-22.43856647;-68.93207028;3
P-5-3;Alejandro Rodríguez esq. España;-22.43884582;-68.93040834;3
P-5-5;Alejandro Rodríguez esq. Dinamarca;-22.43894487;-68.92966971;3
P-5-6;Alejandro Rodríguez esq. Argentina;-22.43930529;-68.92753153;3
P-51-2;Honduras esq. Independencia;-22.44249682;-68.93333176;3
P-52-10;Huaytiquina esq. Valle De La Luna;-22.43487217;-68.91441471;3
P-52-11;Huaytiquina esq. Tocorpuri;-22.43531435;-68.91350096;3
P-52-13;Huaytiquina esq. Ferrocarril;-22.43691257;-68.91199368;3
P-52-14;Huaytiquina esq. Chañarcillo;-22.43841142;-68.91051558;3
P-52-15;Huaytiquina esq. Hojalar;-22.43914281;-68.909864;3
P-52-16;Huaytiquina esq. El Tambo;-22.44024422;-68.90853189;3
P-52-17;Huaytiquina esq. Pator;-22.44059642;-68.90830813;3
P-52-18;Huaytiquina esq. El Litio;-22.44190556;-68.90689811;3
P-52-19;Huaytiquina esq. Palqui;-22.44193253;-68.90667457;3
P-52-20;Huaytiquina esq. Pukara;-22.44306107;-68.90544929;3
