id;id_station_measure
101633-Lte;Claro;101
101634-Lte;Claro;101
101635-Gsm;Claro;104
101635-Lte;Claro;101
101896-Lte;Claro;114
101899-Lte;Claro;112
101901-Lte;Claro;111
101902-Lte;Claro;111
101904-Lte;Claro;110
101905-Lte;Claro;109
101906-Lte;Claro;109
1029671-Lte;Movistar;103
1044512-Lte;Movistar;103
1044517-Lte;Movistar;103
1044518-Lte;Movistar;103
1048607-Lte;Movistar;2
1048613-Lte;Movistar;2
1048865-Lte;Movistar;75
1048871-Lte;Movistar;75
10507777-Lte;Entel;75
10507778-Lte;Entel;75
10507784-Lte;Entel;75
10514178-Lte;Entel;39
1052689-Wcdma;Movistar;33
1057313-Lte;Movistar;58
1057319-Lte;Movistar;58
1057575-Lte;Movistar;58
106500-Lte;Claro;7
106501-Lte;Claro;7
106753-Lte;Claro;91
107011-Lte;Claro;1
107017-Gsm;Claro;1
107017-Lte;Claro;1
1072935-Lte;Movistar;64
1073428-Wcdma;Movistar;54
1073430-Lte;Movistar;83
1073433-Wcdma;Movistar;14
1073441-Lte;Movistar;83
1074463-Lte;Movistar;58
10756097-Lte;Entel;58
10756099-Lte;Entel;60
10756865-Lte;Entel;103
10756866-Lte;Entel;104
1076001-Lte;Movistar;39
1076005-Lte;Movistar;39
1076006-Lte;Movistar;39
1079591-Lte;Movistar;3
1080853-Lte;Movistar;70
1080863-Lte;Movistar;70
10812419-Lte;Entel;61
10818562-Lte;Entel;39
1081952-Wcdma;Movistar;20
10861316-Lte;Entel;60
10873861-Lte;Entel;73
10883841-Lte;Entel;64
10883842-Lte;Entel;64
10902019-Lte;Entel;67
10902021-Lte;Entel;66
10902023-Lte;Entel;66
10902025-Lte;Entel;66
1091623-Lte;Movistar;100
10969345-Lte;Entel;17
10972161-Lte;Entel;16
10972162-Lte;Entel;16
10984449-Lte;Entel;74
10984451-Lte;Entel;74
1098517-Lte;Movistar;37
1098518-Lte;Movistar;38
1098527-Lte;Movistar;38
1098528-Lte;Movistar;37
1098529-Lte;Movistar;38
1098533-Lte;Movistar;37
1098535-Lte;Movistar;38
1098535-Lte;WOM;38
10986758-Lte;Entel;61
1100311-Lte;Movistar;69
1100321-Lte;Movistar;69
1100325-Lte;Movistar;66
1100327-Lte;Movistar;69
1101589-Lte;Movistar;66
1101590-Lte;Movistar;68
1101591-Lte;Movistar;67
1101599-Lte;Movistar;66
1101601-Lte;Movistar;67
1101601-Lte;WOM;67
1106719-Lte;Movistar;39
1106725-Lte;Movistar;39
110849-Lte;Claro;10
1110303-Lte;Movistar;39
111106-Lte;Claro;9
111107-Lte;Claro;9
111361-Lte;Claro;8
111362-Lte;Claro;8
111363-Lte;Claro;8
111617-Lte;Claro;6
111618-Lte;Claro;6
111619-Lte;Claro;6
111873-Lte;Claro;5
111874-Lte;Claro;5
112129-Lte;Claro;4
112130-Gsm;Claro;3
112130-Lte;Claro;4
112131-Lte;Claro;4
1127305-Wcdma;Movistar;78
11276033-Lte;Entel;39
1127907-Wcdma;Movistar;78
1129767-Lte;Movistar;37
11302145-Lte;Entel;67
11302147-Lte;Entel;68
1131295-Wcdma;Movistar;78
1131632-Wcdma;Movistar;78
11339266-Lte;Entel;84
11339267-Lte;Entel;84
11349249-Lte;Entel;70
11349250-Lte;Entel;70
11390209-Lte;Entel;90
11390210-Lte;Entel;90
1146839-Wcdma;Movistar;78
114689-Lte;Claro;92
114689-Lte;WOM;93
114945-Lte;Claro;90
115201-Lte;Claro;89
115457-Lte;Claro;88
11559169-Lte;Entel;106
115713-Lte;Claro;87
11599875-Lte;Entel;39
11600387-Lte;Entel;83
11619585-Lte;Entel;14
11619586-Lte;Entel;14
11619841-Lte;Entel;15
11619842-Lte;Entel;15
11634433-Lte;Entel;91
11634434-Lte;Entel;91
11634945-Lte;Entel;92
11634946-Lte;Entel;92
11635201-Lte;Entel;93
11635202-Lte;Entel;93
11635457-Lte;Entel;94
11635460-Lte;Entel;94
11639810-Lte;Entel;82
11639813-Lte;Entel;82
1168554-Wcdma;Movistar;79
1168555-Wcdma;Movistar;79
1168557-Wcdma;Movistar;79
1168558-Wcdma;Movistar;79
1174558-Wcdma;Movistar;47
1174559-Wcdma;Movistar;47
1174560-Gsm;Movistar;47
1174560-Wcdma;Movistar;47
1174561-Wcdma;Movistar;47
1174562-Wcdma;Movistar;47
1174563-Wcdma;Movistar;47
1174564-Wcdma;Movistar;48
1174565-Gsm;Movistar;48
1174565-Wcdma;Movistar;48
1174566-Gsm;Movistar;48
1174566-Wcdma;Movistar;48
1174567-Wcdma;Movistar;48
1174568-Wcdma;Movistar;48
1174569-Wcdma;Movistar;48
1174570-Gsm;Movistar;49
1174570-Wcdma;Movistar;49
1174571-Wcdma;Movistar;49
