mode;code;name;latitude;longitude;services
1;1;Camino Agrícola;-33.49158577;-70.61753772;L5
1;100;Zapadores;-33.39093874;-70.64245073;L2
1;101;Cerrillos;-33.48337383;-70.6955073;L6
1;102;Lo Valledor;-33.47829039;-70.68074042;L6
1;103;Pdte. Pedro Aguirre Cerda;-33.47868711;-70.66471343;L6
1;104;Bio Bio;-33.47640257;-70.64195268;L6
1;105;Estadio Nacional;-33.46228967;-70.60611531;L6
1;106;Ñuñoa ;-33.45427006;-70.6049023;L3-L6
1;107;Ines de Suárez;-33.43888194;-70.60721124;L6
1;108;Los Libertadores;-33.36543961;-70.6924418;L3
1;109;Cardenal Caro;-33.37345293;-70.68610494;L3
1;110;Vivaceta;-33.38588319;-70.67922839;L3
1;111;Conchalí;-33.3979901;-70.66954836;L3
1;112;Plaza Chacabuco;-33.40657255;-70.6610352;L3
1;113;Hospitales;-33.41766423;-70.65637484;L3
1;115;Parque Almagro;-33.45138975;-70.6504964;L3
1;116;Avenida Matta;-33.45823915;-70.64268604;L3
1;117;Mons. Eyzaguirre;-33.45317098;-70.61384387;L3
1;118;Chile-España;-33.45495212;-70.59748059;L3
1;119;Villa Frei;-33.45462242;-70.5809922;L3
1;12;Puente Cal y Canto ;-33.43272221;-70.65250915;L2-L3
1;120;Fernando Castillo Velasco;-33.45207371;-70.55792289;L3
1;13;Cerro Blanco;-33.42255949;-70.64498188;L2
1;14;Cementerios;-33.41407403;-70.64356368;L2
1;15;Universidad de Chile ;-33.44381576;-70.65039595;L1-L3
1;16;Ciudad del Niño;-33.51016653;-70.65686527;L2
1;17;Cristóbal Colón;-33.42623115;-70.59097429;L4
1;18;Carlos Valdovinos;-33.48564214;-70.61965503;L5
1;19;Departamental;-33.50255786;-70.6546427;L2
1;2;San Alberto Hurtado;-33.4541158;-70.69244156;L1
1;20;Dorsal;-33.39680665;-70.6426794;L2
0;200;Alameda;-33.45117072;-70.6788937;MTN-MTR
0;201;Lo Valledor;-33.47827323;-70.68067552;MTN-MTR
0;202;Pedro Aguirre Cerda (MT);-33.49311883;-70.68187723;MTN-MTR
0;203;Lo Espejo;-33.51381547;-70.68585195;MTN-MTR
0;204;Lo Blanco;-33.57281273;-70.69829921;MTN
0;205;Freire;-33.58716772;-70.69841886;MTN
0;206;San Bernardo;-33.59431616;-70.69796632;MTN-MTR
0;207;Maestranza;-33.60650325;-70.69703052;MTN-MTR
0;208;Cinco Pinos;-33.62328045;-70.7006903;MTN
0;209;Nos;-33.63287163;-70.7049;MTN-MTR
0;210;BuinZoo;-33.71355341;-70.72444894;MTR
0;211;Buin;-33.73268741;-70.72843659;MTR
0;212;Linderos;-33.76378999;-70.73482644;MTR
0;213;Paine;-33.81619554;-70.74348967;MTR
0;214;Hospital;-33.86823719;-70.74594173;MTR
0;215;San Francisco;-33.9772934;-70.71328319;MTR
0;216;Graneros;-34.06591309;-70.72509864;MTR
0;217;Rancagua;-34.17050524;-70.75298953;MTR
1;23;Ecuador;-33.4560549;-70.69967678;L1
1;24;Plaza Egaña ;-33.4532828;-70.57073648;L3-L4
1;25;Einstein;-33.40573774;-70.64313783;L2
1;26;Estación Central;-33.4509776;-70.67916969;L1
1;27;Escuela Militar;-33.41375834;-70.58325147;L1
1;28;El Parrón;-33.52653641;-70.66143062;L2
1;29;Franklin;-33.47621941;-70.64963277;L2-L6
1;3;Alcántara;-33.41532925;-70.58946345;L1
1;30;Príncipe de Gales;-33.43916616;-70.57309591;L4
1;31;Gruta de Lourdes;-33.43826562;-70.69084291;L5
1;32;El Golf;-33.41661106;-70.59569187;L1
1;33;Hernando de Magallanes;-33.40790476;-70.55621978;L1
1;34;Hospital Sótero del Río;-33.57646866;-70.58238104;L4
1;35;Irarrázaval ;-33.45376927;-70.62877705;L3-L5
1;38;Unión Latino Americana;-33.44947094;-70.67321305;L1
1;39;La Cisterna ;-33.5373816;-70.66438417;L2-L4A
1;4;Santa Ana ;-33.43832363;-70.65985451;L2-L5
1;40;Los Dominicos;-33.40789932;-70.54511181;L1
1;41;Los Leones;-33.42217108;-70.60859166;L1-L6
1;42;Bellavista de la Florida;-33.51982871;-70.59965221;L5
1;44;Los Héroes ;-33.44615329;-70.66039094;L1-L2
1;45;El Llano;-33.48270587;-70.64945441;L2
1;46;La Moneda;-33.44485707;-70.65481544;L1
1;47;Lo Ovalle;-33.51720303;-70.65871128;L2
1;48;Los Presidentes;-33.4798036;-70.57871606;L4
1;5;Vespucio Norte;-33.38043757;-70.64682174;L2
1;50;Las Rejas;-33.45715883;-70.7059707;L1
1;52;Las Torres;-33.50004203;-70.58708134;L4
1;53;Lo Vial;-33.49727563;-70.65311058;L2
1;54;Mirador;-33.51293918;-70.60658782;L5
1;56;Las Mercedes;-33.60211937;-70.57720235;L4
1;57;Manuel Montt;-33.42834568;-70.61921362;L1
1;58;Manquehue;-33.40925315;-70.568739;L1
1;6;Baquedano ;-33.43704093;-70.63353064;L1-L5
1;61;Ñuble ;-33.4671905;-70.62518673;L5-L6
1;62;Los Orientales;-33.46246076;-70.57379639;L4
1;64;Parque Bustamante;-33.44279248;-70.63163763;L5
1;65;Pedrero;-33.50781891;-70.61267243;L5
1;67;Pajaritos;-33.4579884;-70.71577752;L1
1;69;Plaza de Puente Alto;-33.60954872;-70.57591498;L4
1;7;Bellas Artes;-33.43661601;-70.64452646;L5
1;70;Parque O`higgins;-33.46046715;-70.65687656;L2
1;71;Lo Prado;-33.44329809;-70.71641329;L5
1;72;Patronato;-33.42963814;-70.64707294;L2
1;73;Pudahuel;-33.44483491;-70.74072257;L5
1;74;Pedro de Valdivia;-33.42547006;-70.61427742;L1
