paradero;servicio;distancia
PB1;101I;257
PB2;101I;660
PB3;101I;1022
PB4;101I;1515
PB5;101I;1886
PB6;101I;2238
PB7;101I;2518
PB8;101I;2676
PB9;101I;2961
PB10;101I;3230
PB11;101I;3457
PB1587;101I;3822
PB14;101I;4233
PB15;101I;4571
PB16;101I;4958
PB18;101I;5420
PB1469;101I;5711
PB1563;101I;6236
PB21;101I;6629
PB22;101I;7383
PB23;101I;7692
PB24;101I;8183
PB108;101I;8635
PJ1;101I;9356
PJ2;101I;9664
PJ3;101I;10105
PJ4;101I;10398
PJ5;101I;10830
PJ6;101I;10963
PJ7;101I;11279
PJ8;101I;11706
PJ9;101I;12071
PJ10;101I;12396
PJ11;101I;12852
PJ12;101I;13136
PJ13;101I;13447
PJ14;101I;13727
PJ15;101I;13943
PJ1582;101I;14159
PJ16;101I;14320
PJ17;101I;14617
PJ18;101I;15173
PI1;101I;15614
PI1489;101I;16018
PI3;101I;16382
PI4;101I;16602
PI5;101I;16932
PI6;101I;17183
PI7;101I;17396
PI8;101I;17689
PI9;101I;17966
PI10;101I;18242
PI11;101I;18550
PI12;101I;18864
PI13;101I;19322
PI14;101I;19540
PI1440;101I;19704
PI15;101I;19998
PI16;101I;20332
PI17;101I;20582
PI18;101I;20846
PI19;101I;21068
PI20;101I;21349
PI21;101I;21703
PI1321;101I;22067
PI1323;101I;22336
PI24;101I;22570
PI25;101I;22758
PI1643;101I;23015
PI1642;101I;23340
PI1641;101I;23536
PI1635;101I;23869
PI1640;101I;24108
PI695;101I;24575
PI1242;101I;24840
PI1243;101I;25086
PI883;101R;165
PI884;101R;454
PI1646;101R;727
PI1644;101R;937
PI1636;101R;1189
PI889;101R;1498
PI890;101R;1814
PI891;101R;2004
PI892;101R;2271
PI26;101R;2460
PI27;101R;2661
PI28;101R;2972
PI29;101R;3195
PI30;101R;3535
PI31;101R;3795
PI32;101R;4044
PI33;101R;4355
PI1441;101R;4556
PI34;101R;4768
PI1419;101R;5283
PI35;101R;5608
PI36;101R;5745
PI37;101R;6135
PI38;101R;6381
PI39;101R;6591
PI40;101R;6801
PI41;101R;7140
PI42;101R;7367
PI43;101R;7620
PI44;101R;7908
PI45;101R;8450
PI46;101R;8922
PI47;101R;9528
PI48;101R;9823
PJ19;101R;10155
PJ20;101R;10440
PJ21;101R;10718
PJ22;101R;11047
PJ23;101R;11304
PJ24;101R;11637
PJ25;101R;12082
PJ26;101R;12561
PJ27;101R;12871
PJ28;101R;13320
PJ29;101R;13735
PJ30;101R;14069
PJ31;101R;14490
PJ32;101R;14703
PB25;101R;15532
PB26;101R;15780
PB27;101R;16191
PB28;101R;16576
PB29;101R;17327
PB31;101R;17776
PB32;101R;18335
PB1586;101R;18773
PB35;101R;19080
PB36;101R;19453
PB37;101R;19819
PB38;101R;20232
PB40;101R;20629
PB41;101R;20933
PB42;101R;21138
PB43;101R;21429
PB44;101R;21609
PB45;101R;21796
PB46;101R;22153
PB47;101R;22411
PB1878;101R;22872
PB48;101R;23144
PB49;101R;23403
PB50;101R;23776
PI1840;102I;60
PI909;102I;812
PI910;102I;984
PI1079;102I;1532
PI1080;102I;1769
PI1081;102I;2013
PJ18;102I;2310
PI1;102I;2750
PI2;102I;3129
PI49;102I;3475
PI50;102I;3926
PI51;102I;4422
PI53;102I;5415
PI1375;102I;5700
PI55;102I;5993
PI56;102I;6315
PH2;102I;6839
PH3;102I;7395
PH4;102I;7803
PH5;102I;8154
PH6;102I;8396
PH1454;102I;8685
PH7;102I;8969
PH8;102I;9217
PH9;102I;9590
PH10;102I;9840
PH11;102I;10079
PH12;102I;10498
PH13;102I;10771
PH14;102I;11078
PH15;102I;11485
PH16;102I;11642
PH17;102I;12010
PH18;102I;12185
PH19;102I;12606
PH1456;102I;12830
PH1491;102I;13148
PH21;102I;13336
PH22;102I;13600
PE1500;102I;14270
PE2;102I;14624
PE3;102I;15268
PE4;102I;15662
PE5;102I;15991
PE1292;102I;16352
PE7;102I;16925
PE8;102I;17198
PE9;102I;17429
PE10;102I;17964
PE11;102I;18385
PE12;102I;18739
PE13;102I;19153
PE14;102I;19545
PE15;102I;20021
PE16;102I;20496
PE17;102I;20939
PE18;102I;21312
PE19;102I;21585
PE20;102I;21977
PE21;102I;22180
PE22;102I;22520
PF1;102I;22894
PF2;102I;23210
PF3;102I;23794
PF4;102I;24338
PF5;102R;0
PF829;102R;197
PF6;102R;414
PF7;102R;988
PF8;102R;1538
PF9;102R;1840
PF10;102R;2160
PF11;102R;2436
PF12;102R;2734
PF13;102R;3136
PF15;102R;3746
PE23;102R;4224
PE24;102R;4679
PE25;102R;5170
PE26;102R;5704
PE27;102R;6005
PE28;102R;6387
PE29;102R;6703
PE1287;102R;6932
PE1383;102R;7119
PE30;102R;7298
PE31;102R;7550
PE32;102R;7877
PE33;102R;8304
PD1444;102R;8786
PD1;102R;9147
PD2;102R;9445
PD1161;102R;9908
PD4;102R;10241
PD904;102R;10690
PH23;102R;11386
PH24;102R;11758
PH1455;102R;11997
PH26;102R;12376
PH27;102R;12682
PH28;102R;12903
PH29;102R;13158
PH30;102R;13519
PH31;102R;13791
PH32;102R;14221
PH33;102R;14477
PH34;102R;14712
PH35;102R;15049
PH36;102R;15286
PH37;102R;15621
PH38;102R;15979
PH1453;102R;16230
PH39;102R;16496
PH40;102R;16750
PH41;102R;17081
PH42;102R;17439
PH43;102R;18001
PH44;102R;18427
PI58;102R;19283
PI59;102R;19424
PI60;102R;19601
PI61;102R;20419
PI62;102R;20843
PI63;102R;21357
PI64;102R;21690
PI45;102R;22031
PI1661;102R;22513
PI438;102R;23126
PI1793;102R;23641
PI1841;102R;24158
PC1;103I;143
PC2;103I;577
PC3;103I;1112
PC4;103I;1486
PC5;103I;1798
PC6;103I;2091
PC7;103I;2346
PC8;103I;2587
PC9;103I;2818
PC10;103I;3078
PC11;103I;3380
PD6;103I;3741
PD7;103I;3943
PD8;103I;4321
PD9;103I;4829
PD10;103I;5269
PD11;103I;5561
PD12;103I;5985
PD13;103I;6145
PD14;103I;6588
PD15;103I;6900
PD16;103I;7172
PD17;103I;7471
PD18;103I;7806
PD19;103I;8248
PD20;103I;8609
PD21;103I;8883
PD22;103I;9223
PD23;103I;9467
PD24;103I;9843
PD25;103I;10215
PD26;103I;10311
PD27;103I;10547
PD28;103I;10799
PD29;103I;11034
PD1161;103I;11166
PD4;103I;11499
PD904;103I;11947
PH23;103I;12643
PH46;103I;13080
PH47;103R;294
PH48;103R;536
PH49;103R;908
PH1443;103R;1431
PH1442;103R;1845
PH1491;103R;2120
PH21;103R;2309
PH22;103R;2573
PH672;103R;2813
PE1500;103R;3242
PE2;103R;3597
PD30;103R;4002
PD31;103R;4488
PD32;103R;4641
PD33;103R;4910
PD34;103R;5339
PD35;103R;5663
PD36;103R;5929
PD37;103R;6216
PD38;103R;6594
PD39;103R;6996
PD40;103R;7359
PD41;103R;7677
PD42;103R;7923
PD43;103R;8251
PD44;103R;8673
PD45;103R;8859
PD46;103R;9381
PD47;103R;9574
PD48;103R;10034
PD49;103R;10462
PD50;103R;10905
PD51;103R;11094
PD52;103R;11468
PC12;103R;11728
PC13;103R;12048
PC14;103R;12337
PC15;103R;12512
PC16;103R;12797
PC17;103R;13049
PC18;103R;13365
PC19;103R;13592
PC20;103R;13962
PC21;103R;14362
PC22;104I;485
PC23;104I;977
PC24;104I;1303
PC25;104I;1827
PC26;104I;2092
PC27;104I;2365
PC28;104I;2620
PD53;104I;3086
PD1629;104I;3330
PD54;104I;3499
PD56;104I;3780
