line,name_station,lat,lon,id_measure,id_gtfs
L1,Los Dominicos,-33.407895,-70.545109,27,40
L1,Hernando de Magallanes,-33.407904,-70.556213,26,33
L1,Manquehue,-33.409251,-70.568734,25,58
L1,Escuela Militar,-33.413752,-70.58325,24,27
L1,Alcántara,-33.415325,-70.589453,23,3
L1,El Golf,-33.416611,-70.595688,22,32
L1,Tobalaba,-33.418145,-70.601353,21,93
L1,Los Leones,-33.422164,-70.60859,20,41
L1,Pedro de Valdivia,-33.425465,-70.614273,19,74
L1,Manuel Montt,-33.428341,-70.619209,18,57
L1,Salvador,-33.433107,-70.626585,17,85
L1,Baquedano,-33.437036,-70.633527,16,6
L1,Universidad Católica,-33.440216,-70.640549,15,96
L1,Santa Lucia,-33.442691,-70.64572,14,89
L1,Universidad de Chile,-33.443809,-70.650391,13,15
L1,La Moneda,-33.444857,-70.654811,12,46
L1,Los Héroes,-33.446148,-70.660382,11,44
L1,República,-33.447952,-70.667564,10,83
L1,Unión Latinoamericana,-33.449467,-70.673203,9,38
L1,Estación Central,-33.45097,-70.679169,8,26
L1,Universidad de Santiago,-33.452896,-70.68615,7,97
L1,San Alberto Hurtado,-33.454113,-70.692436,6,2
L1,Ecuador,-33.456047,-70.699669,5,23
L1,Las Rejas,-33.457157,-70.705963,4,50
L1,Pajaritos,-33.457981,-70.715775,3,67
L1,Neptuno,-33.451546,-70.722687,2,60
L1,San Pablo,-33.444218,-70.723302,1,91
L2,Vespucio Norte,-33.380429,-70.646821,28,5
L2,Zapadores,-33.390938,-70.642441,29,100
L2,Dorsal,-33.396801,-70.642677,30,20
L2,Einstein,-33.405731,-70.643135,31,25
L2,Cementerios,-33.414074,-70.643562,32,14
L2,Cerro Blanco,-33.422554,-70.644974,33,13
L2,Patronato,-33.42963,-70.647064,34,72
L2,Puente Cal y Canto,-33.432716,-70.6525,35,12
L2,Santa Ana,-33.438318,-70.65985,36,4
L2,Los Héroes,-33.446148,-70.660382,37,44
L2,Toesca,-33.452965,-70.658577,38,94
L2,Parque O'Higgins,-33.460464,-70.656868,39,70
L2,Rondizzoni,-33.470043,-70.656331,40,82
L2,Franklin,-33.476217,-70.649632,41,29
L2,El Llano,-33.482703,-70.649445,42,45
L2,San Miguel,-33.488798,-70.651178,43,90
L2,Lo Vial,-33.497272,-70.653107,44,53
L2,Departamental,-33.502556,-70.65464,45,19
L2,Ciudad del Niño,-33.510162,-70.65686,46,16
L2,Lo Ovalle,-33.5172,-70.65871,47,47
L2,El Parrón,-33.526531,-70.661423,48,28
L2,La Cisterna,-33.537376,-70.664381,49,39
L4,Tobalaba,-33.418145,-70.601353,50,93
L4,Cristobal Colón,-33.426224,-70.590973,51,17
L4,Francisco Bilbao,-33.431484,-70.584641,52,8
L4,Príncipe de Gales,-33.439163,-70.57309,53,30
L4,Simón Bolívar,-33.445904,-70.572037,54,86
L4,Plaza Egaña,-33.453278,-70.570732,55,24
L4,Los Orientales,-33.462456,-70.573792,56,62
L4,Grecia,-33.468819,-70.576202,57,79
L4,Los Presidentes,-33.479797,-70.578712,58,48
L4,Quilín,-33.487999,-70.580231,59,84
L4,Las Torres,-33.500034,-70.587074,60,52
L4,Macul,-33.508785,-70.589485,61,55
L4,Vicuña Mackenna,-33.519642,-70.596069,62,99
L4,Vicente Valdés,-33.526337,-70.596756,63,98
L4,Rojas Magallanes,-33.535854,-70.592773,64,80
L4,Trinidad,-33.54702,-70.587654,65,95
L4,San José de la Estrella,-33.553356,-70.586562,66,36
L4,Los Quillayes,-33.560627,-70.585289,67,49
L4,Elisa Correa,-33.569405,-70.583611,68,22
L4,Hospital Sótero del Río,-33.576462,-70.582375,69,34
L4,Protectora de la Infancia,-33.589287,-70.579704,70,66
L4,Las Mercedes,-33.602119,-70.577194,71,56
L4,Plaza de Puente Alto,-33.609547,-70.575905,72,69
L4A,La Cisterna,-33.537376,-70.664381,78,39
L4A,San Ramón,-33.541194,-70.643671,77,81
L4A,Santa Rosa,-33.542511,-70.634125,76,92
L4A,La Granja,-33.541138,-70.615967,75,43
L4A,Santa Julia,-33.531105,-70.605499,74,37
L4A,Vicuña Mackenna,-33.519642,-70.596069,73,99
L5,Plaza de Maipú,-33.510522,-70.75723,79,68
L5,Santiago Bueras,-33.496645,-70.757567,80,11
L5,Del Sol,-33.489991,-70.752848,81,21
L5,Monte Tabor,-33.481816,-70.745165,82,59
L5,Las Parcelas,-33.475394,-70.740043,83,63
L5,Laguna Sur,-33.462563,-70.738066,84,51
L5,Barrancas,-33.452669,-70.739017,85,10
L5,Pudahuel,-33.44483,-70.740722,86,73
L5,San Pablo,-33.444218,-70.723302,87,91
L5,Lo Prado,-33.443298,-70.716412,88,71
L5,Blanqueado,-33.441505,-70.707321,89,9
L5,Gruta de Lourdes,-33.438262,-70.690838,90,31
L5,Quinta Normal,-33.440282,-70.680357,91,76
L5,Cumming,-33.439098,-70.668427,92,78
L5,Santa Ana,-33.438318,-70.65985,93,4
L5,Plaza de Armas,-33.43726,-70.650551,94,75
L5,Bellas Artes,-33.436611,-70.644524,95,7
L5,Baquedano,-33.437036,-70.633527,96,6
L5,Parque Bustamante,-33.442787,-70.63163,97,64
L5,Santa Isabel,-33.447102,-70.630402,98,87
L5,Irarrázaval,-33.453766,-70.628773,99,35
L5,Ñuble,-33.46719,-70.625186,100,61
L5,Rodrigo de Araya,-33.477516,-70.622314,101,77
L5,Carlos Valdovinos,-33.485641,-70.619652,102,18
L5,Camino Agrícola,-33.491585,-70.617531,103,1
L5,San Joaquín,-33.498318,-70.61602,104,88
L5,Pedrero,-33.507812,-70.612663,105,65
L5,Mirador,-33.512936,-70.606583,106,54
L5,Bellavista de La Florida,-33.519822,-70.599652,107,42
L5,Vicente Valdés,-33.526337,-70.596756,108,98
L6,Cerrillos,-33.483371,-70.695506,109,101
L6,Lo Valledor,-33.478283,-70.680678,110,102
L6,Pdte Pedro Aguirre Cerda,-33.478681,-70.664706,111,103
L6,Franklin,-33.476217,-70.649632,112,29
L6,Bio Bio,-33.476402,-70.641942,113,104
L6,Ñuble,-33.46719,-70.625186,114,61
L6,Estadio Nacional,-33.462282,-70.606113,115,105
L6,Ñuñoa,-33.454265,-70.604892,116,106
L6,Inés de Suárez,-33.438878,-70.607201,117,107
L6,Los Leones,-33.422164,-70.60859,118,41
L3,Los Libertadores,-33.365439,-70.69244,119,108
L3,Cardenal Caro,-33.373452,-70.686104,120,109
L3,Vivaceta,-33.385877,-70.679226,121,110
L3,Conchalí,-33.397985,-70.669546,122,111
L3,Plaza Chacabuco,-33.406565,-70.661028,123,112
L3,Hospitales,-33.417663,-70.656373,124,113
L3,Puente Cal y Canto,-33.432716,-70.6525,125,12
L3,Plaza de Armas,-33.43726,-70.650551,126,75
L3,Universidad de Chile,-33.443809,-70.650391,127,15
L3,Parque Almagro,-33.451381,-70.650491,128,115
L3,Matta,-33.458237,-70.642682,129,116
L3,Irarrázaval,-33.453766,-70.628773,130,35
L3,Monseñor Eyzaguirre,-33.453164,-70.613835,131,117
L3,Ñuñoa,-33.454265,-70.604892,132,106
L3,Chile España,-33.454949,-70.59748,133,118
L3,Villa Frei,-33.454618,-70.580987,134,119
L3,Plaza Egaña,-33.453278,-70.570732,135,24
L3,Fernando Castillo Velasco,-33.452065,-70.55792,136,120
