iLat;iLon;stops;services;route_segments;puntos
1;32;PT0228;MTRI/MTRR;50-51/0;
1;33;;MTRI/MTRR;50/0;
2;33;;MTRI/MTRR;50/0;
3;33;;MTRI/MTRR;50/0;
3;34;;MTRI/MTRR;50/0;
4;34;;MTRI/MTRR;50/0;
5;34;;MTRI/MTRR;50/0;
5;35;;MTRI/MTRR;50/0;
6;35;;MTRI/MTRR;50/0;
6;36;;MTRI/MTRR;50/0;
7;36;;MTRI/MTRR;50/0;
8;36;;MTRI/MTRR;50/0;
8;37;;MTRI/MTRR;50/0;
9;37;;MTRI/MTRR;50/0;
10;37;;MTRI/MTRR;50/0;
10;38;;MTRI/MTRR;50/0;
11;38;;MTRI/MTRR;50/0;
11;39;;MTRI/MTRR;50/0;
12;39;;MTRI/MTRR;50/0;
13;39;PT0227;MTRI/MTRR;50/0;
13;40;;MTRI/MTRR;49-50/0-1;
14;40;;MTRI/MTRR;48-49/1-2;
15;40;;MTRI/MTRR;48/2;
16;40;;MTRI/MTRR;47-48/2-3;
16;41;;MTRI/MTRR;47/3;
17;41;;MTRI/MTRR;47/3;
18;41;;MTRI/MTRR;47/3;
19;41;;MTRI/MTRR;47/3;
20;41;;MTRI/MTRR;47/3;
21;41;;MTRI/MTRR;47/3;
21;42;;MTRI/MTRR;47/3;
22;42;;MTRI/MTRR;46-47/3-4;
23;42;PT0226;MTRI/MTRR;44-45-46/4-5-6;
24;42;;MTRI/MTRR;43-44/6-7;
25;42;;MTRI/MTRR;41-42-43/7-8-9;
26;41;;MTRI/MTRR;39-40/10-11;
26;42;;MTRI/MTRR;40-41/9-10;
27;41;;MTRI/MTRR;35-36-37-38-39/11-12-13-14-15;
28;39;;MTRI/MTRR;33-34-35/15-16-17;
28;40;;MTRI/MTRR;35/15;
28;41;;MTRI/MTRR;35/15;
29;39;;MTRI/MTRR;32-33/17-18;
30;37;;MTRI/MTRR;29/21;
30;38;;MTRI/MTRR;29/21;
30;39;;MTRI/MTRR;29-30-31-32/18-19-20-21;
31;35;;MTRI/MTRR;28-29/21-22;
31;36;;MTRI/MTRR;29/21;
31;37;;MTRI/MTRR;29/21;
32;34;;MTRI/MTRR;25-26-27-28/22-23-24-25;
32;35;;MTRI/MTRR;28/22;
33;34;;MTRI/MTRR;25/25;
34;33;;MTRI/MTRR;24-25/25-26;
34;34;;MTRI/MTRR;23-24-25/25-26-27;
35;34;PT0225;MTRI/MTRR;20-21-22-23/27-28-29-30;
36;34;;MTRI/MTRR;20/30;
37;34;;MTRI/MTRR;20/30;
38;34;;MTRI/MTRR;20/30;
39;34;;MTRI/MTRR;19-20/30-31;
40;34;;MTRI/MTRR;18-19/31-32;
41;34;;MTRI/MTRR;18/32;
41;35;PT0224;MTRI/MTRR;18/32;
42;35;;MTRI/MTRR;18/32;
42;36;;;;150
43;35;;MTRI/MTRR;18/32;
44;35;;MTRI/MTRR;18/32;
44;36;;MTRI/MTRR;18/32;
45;36;;MTRI/MTRR;17-18/32-33;
46;36;;MTRI/MTRR;17/33;
47;36;;MTRI/MTRR;17/33;
47;37;PT0223;MTRI/MTRR;17/33;
48;37;;MTRI/MTRR;17/33;
49;37;;MTRI/MTRR;17/33;
49;38;;MTRI/MTRR;17/33;
50;38;;MTRI/MTRR;17/33;
51;27;;;;27
51;33;;;;205
51;35;;;;148
51;36;;;;35/1941
51;37;;;;130
51;38;PT0222;MTRI/MTRR;17/33;
51;39;;MTRI/MTRR;17/33;
51;49;;;;36
52;39;;MTRI/MTRR;17/33;
53;39;PT0221;MTRI/MTRR;17/33;
53;40;;MTRI/MTRR;17/33;
54;40;;MTRI/MTRR;17/33;
55;40;;MTRI/MTRR;15-16-17/33-34-35;
56;39;;MTRI/MTRR;14-15/35-36;
