stop_code;stop_name;stop_lat;stop_lon;stop_mode
1;Camino Agrícola;-33.49158577;-70.61753772;1
10;Barrancas;-33.45267751;-70.73901813;1
100;Zapadores;-33.39093874;-70.64245073;1
101;Cerrillos;-33.48337383;-70.6955073;1
102;Lo Valledor;-33.47824604;-70.68068575;1
103;Pdte. Pedro Aguirre Cerda;-33.47868711;-70.66471343;1
104;Bio Bio;-33.47640257;-70.64195268;1
105;Estadio Nacional;-33.46228967;-70.60611531;1
106;Ñuñoa ;-33.45427006;-70.6049023;1
107;Ines de Suárez;-33.43888194;-70.60721124;1
108;Los Libertadores;-33.36548469;-70.69244267;1
109;Cardenal Caro;-33.37345293;-70.68610494;1
11;Santiago Bueras;-33.4966492;-70.75757079;1
110;Vivaceta;-33.38588319;-70.67922839;1
111;Conchalí;-33.3979901;-70.66954836;1
112;Plaza Chacabuco;-33.40657255;-70.6610352;1
113;Hospitales;-33.41766423;-70.65637484;1
115;Parque Almagro;-33.45138975;-70.6504964;1
116;Avenida Matta;-33.45823915;-70.64268604;1
117;Mons. Eyzaguirre;-33.45317098;-70.61384387;1
118;Chile-España;-33.45495212;-70.59748059;1
119;Villa Frei;-33.45462242;-70.5809922;1
12;Puente Cal y Canto ;-33.43272221;-70.65250915;1
120;Fernando Castillo Velasco;-33.45207371;-70.55792289;1
13;Cerro Blanco;-33.42255949;-70.64498188;1
14;Cementerios;-33.41407403;-70.64356368;1
15;Universidad de Chile ;-33.44381576;-70.65039595;1
16;Ciudad del Niño;-33.51016653;-70.65686527;1
17;Cristóbal Colón;-33.42623115;-70.59097429;1
18;Carlos Valdovinos;-33.48564214;-70.61965503;1
19;Departamental;-33.50255786;-70.6546427;1
2;San Alberto Hurtado;-33.4541158;-70.69244156;1
20;Dorsal;-33.39680665;-70.6426794;1
21;Del Sol;-33.48999766;-70.75285145;1
22;Elisa Correa;-33.5694096;-70.58362038;1
23;Ecuador;-33.4560549;-70.69967678;1
24;Plaza Egaña ;-33.4532828;-70.57073648;1
25;Einstein;-33.40573774;-70.64313783;1
26;Estación Central;-33.4509776;-70.67916969;1
27;Escuela Militar;-33.41375834;-70.58325147;1
28;El Parrón;-33.52653641;-70.66143062;1
29;Franklin;-33.47621941;-70.64963277;1
3;Alcántara;-33.41532925;-70.58946345;1
30;Príncipe de Gales;-33.43916616;-70.57309591;1
31;Gruta de Lourdes;-33.43826562;-70.69084291;1
32;El Golf;-33.41661106;-70.59569187;1
33;Hernando de Magallanes;-33.40790476;-70.55621978;1
34;Hospital Sótero del Río;-33.57646866;-70.58238104;1
35;Irarrázaval ;-33.45376927;-70.62877705;1
36;San José de la Estrella;-33.5533645;-70.58656955;1
37;Santa Julia;-33.53110695;-70.60550244;1
38;Unión Latino Americana;-33.44947094;-70.67321305;1
39;La Cisterna ;-33.5373816;-70.66438417;1
4;Santa Ana ;-33.43832363;-70.65985451;1
40;Los Dominicos;-33.40789932;-70.54511181;1
41;Los Leones;-33.42217108;-70.60859166;1
42;Bellavista de la Florida;-33.51982871;-70.59965221;1
43;La Granja;-33.54114326;-70.61597279;1
44;Los Héroes ;-33.44615329;-70.66039094;1
45;El Llano;-33.48270587;-70.64945441;1
46;La Moneda;-33.44485707;-70.65481544;1
47;Lo Ovalle;-33.51720303;-70.65871128;1
48;Los Presidentes;-33.4798036;-70.57871606;1
49;Los Quillayes;-33.56063153;-70.58529133;1
5;Vespucio Norte;-33.38043757;-70.64682174;1
50;Las Rejas;-33.45715883;-70.7059707;1
51;Laguna Sur;-33.46256553;-70.73807511;1
52;Las Torres;-33.50004203;-70.58708134;1
53;Lo Vial;-33.49727563;-70.65311058;1
54;Mirador;-33.51293918;-70.60658782;1
55;Macul;-33.50878592;-70.58949095;1
56;Las Mercedes;-33.60211937;-70.57720235;1
57;Manuel Montt;-33.42834568;-70.61921362;1
58;Manquehue;-33.40925315;-70.568739;1
59;Monte Tabor;-33.48181847;-70.74517496;1
6;Baquedano ;-33.43704093;-70.63353064;1
60;Neptuno;-33.45155269;-70.72269726;1
61;Ñuble ;-33.4671905;-70.62518673;1
62;Los Orientales;-33.46246076;-70.57379639;1
63;Las Parcelas;-33.47539752;-70.7400531;1
64;Parque Bustamante;-33.44279248;-70.63163763;1
65;Pedrero;-33.50781891;-70.61267243;1
66;Protectora de la Infancia;-33.58929064;-70.57970577;1
67;Pajaritos;-33.4579884;-70.71577752;1
68;Plaza de Maipú;-33.51052357;-70.75723771;1
69;Plaza de Puente Alto;-33.60954872;-70.57591498;1
7;Bellas Artes;-33.43661601;-70.64452646;1
70;Parque O`higgins;-33.46046715;-70.65687656;1
71;Lo Prado;-33.44329809;-70.71641329;1
72;Patronato;-33.42963814;-70.64707294;1
73;Pudahuel;-33.44483491;-70.74072257;1
74;Pedro de Valdivia;-33.42547006;-70.61427742;1
75;Plaza de Armas ;-33.43726643;-70.65055158;1
76;Quinta Normal;-33.4402839;-70.68036198;1
77;Rodrigo de Araya;-33.47751785;-70.62232331;1
78;Cumming;-33.43910131;-70.66843161;1
79;Grecia;-33.46882419;-70.57620341;1
8;Francisco Bilbao;-33.4314887;-70.58464899;1
80;Rojas Magallanes;-33.5358616;-70.59277553;1
81;San Ramón;-33.54120244;-70.64367267;1
82;Rondizzoni;-33.47005169;-70.65633802;1
83;República;-33.4479598;-70.6675685;1
84;Quilín;-33.48799997;-70.58023168;1
85;Salvador;-33.43310996;-70.62659467;1
86;Simón Bolivar;-33.44590721;-70.57204503;1
87;Santa Isabel;-33.4471104;-70.63040605;1
88;San Joaquín;-33.49832408;-70.61602692;1
89;Santa Lucía;-33.44269642;-70.64572767;1
9;Blanqueado;-33.44151165;-70.70733161;1
90;San Miguel;-33.48880618;-70.6511845;1
91;San Pablo ;-33.44422153;-70.7233053;1
92;Santa Rosa;-33.54251911;-70.63413428;1
93;Tobalaba ;-33.41815235;-70.60135526;1
94;Toesca;-33.4529682;-70.65858433;1
95;Trinidad;-33.54702875;-70.58765998;1
96;Universidad Católica;-33.44022189;-70.64054994;1
97;Universidad de Santiago;-33.45290283;-70.68615667;1
98;Vicente Valdés ;-33.52634117;-70.59675722;1
99;Vicuña Mackenna ;-33.51964942;-70.59607435;1
PA1;PA1-Parada 6  (M) Quinta Normal;-33.44012613;-70.68002548;3
PA10;PA10-Bascuñán Guerrero  esq Avenida El Mirador;-33.46677116;-70.6716302;3
PA100;PA100-Parada 2  Persa Bío Bío;-33.47405799;-70.64194073;3
PA101;PA101-Parada 2  Franklin - Santa Rosa;-33.47199148;-70.64204164;3
PA102;PA102-Parada 2  Sargento Aldea - Santa Rosa;-33.4686251;-70.64223638;3
PA103;PA103-Parada 2  Miguel León Prado - Santa Rosa;-33.46464577;-70.64240879;3
PA104;PA104-Parada 2  Hospital Sn Borja Arriarán;-33.4608973;-70.64285454;3
PA105;PA105-Parada 1  (M) Matta;-33.45767231;-70.64326709;3
PA106;PA106-Parada 2  Colegio Santa María;-33.45212394;-70.64410914;3
PA107;PA107-Parada 2  Cóndor - Santa Rosa;-33.44986438;-70.64448605;3
PA108;PA108-Parada 4  Eleuterio Ramírez - Santa Rosa;-33.44695266;-70.64507655;3
PA109;PA109-Parada 8  (M) Santa Lucía;-33.44339581;-70.64603133;3
PA11;PA11-Bascuñán Guerrero  esq Fray De La Peña;-33.46269181;-70.67253099;3
PA111;PA111-Parada 2  Iglesia La Merced;-33.43834244;-70.646947;3
PA112;PA112-Parada 2  Casa de Los Velasco;-33.43600216;-70.64729;3
PA113;PA113-Parada 3  Mercado Central;-33.43378609;-70.64778592;3
PA114;PA114-Parada 2  Huérfanos - Mac - Iver;-33.43963502;-70.64672402;3
PA115;PA115-Parada 6  (M) Santa Lucía;-33.4433254;-70.64590091;3
PA116;PA116-Carmen  esq Sara Del Campo;-33.44418323;-70.6430987;3
PA117;PA117-Carmen  esq Marín;-33.44734896;-70.64239461;3
PA118;PA118-Carmen  esq Santa Isabel;-33.44968492;-70.64169635;3
PA119;PA119-Carmen  esq Av 10 de Julio;-33.45249113;-70.64089933;3
PA12;PA12-Bascuñán Guerrero  esq Av Blanco Encalada;-33.4587471;-70.67347734;3
PA120;PA120-Carmen  esq Coquimbo;-33.45435483;-70.6404503;3
PA121;PA121-Carmen  esq Av Manuel A Matta;-33.45713285;-70.63973875;3
PA122;PA122-Carmen  esq Santa Elvira;-33.46046369;-70.63882237;3
PA123;PA123-Carmen  esq M León Prado;-33.46332356;-70.63805846;3
PA124;PA124-Carmen  esq Maule;-33.4659118;-70.63737548;3
PA125;PA125-Carmen  esq Ñuble;-33.46824674;-70.63675226;3
PA126;PA126-Carmen  esq Franklin;-33.47219249;-70.63570733;3
PA127;PA127-Sierra Bella  esq Franklin;-33.47248268;-70.6328504;3
PA128;PA128-Sierra Bella  esq Ñuble;-33.46842861;-70.63390419;3
PA129;PA129-Sierra Bella  esq Maule;-33.46596675;-70.63457891;3
PA13;PA13-Bascuñán Guerrero  esq Toesca;-33.45612379;-70.67407245;3
PA130;PA130-Sierra Bella  esq M León Prado;-33.46351404;-70.635243;3
PA131;PA131-Sierra Bella  esq Santa Elvira;-33.46028269;-70.63613989;3
PA132;PA132-Sierra Bella  esq Av Manuel A Matta;-33.45738833;-70.63678485;3
PA133;PA133-Lira  esq Coquimbo;-33.45485603;-70.63732898;3
PA134;PA134-Lira  esq Av 10 de Julio;-33.45244066;-70.6378968;3
PA135;PA135-Lira  esq Santa Isabel;-33.44938818;-70.63890445;3
PA136;PA136-Lira  esq Marín;-33.4471059;-70.63963606;3
PA137;PA137-Curicó  esq San Isidro;-33.44622919;-70.6438688;3
PA138;PA138-Parada 7  (M) Santa Lucía;-33.44363294;-70.64583142;3
PA139;PA139-Parada 1  Eyzaguirre - San Francisco;-33.45176353;-70.64680266;3
PA14;PA14-Bascuñán Guerrero  esq Sazié;-33.45291197;-70.67483911;3
PA140;PA140-Parada 1  Copiapó - San Francisco;-33.45470917;-70.64637421;3
PA141;PA141-Parada 8  (M) Matta;-33.45840928;-70.64549736;3
PA142;PA142-Parada 1  Hospital Sn Borja Arriarán;-33.46148228;-70.64498518;3
PA143;PA143-Parada 1  Victoria - San Francisco;-33.46491477;-70.64456584;3
PA144;PA144-Parada 1  General Gana - San Francisco;-33.47011654;-70.64401848;3
PA145;PA145-Parada 1  Matadero Franklin;-33.47286912;-70.64386602;3
PA146;PA146-Parada 4  Persa Bío Bío;-33.47502342;-70.64190514;3
PA147;PA147-Parada 4  Franklin - Santa Rosa;-33.47271362;-70.6419907;3
PA148;PA148-Parada 4  Ñuble - Santa Rosa;-33.46978029;-70.64217209;3
PA149;PA149-Parada 4  Pedro Lagos - Santa Rosa;-33.46597269;-70.64231547;3
PA15;PA15-Parada  Estadio Victor Jara;-33.45045996;-70.67543744;3
PA150;PA150-Parada 4  Hospital Sn Borja Arriarán;-33.46156562;-70.64278107;3
PA151;PA151-Parada 4  (M) Matta;-33.4586572;-70.64312429;3
PA152;PA152-Parada 4  Diez de Julio - Santa Rosa;-33.45364205;-70.64387959;3
PA153;PA153-Parada 4  Santa Isabel - Santa Rosa;-33.4508859;-70.64430093;3
PA154;PA154-Parada 2  Curicó - Santa Rosa;-33.44772188;-70.64487592;3
PA155;PA155-Parada  Cerro Santa Lucía;-33.43939779;-70.64421322;3
PA156;PA156-Parada 1  (M) Santa Lucía;-33.44202138;-70.64630656;3
PA158;PA158-Parada 8  Estación Mapocho;-33.43311891;-70.65251667;3
PA159;PA159-Parada 2  Monjitas - Mac Iver;-33.43715921;-70.64708598;3
PA16;PA16-Parada 2  (M) Estación Central;-33.45049149;-70.67843953;3
PA160;PA160-Parada 2  Iglesia San Pedro;-33.43483652;-70.64746158;3
PA161;PA161-Parada 1  Mercado Central;-33.43327391;-70.64832479;3
PA163;PA163-Parada 1  (M) Unión Latinoamericana;-33.44894402;-70.67082545;3
PA164;PA164-Parada 2  (M) República;-33.44787104;-70.66679224;3
PA165;PA165-Parada 7  (M) Los Héroes;-33.446748;-70.66110151;3
PA166;PA166-Parada 8  (M) La Moneda;-33.44603183;-70.65801121;3
PA167;PA167-Parada 6  (M) Universidad de Chile;-33.44413417;-70.65086454;3
PA168;PA168-Parada 4  (M) Santa Lucía;-33.44255026;-70.64450936;3
PA169;PA169-Parada 1  (M) Universidad Católica;-33.44040164;-70.64059635;3
PA17;PA17-Parada 2  Centro de Justicia;-33.47244914;-70.65509235;3
PA170;PA170-Parada 6  Plaza Italia;-33.4381315;-70.63631553;3
PA171;PA171-Barón P de Coubertin  esq AvVicuña Mackenna;-33.44022746;-70.63466606;3
PA172;PA172-Parada 1  (M) Parque Bustamante;-33.44297379;-70.63362035;3
PA174;PA174-Parada 1  (M) Santa Isabel;-33.44821618;-70.63204042;3
PA176;PA176-Parada 6  (M) Irarrázaval;-33.45283376;-70.63065304;3
PA177;PA177-Parada 4  (M) Irarrázaval;-33.4551412;-70.63006147;3
PA179;PA179-Av Vicuña Mackenna  esq Maule;-33.46259322;-70.62778006;3
PA18;PA18-Parada 2  (M) Rondizzoni;-33.47060799;-70.65587514;3
PA181;PA181-Parada 1  (M) Ñuble;-33.46708143;-70.62662655;3
PA182;PA182-Parada 2  (M) Santa Lucía;-33.44259382;-70.64598391;3
PA183;PA183-Parada 3  (M) Universidad de Chile;-33.44380401;-70.65127782;3
PA184;PA184-Parada 4  (M) La Moneda;-33.44462406;-70.65538115;3
PA185;PA185-Parada 3  (M) Los Héroes;-33.44596332;-70.66110807;3
PA186;PA186-Parada 6  (M) Unión Latinoamericana;-33.44857657;-70.67132402;3
PA187;PA187-Parada 1  (M) República;-33.44742579;-70.66704191;3
PA19;PA19-Ñuble  esq Lord Cochrane;-33.470283;-70.65252244;3
PA190;PA190-Parada 10  (M) Santa Ana;-33.43799243;-70.66034301;3
PA191;PA191-Parada 4  (M) Quinta Normal;-33.44110057;-70.67999048;3
PA195;PA195-Parada 1  Monjitas - San Antonio;-33.43668725;-70.64866901;3
PA196;PA196-Nataniel Cox  esq Eleuterio Ramírez;-33.44954829;-70.65333389;3
PA197;PA197-Parada 1  (M) Pque Almagro;-33.45200651;-70.65293946;3
PA198;PA198-Parada 6  Teatro Cariola;-33.4494755;-70.65067529;3
PA199;PA199-Portugal  esq Coquimbo;-33.45356467;-70.63404488;3
PA2;PA2-Chacabuco  esq Romero;-33.44816017;-70.67811491;3
