paradas;servicios
PA1;109I-406I-422I-426I-505I-507I-508I-513I-B26I-B28I-J01I-J02I-J05I-J16I
PA10;109R-119R-345I-511R-I18I
PA100;203R-206R-385R
PA101;203R-203eR-206R-385R
PA102;203R-206R-385R-I01I
PA103;203R-206R-385R-I01I
PA104;203R-203eR-206R-385R-I01R
PA105;203R-203eR-206R-385R
PA106;203R-206R-385R
PA107;203R-203eR-206R-214I-226R-385R
PA108;203R-206R-214I-226R-385R
PA109;203R-203eR
PA11;109R-119R-345I-511R-I18I
PA111;203R
PA112;203R
PA113;203R-B27R
PA114;203eR-206R-207R-207eR-214I-226R-230I-404I
PA115;204R-204eR
PA116;204I-205I-209I
PA117;204I
PA118;204I-204eI
PA119;204I
PA12;109R-119R-345I-511R-I18I
PA120;204I
PA121;204I-204eI
PA122;204I
PA123;204I-204eI
PA124;204I
PA125;204I
PA126;204I-D07R
PA127;204R
PA128;204R
PA129;204R
PA13;109R-345I-507R-511R-I18I
PA130;204R-204eR
PA131;204R
PA132;204R-204eR
PA133;204R
PA134;204R
PA135;204R-204eR
PA136;204R
PA137;204R-204eR-205I-209I
PA138;205R-205eR-209R-209eR
PA139;205I-205eI-207I-207eI-209I-209eI
PA14;109R-345I-507R-511R-B26R-I18I
PA140;205I-207I-209I
PA141;205I-205eI-207I-207eI-209I-209eI
PA142;205I-205eI-207I-207eI-209I-209eI
PA143;205I-207I-209I
PA144;205I-207I-209I-227I
PA145;205I-205eI-207I-207eI-209I-209eI-227I
PA146;205R-207R-209R-227R-D07I-E04I
PA147;205R-205eR-207R-207eR-209R-209eR-227R
PA148;205R-207R-209R-227R
PA149;205R-207R-209R-227R-I01I
PA15;109R-345I-507R-511R-B26R-I14R-I18I
PA150;205R-205eR-207R-207eR-209R-209eR
PA151;205R-205eR-207R-207eR-209R-209eR-I01R
PA152;205R-207R-209R
PA153;205R-205eR-207R-207eR-209R-209eR
PA154;205R-207R-209R
PA155;504I
PA156;203eR-206R-207R-207eR-214I-226R-230I
PA158;207I-207eI
PA159;206R-207R-226R-230I-402I-404I
PA16;109R-210R-210vR-221eI-385R-407R-412R-418R-507R-511R-513R-B28I-J16I
PA160;203eR-206R-207R-226R-230I-402I-404I
PA161;207R-207eR-230I-404I
PA163;106I-210I-210vI-345I-385I-404I-419I-422I-423I-424I-481R
PA164;106I-345I-385I-404I-422I-510I-513I-516I-I09I-I09eI
PA165;106I-345I-385I-516I-519I-I09I-I09eI
PA166;113R-113eR-125R
PA167;210I-210vI-221eR-345I-385I-403I-412I-418I-422I-513I-518I-I09I-I09eI
PA168;106I-210I-210vI-221eR-345I-403I-419I-422I-423I-481R-513I-516I-518I-519I
PA169;106I-210I-210vI-303I-307I-307eI-314I-315eI-403I-419I-422I-423I-481R-513I
PA17;113I-125R-302R-511R-H07I-I01R
PA170;210I-210vI-213eI-221eR-303I-307I-307eI-314I-315eI
PA171;210I-210vI-307I-307eR-314I-315eR-403I-422I-513I
PA172;210I-210vI-213eI-403I-422I-513I-516I-519I-H13R
PA174;210I-210vI-213eI-403I-513I-516I-519I-H13R
PA176;210I-210vI
PA177;210I-210vI-213eI-221eR
PA179;210I-210vI-227I
PA18;113I-125R-302R-H07I-I01R
PA181;210I-210vI-213eI-221eR
PA182;210R-210vR-221eI-345R-403R-513R-518R
PA183;210R-210vR-221eI-345R-385R-403R-412R-418R-424R-516R-518R-519R
PA184;210R-210vR-401R-405R-419R-423R-518R-I09R-I09eR
PA185;210R-210vR-221eI-345R-385R-412R-418R-516R-518R
PA186;210R-210vR-345R-385R-406R-407R-412R-418R-422R-426R-513R
PA187;210R-210vR-221eI-345R-385R-406R-407R-412R-418R-422R-426R-513R-I09R-I09eR-J03I
PA19;113I-511I-H07R-I01I
PA190;201eI-217eR-313eI
PA191;221eR-J19R
PA195;203I-206I-207I-214R-226I-230I
PA196;214R-223I-226I-229I-301I
PA197;214R-223I-226I-229I-301I
PA198;229R-301R
PA199;227I-H13R
PA2;109I-406I-422I-426I-507I-513I-B26I
PA20;113I
PA200;227I
PA202;227I-D05R
PA203;227I
PA204;227I
PA205;227I
PA206;227R
PA207;227R
PA208;227R
PA209;227R
PA21;113I
PA210;227R
PA212;201R-223R-229R-271R-301R
PA213;229R-509I
PA214;121I-502R-502cR-503R-517R
PA215;210I-210vI-223I-229I-301I-345I-385I-403I-422I-513I-516I-519I-I09I-I09eI
PA218;201R-271R-509I
PA219;301R-509I
PA22;113I
PA220;301R-509I
PA221;119R-121R
PA222;402I
PA223;402I
PA224;402I
PA225;402I
PA226;121R-271I-402I-502I-518I
PA228;402I-504I-J03I
PA229;302I-402I-504I-J03I
PA23;113I-509I
PA230;302I-403I
PA231;302I-302eI-403I
PA232;125I-302I-302eI
PA233;125I-302I-510I
PA234;302I
PA235;125R-302R
PA236;125R-302R
PA237;125R-302R
PA238;125R-302R
PA239;125R-302R
PA24;113I-509I
PA240;125R-302R
PA241;302R
PA243;201eR-403R
PA244;302R-303eR
PA245;303R-307I-314I-B29R
PA247;402R
PA248;402R-505R
PA249;402R-505R
PA25;113I-D03R
PA250;402R-505R
PA251;402R-505R
PA259;307I-314I-517R-B27R
PA260;502cR-504R-505R-508R-517R-B27R
PA261;214I-303R-307I-307eR-314I-315eR
PA262;214I-303R-307I-314I
PA264;402R-504R-505R-508R-514R
PA265;303R-307I-314I-409I-B29R
PA271;119I-J03I
PA272;119I-121I-J03I
PA273;119I-121I
PA274;119I-121I
PA275;119I-121I
PA276;119I-121I
PA277;119I-507R
PA278;506R-506eR-506vR-507R-509R
PA279;119I-511I-I18R
PA28;106I-303I-314I-315eI-404I-419I-423I-424I-481R-518I
PA280;119I-345R-511I-I18R
PA281;119I-345R-511I-I18R
PA282;119I
PA283;119I
PA284;119I
PA285;119I-511I
PA286;119I-121I-H07I-I01R
PA287;119R-345I-H07R
PA288;345I-511R-H07R
PA289;119R-506I-506eI-506vI-509I
PA29;223I-226I-229I
PA290;506I-506vI-509I
PA291;119R-121R
PA292;119R-121R
PA293;119R-121R
PA294;119R-121R
PA295;119R-121R-J03I-J10I
PA296;119R-121R-J03I-J10I
PA297;119R-505I-508I-514I
PA298;505I-508I-514I
PA299;301R-502I-502cI-503I-509I-517I
PA30;113R-201I-271I-509R
