stop_code;stop_name;stop_lat;stop_lon
PA1;Catedral;-33.44012613;-70.68002548
PA10;Avenida El Mirador;-33.46677116;-70.6716302
PA100;BÕo BÕo;-33.47405799;-70.64194073
PA101;Arauco;-33.47199148;-70.64204164
PA102;Sargento Aldea;-33.4686251;-70.64223638
PA103;Miguel Le”n Prado;-33.46464577;-70.64240879
PA104;Amazonas;-33.4608973;-70.64285454
PA105;Porvenir;-33.45767231;-70.64326709
PA106;Eyzaguirre;-33.45212394;-70.64410914
PA107;C”ndor;-33.44986438;-70.64448605
PA108;Curic”;-33.44695266;-70.64507655
PA109;Alameda;-33.44339581;-70.64603133
PA11;Fray Luis De La Pe—a;-33.46269181;-70.67253099
PA111;Merced;-33.43834244;-70.646947
PA112;Santo Domingo;-33.43600216;-70.64729
PA113;Av Cardenal Jos… MarÕa Caro;-33.43378609;-70.64778592
PA114;Hu…rfanos;-33.43963502;-70.64672402
PA115;Alameda;-33.4433254;-70.64590091
PA116;Sara Del Campo;-33.44418323;-70.6430987
PA117;MarÕn;-33.44734896;-70.64239461
PA118;Santa Isabel;-33.44968492;-70.64169635
PA119;Av 10 De Julio Huamachuco;-33.45249113;-70.64089933
PA12;Avenida Blanco Encalada;-33.4587471;-70.67347734
PA120;Coquimbo;-33.45435483;-70.6404503
PA121;Avenida Manuel Antonio Matta;-33.45713285;-70.63973875
PA122;Santa Elvira;-33.46046369;-70.63882237
PA123;Miguel Le”n Prado;-33.46332356;-70.63805846
PA124;Maule;-33.4659118;-70.63737548
PA125;—uble;-33.46824674;-70.63675226
PA126;Franklin;-33.47219249;-70.63570733
PA127;Franklin;-33.47248268;-70.6328504
PA128;—uble;-33.46842861;-70.63390419
PA129;Maule;-33.46596675;-70.63457891
PA13;Toesca;-33.45612379;-70.67407245
PA130;Miguel Le”n Prado;-33.46351404;-70.635243
PA131;Santa Elvira;-33.46028269;-70.63613989
PA132;Avenida Manuel Antonio Matta;-33.45738833;-70.63678485
PA133;Coquimbo;-33.45485603;-70.63732898
PA134;Av 10 De Julio Huamachuco;-33.45244066;-70.6378968
PA135;Santa Isabel;-33.44938818;-70.63890445
PA136;General Jofr…;-33.44619918;-70.64000627
PA137;San Isidro;-33.44622919;-70.6438688
PA138;Alameda;-33.44363294;-70.64583142
PA139;Eyzaguirre;-33.45176353;-70.64680266
PA14;Sazi…;-33.45291197;-70.67483911
PA140;Copiap”;-33.45470917;-70.64637421
PA141;Avenida Manuel Antonio Matta;-33.45840928;-70.64549736
PA142;Santa Elvira;-33.46148228;-70.64498518
PA143;Maule;-33.46491477;-70.64456584
PA144;General Gana;-33.47011654;-70.64401848
PA145;Franklin;-33.47286912;-70.64386602
PA146;BÕo BÕo;-33.47502342;-70.64190514
PA147;Arauco;-33.47271362;-70.6419907
PA148;—uble;-33.46978029;-70.64217209
PA149;Pedro Lagos;-33.46597269;-70.64231547
PA15;Alameda;-33.45045996;-70.67543744
PA150;Amazonas;-33.46156562;-70.64278107
PA151;Avenida Manuel Antonio Matta;-33.4586572;-70.64312429
PA152;Av 10 De Julio Huamachuco;-33.45364205;-70.64387959
PA153;Santa Isabel;-33.4508859;-70.64430093
PA154;Curic”;-33.44772188;-70.64487592
PA155;M¡ximo Humbser;-33.43939779;-70.64421322
PA156;Moneda;-33.44202138;-70.64630656
PA158;Punte;-33.43311891;-70.65251667
PA159;Monjitas;-33.43715921;-70.64708598
PA16;Avenida Matucana;-33.45049149;-70.67843953
PA160;Esmeralda;-33.43483652;-70.64746158
PA161;Puente Fray Andresito;-33.43327391;-70.64832479
PA163;Avenida Espa—a;-33.44894402;-70.67082545
PA164;Echaurren;-33.44787104;-70.66679224
PA165;Manuel RodrÕguez;-33.446748;-70.66110151
PA166;San Ignacio De Loyola;-33.44603183;-70.65801121
PA167;Arturo Prat;-33.44413417;-70.65086454
PA168;Carmen;-33.44255026;-70.64450936
PA169;Avenida Portugal;-33.44040164;-70.64059635
PA17;General Mitre;-33.47244914;-70.65509235
PA170;Carabineros De Chile;-33.4381315;-70.63631553
PA171;Avenida Vicu—a Mackenna;-33.44022746;-70.63466606
PA172;Curic”;-33.44297379;-70.63362035
PA174;Argomedo;-33.44821618;-70.63204042
PA176;Coquimbo;-33.45283376;-70.63065304
PA177;Avenida Manuel Antonio Matta;-33.4551412;-70.63006147
PA179;Maule;-33.46259322;-70.62778006
PA18;—uble;-33.47060799;-70.65587514
PA181;—uble;-33.46708143;-70.62662655
PA182;Enrique Mac Iver;-33.44259382;-70.64598391
PA183;Bandera;-33.44380401;-70.65127782
PA184;Hermanos Amun¡tegui;-33.44462406;-70.65538115
PA185;Almirante Barroso;-33.44596332;-70.66110807
PA186;Rafael Sotomayor;-33.44857657;-70.67132402
PA187;Avenida Ricardo Cumming;-33.44742579;-70.66704191
PA19;Lord Cochrane;-33.470283;-70.65252244
PA190;Catedral;-33.43799243;-70.66034301
PA191;Compa—Õa De Jes⁄s;-33.44110057;-70.67999048
PA195;Monjitas;-33.43668725;-70.64866901
PA196;Eleuterio RamÕrez;-33.44954829;-70.65333389
PA197;Santa Isabel;-33.45200651;-70.65293946
PA198;Eleuterio RamÕrez;-33.4494755;-70.65067529
PA199;Coquimbo;-33.45356467;-70.63404488
PA2;Romero;-33.44816017;-70.67811491
PA20;Pedro Lagos;-33.46818458;-70.65231044
PA200;Santa Elena;-33.45605835;-70.63163866
PA202;Avenida Portugal;-33.46529719;-70.63063896
PA203;Sierra Bella;-33.46574334;-70.63442407
PA204;Santiago Concha;-33.4661291;-70.63799289
PA205;Avenida Santa Rosa;-33.46656258;-70.64203607
PA206;Pasaje Marta;-33.46411963;-70.64127985
PA207;Carmen;-33.46371699;-70.63831334
PA208;Sierra Bella;-33.46336596;-70.63553073
PA209;Avenida Portugal;-33.4627474;-70.63182856
PA21;Victoria;-33.46540236;-70.65265575
PA210;Avenida Vicu—a Mackenna;-33.46196995;-70.62854309
PA212;Lord Cochrane;-33.44776253;-70.65402076
PA213;Padre Alonso De Ovalle;-33.44703592;-70.65508273
PA214;Hermanos Amun¡tegui;-33.4318917;-70.65730123
PA215;Nataniel Cox;-33.44514216;-70.65440131
PA218;Moneda;-33.44265912;-70.65597849
PA219;Hu…rfanos;-33.44058815;-70.65641243
PA22;Santiago;-33.4628912;-70.65296315
PA220;Santo Domingo;-33.43710037;-70.65691623
PA221;Aillavil⁄;-33.43398629;-70.65307091
PA222;Herrera;-33.43565939;-70.67822914
PA223;Rafael Sotomayor;-33.43513849;-70.67406725
PA224;General Bulnes;-33.43506845;-70.67123705
PA225;Maturana;-33.43494888;-70.6680617
PA226;Almirante Barroso;-33.4347657;-70.6635729
PA228;Rosas;-33.43549899;-70.66067197
PA229;Santo Domingo;-33.4366738;-70.66048999
PA23;Aconcagua;-33.45893432;-70.65347979
PA230;Agustinas;-33.44100462;-70.66033585
PA231;Alameda;-33.4442865;-70.66106534
PA232;Sazi…;-33.44714159;-70.66066796
PA233;Sazi…;-33.44879827;-70.66019392
PA234;Avenida General Rondizzoni;-33.46097459;-70.65737038
PA235;Pedro Lagos;-33.46719681;-70.65604698
PA236;Victoria;-33.46489574;-70.65615384
PA237;Santiago;-33.46291938;-70.65625612
PA238;Avenida Manuel Antonio Matta;-33.46088907;-70.65634662
PA239;Copiap”;-33.45680927;-70.6566133
PA24;Copiap”;-33.45627017;-70.65376273
PA240;Av 10 De Julio Huamachuco;-33.45485963;-70.65741539
PA241;Padre Miguel De Olivares;-33.44987799;-70.65903112
PA243;Compa—Õa De Jes⁄s;-33.43950319;-70.65931763
PA244;Catedral;-33.43841897;-70.65946909
PA245;Rosas;-33.43612431;-70.6597696
PA246;Riquelme;-33.43592498;-70.66118563
PA247;Avenida Brasil;-33.43617225;-70.66426664
PA248;Avenida Ricardo Cumming;-33.43658312;-70.66858777
