code;name;latitude;longitude;services
30954;Mercado;-36.71183344;-73.11545266;Linea 1
30955;El Arenal;-36.72516015;-73.11689611;Linea 1
30956;Hospital Las Higueras;-36.73934248;-73.10297629;Linea 1
30957;Los Cóndores;-36.75695328;-73.09162097;Linea 1
30958;Univ. Técnica Federico Santa María;-36.78362584;-73.08558093;Linea 1
30961;Chiguayante;-36.91519607;-73.02908005;Linea 1
30962;Pedro Medina;-36.9254817;-73.0215968;Linea 1
30964;La Leonera;-36.95144259;-73.01316541;Linea 1
30965;Hualqui;-36.98049532;-72.94096075;Linea 1
31013;Alborada;-36.84647657;-73.13094824;Linea 2
31017;Costa Mar;-36.85492754;-73.13301928;Linea 2
31021;Lomas Coloradas;-36.88307467;-73.13982906;Linea 2
32488;Punta Corralillo - Caleta Plata;-36.72032694;-73.1471996;02k-02p-70g-70h
32489;Punta Corralillo - Caleta Chipana;-36.71848173;-73.14678489;02p-70j-70k
32490;Punta Corralillo - Punta Lavapie;-36.7169793;-73.14523117;02p-70j-70k
32491;Bahia Dichato - Playa El Huevillo;-36.71675033;-73.14037766;02p-70j-70k
32492;Bahia Dichato - Caleta El Sold;-36.71491367;-73.13935836;02p-70j-70k
32493;Bahia Dichato - Playa Chivilongo;-36.7131874;-73.13848198;02p-70j-70k
32494;San Vicente - Playa El Parron / Sur;-36.71271592;-73.13542585;02d-02p-10l-10n-70f-70j-70k
32495;San Vicente 882;-36.71246165;-73.13243167;02d-02p-10l-10n-70f-70j-70k
32496;San Vicente - Camino San Francisco / Oriente;-36.71168214;-73.13100637;02d-02p-10l-70f-70j
32497;Camino Nueva Los Lobos - Calle Uno / Oriente;-36.70939548;-73.12946091;02d-02p-10l-70f-70j-70k
32498;Camino Nuevo Los Lobos - Camino A Tumbes;-36.71041734;-73.12566344;02d-02p-10l-70f-70j-70k
32499;Camino A Tumbes - Los Araucanos;-36.71410436;-73.12626797;02d-02p-10k-10p-70f-70j-70k
32500;Los Araucanos - Violeta Parra / Norte;-36.71463559;-73.12966971;02d-02p-10n-10p
32501;Los Araucanos - Quentrahue / Poniente;-36.71562371;-73.13175054;02d-02p-10n-10p
32502;Los Araucanos - Runcamanque / Oriente;-36.71820721;-73.13268441;02a-02k-10a-10b-10c-31d-32e-32h
32503;Los Araucanos - Rucamanque / Poniente;-36.71804608;-73.13275549;02d-02p-10n-10p
32504;Los Araucanos - Los Diaguitas;-36.72071253;-73.13265734;02d-02p-10n-10o-10p-31f-32g-32y
32505;Los Araucanos 1351 / Norte;-36.72189291;-73.133782;02d-02p-10n-10o-10p-31f-32g-32y
32506;Los Araucanos - Porvenir;-36.72287798;-73.13567281;02d-02p-10n-10o-10p-31f-32g-32y
32507;Los Araucanos - Los Yaganes / Poniente;-36.7244659;-73.13692207;02d-02p-10n-10o-10p-31f-32g-32y
32508;Almirante Latorre - La Marina;-36.72363351;-73.13097425;02d-02p-10n-10o-10p-31f-32g-32y-62h-62o-80z
32509;Pedro Montt - La Marina / Sur;-36.72454537;-73.12992202;02d-02p-10n-10o-10p-14t-16k-16v-31f-32g-32y-57y-62h-62o-80h-80q-80z
32510;Pedro Montt - Lautaro;-36.72263311;-73.12696768;02d-02p-10n-10o-10p-14t-16k-16v-31f-32g-32y-57y-62h-62o-80h-80q-80z
32511;Brasil - Pedro Montt;-36.72218265;-73.12583656;02d-02p-10n-10o-10p-14t-16k-16v-31f-32g-32y-57y-62h-62o-80h-80q-80z
32512;Municipalidad De Talcahuano;-36.72353563;-73.12303806;02d-02p-10n-10o-10p-14t-16k-16v-31f-32g-32y-57y-62h-62o-80h-80q-80z
32513;Brasil - Talcahuano;-36.7248532;-73.12028511;02d-02p-10n-10o-10p-14t-16k-16v-31f-32g-32y-57y-62h-62o-80h-80q-80z
32514;Valdivia - Miranda;-36.72393659;-73.11760901;02d-02p-10n-10p-14t-16k-16v-31f-32g-80q-80z
32515;Valdivia - Riquelme / Oriente;-36.72151363;-73.11828396;02d-02p-10n-10p-14t-16k-16v-31f-32g-80h-80q-80z
32516;Valdivia - Freire Bajo;-36.71745208;-73.11850622;02d-02p-10n-10p-14t-16k-16v-31f-32g-80h-80q-80z
32517;Valdivia - Castellon;-36.71521121;-73.11758686;02d-02p-10n-10p-14t-16k-16v-31f-32g-70f-70j-70k-80h-80q-80z
32518;Valdivia - Sgto Aldea;-36.71421759;-73.11631244;02d-02p-10k-10n-10p-16k-16v-31f-32g-70f-70j-70k-80h-80q-80z
32519;Valdivia - Anibal Pinto;-36.7131406;-73.11546551;02d-02p-10k-10n-10p-14t-16k-16v-31f-32g-70f-70j-70k-80h-80q-80z
32520;Colon 135;-36.71241782;-73.11478906;02d-02p-10k-10l-10m-10n-10p-11q-11r-12a-12b-13s-14t-16k-16v-20l-20v-20w-31f-32g-52d-56v-70k-80h-80q-80z
32521;Colon 367;-36.71357454;-73.11327181;02d-02p-10k-10l-10m-10n-10p-11q-11r-12a-12b-13s-14t-16k-16v-20l-20v-20w-31f-32g-52d-56v-70k-80h-80q-80z
32522;Colon - Covadonga;-36.71464783;-73.11161101;02d-02p-10k-10l-10m-10n-10p-11q-11r-12a-12b-13s-14t-16k-16v-20l-20v-20w-31f-32g-52d-56v-70k-80h-80q-80z
32523;Colon - Angamos;-36.71749571;-73.10988428;02d-02p-10k-10l-10m-10n-10p-11q-11r-12a-12b-13s-14t-16k-16v-20l-20v-20w-31f-52d-56v-70k-80h-80q-80z
32524;Colon - Veintiuno De Mayo;-36.72066531;-73.11025445;02d-02p-10k-10l-10m-10n-10p-11q-11r-12a-12b-13s-14t-16k-16v-20l-20v-20w-31f-52d-56v-70f-70j-70k-80h-80q-80z-81s
32525;Colon - Orella;-36.72259925;-73.11000551;02d-02p-10k-10l-10m-10n-10p-11q-11r-12a-12b-13s-14t-16k-16v-20l-20v-20w-31f-52d-56v-70f-70j-70k-80h-80q-80z-81s
32526;Colon - Manuel Rodriguez;-36.72445671;-73.11004956;02d-02p-10k-10l-10m-10n-10o-10p-11q-12q-12r-13s-14t-16k-16v-20l-20v-20w-31f-52d-56v-70f-70j-70k-80h-80q-80z-81c
32527;Colon - O´Higgins;-36.7262386;-73.11044257;02d-02p-10k-10l-10m-10n-10o-10p-11q-13s-14t-16k-16v-20l-20v-20w-31f-52d-56v-70f-70j-70k-80h-80q-80z
32528;Colon - Chabuco;-36.72824361;-73.11069576;02d-02p-10k-10l-10m-10n-10o-10p-11q-13s-14t-16k-16v-20l-20v-20w-31f-32g-52d-56v-70f-70j-70k-80h-80q-80z
32529;Colon - Hualpen;-36.73233618;-73.10845662;02d-02p-10k-10l-10m-10n-10o-10p-11q-13s-14t-16k-16v-20l-20v-20w-31f-32g-52d-56v-70f-70j-70k-80h-80q-80z
32530;Colon - Lircay Sur;-36.73517902;-73.10528487;02d-02p-10k-10l-10m-10n-10o-10p-11q-13s-14t-16k-16v-20l-20v-20w-31f-32g-52d-56v-70f-70j-70k-80h-80q-80z
32531;Colon - Bernardita;-36.73715834;-73.10279488;02d-02p-10k-10l-10m-10n-10o-10p-11q-13s-14t-16k-16v-20l-20v-20w-31f-32g-52d-56v-70f-70j-70k-80h-80q-80z
32532;Colon - Zenteno;-36.73937079;-73.10023181;02d-02p-10k-10l-10m-10n-10o-10p-11q-13s-14t-16k-16v-20l-20v-20w-31f-32g-52d-56v-70f-70j-70k-80h-80q-80z
32533;Colon - Ercilla;-36.74191124;-73.09845566;02d-02p-10k-10l-10m-10n-10o-10p-13s-14t-20l-20v-20w-31f-32g-52d-56v-70f-70j-70k-80h-80q-80z
32534;Colon - Desiderio Garcia;-36.74429717;-73.0971648;02d-02p-10k-10l-10m-10n-10o-10p-13s-14t-20l-20v-20w-31f-32g-32y-52d-56v-62h-62o-70f-70j-70k-80h-80q-80z
32535;Colon 3646;-36.74778888;-73.09456969;02d-02p-10k-10l-10m-10n-10o-10p-13s-14t-20l-20v-20w-31f-32g-32y-52d-56v-62h-62o-70f-70j-70k-80h-80q-80z
32536;Colon - Simon Bolivar;-36.75071518;-73.09325402;02d-02p-10k-10l-10m-10n-10o-10p-13s-14t-20l-20v-20w-31f-32g-32y-52d-56v-62h-62o-70f-70j-70k-80h-80q-80z
32537;Colon - Juan Guillermo Sosa / Poniente;-36.7538373;-73.09234784;02d-02p-10k-10l-10m-10n-10o-10p-13s-14t-20l-20v-20w-31f-32g-32y-52d-56v-62h-62o-70f-70j-70k-80h-80q-80z
32538;Colon - Los Condores;-36.75671543;-73.09140283;02d-02p-10k-10l-10m-10n-10o-10p-13s-14t-20l-20v-20w-31f-32g-32y-52d-56v-62h-62o-70f-70j-70k-80h-80q-80z
32539;Colon - Petunias / Poniente;-36.75897514;-73.09011461;02d-02p-10k-10l-10m-10n-10o-10p-11r-13s-14t-20l-20v-20w-30b-30c-31f-32g-32y-50s-52d-56v-57y-62h-62o-70f-70j-70k-80h-80q-80z
32540;Colon - La Camelia / Poniente;-36.76087767;-73.08903682;02d-02p-10k-10l-10m-10n-10o-10p-11r-13s-14t-16k-16v-20l-20v-20w-30b-30c-31f-32g-32y-50s-52d-56v-57y-62h-62o-70f-70j-70k-80h-80q-80z
32541;Colon - Diecisiete Nte / Poniente;-36.76945589;-73.08607904;02d-02p-30b-31f-32g-32y-52d-56v-62h-62o-70f-70j
32542;Colon - Los Pinos / Poniente;-36.77194077;-73.08590521;02d-02p-30b-31f-32g-32y-52d-56v-62h-62o-70f-70j
32543;Colon - Talcahuano / Poniente;-36.77400851;-73.08613389;02d-02p-30b-31f-32g-32y-52d-56v-62h-62o-70f-70j
32544;Colon - Seis Nte;-36.77576919;-73.0863254;02d-02p-30b-31f-32g-32y-52d-56v-62h-62o-70f-70j
32545;Colon - Concepcion / Poniente;-36.77843355;-73.08666251;02p-30b-31f-32g-32y-52d-56v-62h-62o-70f-70j
32546;Colon - Banco Estado;-36.78032973;-73.08687308;02p-30b-31f-32g-32y-52d-56v-62h-62o-70f-70j
32547;Colon - Aga / Poniente;-36.78137684;-73.0869703;02p-30b-31f-32g-32y-52d-56v-62h-62o-70f-70j
32548;Cristobal Colon - Club Hipico;-36.78441492;-73.08700682;02p-12a-30b-31f-32g-32y-40n-41v-42u-52d-56v-62h-62o-70f-70j
32549;Crsitobal Colon - Campanario;-36.78759661;-73.08700614;02p-12a-30b-31f-32g-32y-40n-41v-42u-52d-56v-62h-62o-70f-70j
32550;Cristobal Colon - Curanilahue / Poniente;-36.78977732;-73.08697432;02p-12a-30b-31f-32g-32y-41v-42u-52d-56v-62h-62o-70f-70j
32551;Curanihue - Chaiten;-36.79000617;-73.08775308;02p-41v-60x-60y-81c
32552;Curanilahue - Pto Octay;-36.79028;-73.09133235;02p-41v-60x-60y-81c
32553;Curanilahue - Corral / Norte;-36.79094052;-73.09317626;02p-41v-60x-60y-81c
32554;La Reconquista - Ancahual;-36.79241317;-73.09451818;02p-41v-44e
32555;La Reconquista - Toscania / Norte;-36.7934811;-73.09591501;02p-30m-30n-40p-41r-43t-71i
32556;La Reconquista - Pista;-36.79469925;-73.0976892;02p-30m-30n-40p-43t-71i
32557;Terminal Bio Bus;-36.82993104;-73.06080318;B02
32569;Quinchamali / Poniente;-36.80040138;-73.0991733;02p-41v
32571;Av Rulcahue - Calle Dos;-36.80163183;-73.09833589;02p
32575;Hotel Holiday;-36.79296754;-73.06411143;B02
32576;Calle Uno - Av Rulcahue;-36.80242837;-73.09741953;02p
32577;Calle Uno - Pje Doce;-36.8036428;-73.09839823;02p-65e
