iLat;iLon;stops;services;route_segments
0;34;PG1568/PG1597/PG1644/PG1650;G07I/G07R;41-42/0-1
0;35;PG1570/PG1651;G07I/G07R;42/0
0;36;PG1571/PG1652;G07I/G07R;42/0
0;37;PG1569/PG1797;G07I/G07R;42/0
0;38;PG1798/PG1799;G07I/G07R;42/0
0;39;;G07I/G07R;42/0
0;40;PG1572;G07I/G07R;42-43-44/0
1;34;PG1643;G07I/G07R;40-41/1-2
2;34;;G07I/G07R;40/2
2;35;;G07I/G07R;40/2
3;35;;G07I/G07R;39-40/2-3
4;35;;G07I/G07R;39/3
4;36;PG1645;G07I/G07R;39/3
4;55;;G02I/G02R/G14I/G14R;29-30/0/26-27/0
5;36;PG1566/PG1596/PG1646;G07I/G07R;39/3
5;55;PG714/PG715;G02I/G02R/G14I/G14R;27-28-29/0-1-2/24-25-26/0-1-2
6;36;;G07I/G07R;37-38-39/3-4-5
6;42;;211I/211R/G02R/G07I;45-46/0-1/12-13-14/30-31-32
6;43;;211I/G02R/G07I;45/12/30
6;54;PG713/PG716;G02I/G02R/G14I/G14R;27/2/24/2
6;55;;G02I/G02R/G14I/G14R;27/2/24/2
7;36;PG1567/PG1647;G07I/G07R;37/5
7;42;PG1607;211R/G02R/G07I;1/14/32
7;43;PG1702;211I/G02R/G07I;45/12/30
7;53;PG711/PG718;G02I/G02R/G14I/G14R;27/2/24/2
7;54;PG712/PG717;G02I/G02R/G14I/G14R;27/2/24/2
8;36;;G07I/G07R;36-37/5-6
8;37;;G07I/G07R;36/6
8;41;;G07I/G07R;33/9
8;42;PG1574/PG1615/PG1641;211R/G02R/G07I/G07R;1/14/32-33/9-10
8;43;PG1605;211I/G02I/G02R/G07I;44-45/14-15-16-17/10-11-12/29-30
8;44;PG1628/PG1629;G02I/G02R;17-18-19-20-21-22/7-8-9-10
8;45;PG1751/PG1752;G02I/G02R;22/7
8;46;PG704/PG725;G02I/G02R;22-23/6-7
8;47;PG705;G02I/G02R;23/6
8;48;PG706/PG723/PG724;G02I/G02R;23/6
8;49;PG707/PG722;G02I/G02R;23/6
8;50;PG708/PG721;G02I/G02R;23-24/5-6
8;51;PG709/PG720;G02I/G02R;24-25/4-5
8;52;PG1212/PG710/PG719;G02I/G02R/G14I/G14R;25-26-27/2-3-4/24/2
8;53;PG1614/PG1630;G02I/G02R/G14I/G14R;27/2/24/2
9;37;PG1565/PG1648/PG1649;G07I/G07R;34-35-36/6-7-8
9;38;PG1564;G07I/G07R;34/8
9;39;PG1768/PG1769;G07I/G07R;34/8
9;40;;G07I/G07R;34/8
9;41;;G07I/G07R;33-34/8-9
9;42;;211R/G02R/G07R;1-2/14-15/10-11
9;43;PG703;211I/211R/G02I/G02R/G07I/G07R;43-44/2/13-14/10-11-15/28-29/11
9;44;PG702;211I/211R/G02I/G02R/G07I/G07R;43/2-3/13/15-16/28/11-12
9;52;PG1601/PG1603/PG1754/PG1755;G14I/G14R;23-24/2-3
9;64;;207cI/207eI/230I;11-12-13/27-28-29/46-47-48
9;65;;207cI/207eI/230I;13/29/48
9;69;;F10I/F10R/F12I/F12R/F13I/F13R/F13cI/F13cR/F15I/F15R/F18I/F18R/F25I/F25R/F25eI/F25eR/F30NI/F30NR;0/24-25/0/21-22/0/28-29/0/24-25/0/37-38/0/22-23/0/46-47/0/31-32/0/39-40
10;42;;211R/G02R/G07R;1-2/14-15/10-11
10;43;;G08vI/G08vR;0/32-33
10;44;PG1745/PG1790/PG701/PG728;211I/211R/G02I/G02R/G07I/G07R/G08vI/G08vR;41-42-43/3/11-12-13/16/26-27-28/12-13/0-1-2/29-30-31-32
10;51;;G14I/G14R;23/3
10;52;;G14I/G14R;23/3
10;64;PF1122/PG1918;207cI/207cR/207eI/207eR/230I/230R;11-15-16/0-1/27-31-32/0-1/46-50-51/0-1
10;65;PF1109/PF1110;207cI/207eI/230I/F18I/F18R;13-14-15/29-30-31/48-49-50/3-4/18-19
10;66;PF1108;F18I/F18R;3/19
10;67;PF710/PF742;F18I/F18R;2-3/19-20
10;68;;F10I/F10R/F12I/F12R/F12cI/F12cR/F13I/F13R/F13cI/F13cR/F15I/F15R/F18I/F18R/F25I/F25R/F25eI/F25eR/F30NI/F30NR;0/24/0/21/0/24-25/0/28/0/24/0/37/0/22/0/46/0/31/0/39
10;69;;F10I/F10R/F12I/F12R/F13I/F13R/F13cI/F13cR/F15I/F15R/F18I/F18R/F25I/F25R/F25eI/F25eR/F30NI/F30NR;0/24/0/21/0/28/0/24/0/37/0/22/0/46/0/31/0/39
10;73;PF1028/PF1038/PF1039/PF544/PF830;F12I/F12R/F12cI/F12cR;11-12/9-10/19-20-21/7-8-9
10;74;PF545/PF566;F02I/F02R/F12I/F12R;11-12/0-1/12-13/8-9
11;44;PG1763/PG729;211I/211R/G02I/G02R/G07I/G07R/G08vI/G08vR;40-41/3-4/10-11/16-17/25-26/13/2-3/28-29
11;45;;211I/211R/G02I/G02R/G07I/G07R/G08vI/G08vR;40/4/10/17/25/13/3/28
11;51;PG1600/PG1604;G14I/G14R;22-23/3-4
11;64;PF1123/PF586/PG1655/PG188;207cI/207cR/207eI/207eR/230I/230R/F13I/F13R/F13cI/F13cR/F30NI/F30NR;11/1/27/1/46/1/3-4/24-25/3-4/20-21/3-4/35-36
11;65;PF585/PF600/PF713/PF714/PF737/PF738/PF739;F13I/F13R/F13cI/F13cR/F18I/F18R/F30NI/F30NR;2-3/25-26/2-3/21-22/4-5/17-18/2-3/36-37
11;66;PF583/PF584/PF601/PF602/PF848/PF849;F13I/F13R/F13cI/F13cR/F18I/F18R/F25I/F25R/F25eI/F30NI/F30NR;1-2/26-27/1-2/22-23/1-2/20-21/1-2-3/43-44-45/1-2-3/1-2/37-38
11;67;PF582/PF603/PF621/PF672;F13I/F13R/F13cI/F13cR/F18I/F18R/F25I/F25R/F25eI/F30NI/F30NR;1/27/1/23/1-2/20-21/1/45/1/1/38
11;68;PF467/PF468/PF494/PF581/PF604/PF620/PF673/PF674/PF863/PF920;209I/209R/209eI/209eR/F10I/F10R/F12I/F12R/F12cI/F12cR/F13I/F13R/F13cI/F13cR/F15I/F15R/F18I/F18R/F25I/F25R/F25eI/F25eR/F30NI/F30NR;27-28/0-1/27-28/0-1/0-1/23-24/0/21/0-1/23-24/0-1/27-28/0-1/23-24/0/37/0-1/21-22/0-1/45-46/0-1/31/0-1/38-39
11;69;PF1115/PF1118/PF1119/PF940;209R/209eR/F10I/F10R/F12cI/F12cR;1-2/1-2/1-2/22-23/1-2/22-23
11;70;PF1114/PF1117/PF469/PF493;209R/209eR/F10I/F10R/F12cI/F12cR;2-3-4/2-3-4/2-3-4/20-21-22/2-3-4/20-21-22
11;71;PF1113/PF1116;F12cI/F12cR;4-5-6-7-8/16-17-18-19-20
11;72;PF1023/PF1025;F12cI/F12cR;8-9-19/9-15-16
11;73;PF543/PF875/PF952;F12I/F12R/F12cI/F12cR;11/10/19-21-22/6-7-9
11;74;PF546/PF547/PF564/PF565/PF953;F02I/F02R/F12I/F12R/F12cI/F12cR;11/1-2/13-14/8/22-23/5-6
11;77;PF257/PF258/PF897;F16I/F16R;24-25/0-1-2-3
11;78;;F16I;24
12;45;PB1534/PG1450/PG1764/PG699/PG700/PG730;211I/211R/G02I/G02R/G07I/G07R/G08vI/G08vR;40/4/10/17/25/13/3-4-5/26-27-28
12;46;PG1455;G08vI/G08vR;6/25
12;47;PB1539/PG1443/PG1454/PG1582;G08vI/G08vR;6-7/24-25
12;50;;G14I/G14R;21-22/4-5
12;51;PG1211/PG1213;G14I/G14R;22/4
12;61;PG1692;F03R;16-17
12;62;;F03R;17
12;63;PG1683/PG1693;F03R;17-18
12;64;PF114/PF587/PF599/PF832/PG1701/PG187;207cI/207cR/207eI/207eR/230I/230R/F13I/F13R/F13cI/F13cR/F18I/F18R/F30NI/F30NR;10-11/1-2/26-27/1-2/45-46/1-2/4-5/23-24/4-5/19-20/8-9/13-14/4-5/34-35
12;65;PF588/PF715/PF831/PF833/PF834;F13I/F13R/F13cI/F13cR/F18I/F18R/F30NI/F30NR;5-6-7-8/21-22-23/5-6-7-8/17-18-19/5-6-7-8/14-15-16-17/5-6-7-8/32-33-34
12;66;PF589/PF597/PF598;F13I/F13R/F13cI/F13cR/F25I/F25R/F25eI/F30NI/F30NR;8-9-10/19-20-21/8-9-10/15-16-17/3-4/42-43/3-4/8-9-10/30-31-32
12;67;PF590/PF596/PF864;F13I/F13R/F13cI/F13cR/F25I/F25R/F25eI/F30NI/F30NR;10/19/10/15/4/42/4/10/30
12;68;PF532/PF580/PF591/PF946;209I/209R/209eI/209eR/F12I/F12R/F13I/F13R/F13cI/F13cR/F15I/F15R/F25I/F25R/F25eI/F25eR/F30NI/F30NR;27/8-9/27/8-9/0-1/20-21/10-11/18-19/10-11/14-15/0-1/36-37/4-5/41-42/4-5/30-31/10-11/29-30
12;69;PF921;209R/209eR/F10I/F10R;6-7-8/6-7-8/4/20
12;70;PF470/PF492/PF883/PF885;209R/209eR/F10I/F10R;4-5-6/4-5-6/4/20
12;72;PF1022/PF1024/PF951;F12cI/F12cR;9-10-18-19/9-14-15
12;73;PF540/PF541/PF542/PF569/PF570/PF571;F12I/F12R/F12cI;9-10-11/10-11-12/17-18
12;74;PF548/PF549/PF563;F02I/F02R/F12I/F12R/F12cI/F12cR/F30NI/F30NR;11/2/14-15/8/23/5/19-20-21/22-23
12;75;PF550;F12I/F12R/F30NI/F30NR;15/5-6/21/22
12;77;PF259;F16R;3
12;78;PF256/PF260;F16I/F16R;22-23-24/3-4-5
13;45;PG1453/PG1456/PG698/PG731;211I/211R/G02I/G02R/G07I/G07R/G08vI/G08vR;39-40/4-5/9-10/17-18/24-25/13-14/5-6/25-26
13;46;PG1452;G08vI/G08vR;6/25
13;47;;G08vI/G08vR;7/24
13;48;PG1440/PG1441/PG1442;G08vI/G08vR;7-8/23-24
13;50;PG1210/PG1214;G14I/G14R;21/5
13;61;PG556/PG557;F03R;16
13;63;PG1696/PG1713/PG1714/PG502/PG559;F03I/F03R;13-14/18-19
13;64;PF116/PF117/PG1697/PG184/PG185;207cI/207cR/207eI/207eR/230I/230R/F03I/F03R/F18I/F18R;10/2/26/2/45/2/12-13/19-20/9/13
13;67;PF1014/PF888/PF891;F15I/F15R;3-4/34-35
13;68;PF533/PF534/PF578/PF579/PF671/PF889/PF892/PF893;209I/209R/209eI/209eR/F12I/F12R/F13I/F13R/F13cI/F13cR/F15I/F15R/F25I/F25R/F25eI/F25eR/F30NI/F30NR;27/9-10/27/9-10/1-2/19-20/11-12/18/11-12/13-14/1-2-3/35-36/5-6/41/5-6/29-30/11-12/29
13;69;PF471/PF472/PF491/PF622/PF623/PF669/PF670;F10I/F10R/F13cI/F13cR;4/20/12/12-13
13;70;PF757;F13cI/F13cR;12/12
13;72;PF539/PF572/PF950/PF961;F12I/F12R/F12cI/F12cR;9/12/10-11-17/9-13-14
13;73;;F12I/F12R/F12cI;9/12/17
13;74;PF626/PF627/PF665;F02I/F02R/F12R/F12cI/F12cR/F30NI/F30NR;11/2/7-8/23/5/19/23
13;75;PF551/PF561/PF562;F12I/F12R/F30NI/F30NR;15-16/4-5-6-7/21-22/21-22
13;76;PF552/PF560/PF785/PF789;F12I/F12R/F16I/F16R/F30NI/F30NR;16/4/15-16-17-18/9-10-11-12/22/21
13;77;PF553/PF554/PF558/PF559/PF782/PF793;F12I/F12R/F16I/F16R/F30NI/F30NR;16/4/18-19/8-9/22/21
13;78;PF255/PF261/PF555/PF556/PF557;F12I/F12R/F16I/F16R/F30NI/F30NR;16-17/3-4/21-22/5-6/22-23/20-21
14;44;PG1897/PG906/PG914/PG924;211cI/211cR/G07I/G07R/G08I;14-15/0-1/21-22/16-17/0
14;45;PG697/PG732/PG907;211I/211R/G02I/G02R/G07I/G07R/G08I;38-39/5-6/8-9/18-19/22-23-24/14-15-16/0-1
14;46;PG1770/PG1776/PG989;211I/211R/G02I/G02R/G08I/G08R;38/6/7-8/19/1-2-4-5/23-24-26-27-28
14;47;PG925/PG928/PG988;G08I/G08R/G08vI/G08vR;2-4/24-26/9-10/21-22
14;48;PG926/PG927/PG986/PG987;G08I/G08R/G08vI/G08vR;2-3-4/24-25-26/8-9/22-23
14;50;PG1602;G14I/G14R;21/5
14;60;PG1695;F03R;14-15
14;61;PG1698/PG504/PG505/PG555;F03I/F03R;15-16/15-16
14;62;;F03I;15
14;63;PG503;F03I;14-15
14;64;;207cI/207cR/207eI/207eR/230I/230R/F03I/F03R/F18I/F18R;10/2/26/2/45/2/12/20/9/13
14;65;PF1120/PF1121/PF232/PF233/PF234/PG183;207cI/207cR/207eI/207eR/209I/209R/209eI/209eR/230I/230R/F03I/F03R/F18I/F18R;8-9-10/2-3/24-25-26/2-3/24-25-26/11-12/24-25-26/11-12/43-44-45/2-3/10-11-12/20-21/9-10/12-13
14;66;PF230/PF231/PF235/PF236;209I/209R/209eI/209eR/F03I/F03R/F18I/F18R;26/11/26/11/10/21/10/12
14;67;PF1015/PF1018/PF229/PF237/PF238;209I/209R/209eI/209eR/F03I/F03R/F03cI/F03cR/F15I/F15R/F18I/F18R;26/11/26/11/10/21/10-11/6-7/4-5-6/32-33-34/10/12
14;68;PF1019/PF1020/PF227/PF228/PF239/PF240/PF535/PF577/PF899;209I/209R/209eI/209eR/F03I/F03R/F03cI/F03cR/F12I/F12R/F13I/F13R/F15I/F15R/F18I/F18R/F25I/F25R/F25eI/F25eR/F30NI/F30NR;26-27/10-11/26-27/10-11/10/21/10/7/2-3/18-19/12-13/17-18/6-7-8/30-31-32/10/12/6-7/40-41/6-7/28-29/12-13/28-29
14;69;PF473/PF474/PF489/PF490/PF884;F03R/F10I/F10R/F18I/F18R;21/4-5-6/20/10/12
14;70;PF890;F13cI/F13cR;12/12
14;71;PF815/PF817;F13cI/F13cR;12-13/11-12
14;72;PF538/PF573/PF949;F12I/F12R/F12cI/F12cR;8-9/12-13/11-12-13-14-15-16-17/9-10-11-12-13
14;73;PF537/PF574;F12I/F12R;7-8/13-14
14;74;PF628/PF664/PF734/PF735/PF808/PF809;F02I/F02R/F12cI/F12cR/F18I/F18R/F30NI/F30NR;11/2/23-24/4-5/16-17-18/6-7/19/23
14;75;PF717/PF718/PF733/PF786/PF790;213eI/F12cI/F12cR/F16I/F16R/F18I/F18R;18-19/24/4/14-15/12/18/6
14;76;PF719/PF720/PF731/PF732/PF784/PF792;213eI/F12cI/F12cR/F16I/F16R/F18I/F18R;18/24/4/15/12/18/6
14;77;PF721/PF730/PF791;213eI/F12cI/F12cR/F16I/F16R/F18I/F18R;18/24/4/19/8/18-19/5-6
14;78;PF253/PF254/PF262/PF264/PF788/PF823/PF900;F12I/F12R/F16I/F16R/F30NI/F30NR;17/3/19-20-21/6-7-8/23/20
14;80;PF979/PF980;F21I/F21R;13-14-15/2-3
14;81;PF983;F21I/F21R;15/2
15;42;PG1783;211cI/211cR/G22I/G22R;15-16/0/0/17-18
15;43;PG1899/PG1900/PG812/PG922;211cI/211cR/G08I/G08R;15/0/0/30-31
15;44;PG1898/PG748/PG809/PG923;211I/211R/211cI/211cR/G07I/G07R/G08I/G08R;37/7/13-14-15/0-1-2/20-21/17-18/0/29
15;45;PG1894/PG1895/PG1896/PG749/PG808/PG915;211I/211R/211cI/211cR/G07I/G07R/G08R;37/7/13-14/1-2/20-21/17-18/29
15;46;PG1636/PG1637/PG1718/PG695/PG733/PG734/PG931;211I/211R/217eI/217eR/G02I/G02R/G08I/G08R;37-38/6-7/0-1-2/33-34-35/6-7/19-20/5-6/22-23-28-29
15;47;;G08vI/G08vR;10/21
15;48;PG1904/PG1905/PG1907/PG1908;G08vI/G08vR;10-11/20-21
15;50;PG1209/PG1892/PG1893;G14I/G14R;21/5
15;60;PG1680/PG1694;F03R;13-14
15;61;;F03I/F03R;16/13
15;62;PG1679/PG1682/PG506/PG507;F03I/F03R;16-17/13
