iLat;iLon;stops;services;route_segments;puntos
0;92;30965/38039;80hI/80qI/81sI/Linea 1I/Linea 1R;81-82-83-84/83-84-85/98-99-100-101-102/71-72/0-1;
0;93;38040/38041/38101/38102/38103;80hI/80jI/80kI/80qI/81sI;84-85-86-87-88/23-24-25/11-12-13/85-86-87-88-89-90/102-103;
0;94;38042;80hI/80qI;88-89/90-91-92;
1;92;;18pI/80hI/80qI/81sI/Linea 1I/Linea 1R;65-66/81/83/98/69-70-71/1-2;
1;93;34798/34823/38104/38105/49219/49249;18pI/80jI/80kI/81cI/81sI;66-67-68/22-23-25/10-11-13/19-20-21-22/103-104;
1;94;34810/38043/38044/38100;18pI/80hI/80jI/80kI/80qI/81cI/81sI;68/89/22/10/92/19/104;
1;95;38098/38099;18pI/80jI/80kI/81cI/81sI;68/22/10/19/104-105;
1;96;;18pI/80jI/80kI/81cI;68-69/21-22/9-10/18-19;
2;91;;Linea 1I/Linea 1R;68-69/2-3;
2;92;34539/34822;18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI/Linea 1I/Linea 1R;64-65/1/79-80-81/26-27/14-15/81-82-83/23-24/96-97-98/69/2;
2;93;;18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI;64-65/1/80-81/25-26/13-14/82-83/22-23/97-98;
2;94;34538/38045;18yI/80hI/80qI/81cI;0-1/89-90/92-93/13-14;
2;95;34874/34875/38046/38097;18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI;70-71-72/0/90-91/18-19-20/6-7-8/93-94/13-14-15-16-17/105-106-107-108;
2;96;34824;18pI/80jI/80kI/81cI/81sI;69-70/18-19-20-21/6-7-8-9/15-16-17-18/107-108;
2;98;38055/38091/38092;80hI/80jI/80kI/80qI;95-96-97/0-1/0-1/109-110-111;
3;69;34789/37904;18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI;47/18/66/43/31/68/39/83;
3;70;34790;18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI/Linea 1I/Linea 1R;47/18/66/42-43/30-31/68/39/83/55/17;
3;71;;18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI/Linea 1I/Linea 1R;47/18/66/42/30/68/39/83/55/17;
3;72;;18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI/Linea 1I/Linea 1R;47-48/17-18/66/42/30/68/39/83/55/17;
3;73;;18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI/Linea 1I/Linea 1R;48/16-17/66/41-42/29-30/68/38-39/83/55-56/16-17;
3;74;;18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI/Linea 1I/Linea 1R;48/16/66/41/29/68/38/83/56-57/16;
3;75;;18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI/Linea 1I/Linea 1R;48-49/16/66-67/41/29/68-69/38/83-84/57/16;
3;76;;18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI/Linea 1I/Linea 1R;49/16/67/41/29/69/38/84/57/16;
3;77;;18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI/Linea 1I/Linea 1R;49-50/15-16/67-68/40-41/28-29/69-70/37-38/84-85/57-58/15-16;
3;78;;18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI/Linea 1I/Linea 1R;50/15/68/40/28/70/37/85/58-59/15;
3;79;;18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI/Linea 1I/Linea 1R;50-51/14-15/68-69/39-40/27-28/70-71/36-37/85-86/59-60/14-15;
3;80;;18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI/Linea 1I/Linea 1R;51-52/13-14/69-70/38-39/26-27/71-72/35-36/86-87/60/13-14;
3;81;;18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI/Linea 1I/Linea 1R;52/13/70/38/26/72/35/87/60/13;
3;82;;18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI/Linea 1I/Linea 1R;52-53/12-13/70-71/37-38/25-26/72-73/34-35/87-88/60-61/12-13;
3;83;;18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI/Linea 1I/Linea 1R;53-54/12/71-72/36-37/24-25/73-74/33-34/88-89/61/11-12;
3;84;;18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI/Linea 1I/Linea 1R;54/11-12/72/36/24/74/33/89/61-62/11;
3;88;;18pI/80jI/80kI/81cI/Linea 1I/Linea 1R;60/30/18/27/67/5;
3;89;;18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI/Linea 1I/Linea 1R;60/4-5/77/29-30/17-18/79/26-27/94/67/5;
3;90;34820;18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI/Linea 1I/Linea 1R;60-61/3-4/77/29/17/79/26/94/67-68/4-5;
