id;latitud;longitud;sec
101I;-33.406175;-70.623244;0
101I;-33.405073;-70.622375;1
101I;-33.401975;-70.627514;2
101I;-33.402292;-70.628432;3
101I;-33.401869;-70.629007;4
101I;-33.401154;-70.629958;5
101I;-33.400082;-70.629154;6
101I;-33.396892;-70.643181;7
101I;-33.396311;-70.644444;8
101I;-33.39529;-70.652413;9
101I;-33.395886;-70.658338;10
101I;-33.397559;-70.668938;11
101I;-33.398531;-70.671099;12
101I;-33.403013;-70.684019;13
101I;-33.40201;-70.689031;14
101I;-33.40042;-70.693269;15
101I;-33.399974;-70.696014;16
101I;-33.400272;-70.697945;17
101I;-33.40262;-70.70221;18
101I;-33.407005;-70.705246;19
101I;-33.408565;-70.705897;20
101I;-33.408507;-70.707833;21
101I;-33.418808;-70.703331;22
101I;-33.420228;-70.704103;23
101I;-33.420791;-70.701808;24
101I;-33.428473;-70.703992;25
101I;-33.428046;-70.706406;26
101I;-33.432364;-70.707198;27
101I;-33.447811;-70.70725;28
101I;-33.455488;-70.705759;29
101I;-33.464538;-70.705158;30
101I;-33.465574;-70.708135;31
101I;-33.470022;-70.717252;32
101I;-33.47334;-70.722257;33
101I;-33.480131;-70.72359;34
101I;-33.481993;-70.724653;35
101I;-33.485712;-70.724673;36
101I;-33.489107;-70.723708;37
101I;-33.491629;-70.722357;38
101I;-33.494856;-70.722364;39
101I;-33.495378;-70.722105;40
101I;-33.50006;-70.713582;41
101I;-33.500871;-70.710074;42
101I;-33.504146;-70.711851;43
101I;-33.505596;-70.713849;44
101I;-33.503817;-70.724536;45
101I;-33.502294;-70.728952;46
101I;-33.501825;-70.734397;47
101I;-33.505094;-70.73583;48
101I;-33.508445;-70.735054;49
101I;-33.508434;-70.734582;50
101R;-33.508434;-70.734582;0
101R;-33.505145;-70.735355;1
101R;-33.501892;-70.733916;2
101R;-33.502294;-70.728952;3
101R;-33.503769;-70.724748;4
101R;-33.504891;-70.718035;5
101R;-33.498602;-70.716293;6
101R;-33.495378;-70.722105;7
101R;-33.494856;-70.722364;8
101R;-33.491629;-70.722357;9
101R;-33.489107;-70.723708;10
101R;-33.485454;-70.724712;11
101R;-33.481716;-70.724364;12
101R;-33.480139;-70.723486;13
101R;-33.473683;-70.722155;14
101R;-33.473131;-70.721721;15
101R;-33.470262;-70.717134;16
101R;-33.465774;-70.707952;17
101R;-33.464507;-70.704416;18
101R;-33.46432;-70.704499;19
101R;-33.464502;-70.705072;20
101R;-33.455488;-70.705759;21
101R;-33.447811;-70.70725;22
101R;-33.432391;-70.707197;23
101R;-33.428046;-70.706406;24
101R;-33.428473;-70.703992;25
101R;-33.420713;-70.70175;26
101R;-33.420552;-70.702437;27
101R;-33.418899;-70.703331;28
101R;-33.408507;-70.707833;29
101R;-33.408625;-70.705464;30
101R;-33.405624;-70.704114;31
101R;-33.402849;-70.70234;32
101R;-33.400646;-70.698481;33
101R;-33.400057;-70.695876;34
101R;-33.400536;-70.693143;35
101R;-33.401876;-70.689654;36
101R;-33.402967;-70.685402;37
101R;-33.403238;-70.682984;38
101R;-33.402329;-70.679448;39
101R;-33.399696;-70.672182;40
101R;-33.398509;-70.670669;41
101R;-33.397611;-70.668805;42
101R;-33.395945;-70.658287;43
101R;-33.39529;-70.652413;44
101R;-33.396311;-70.644444;45
101R;-33.396892;-70.643181;46
101R;-33.400082;-70.629154;47
101R;-33.401154;-70.629958;48
101R;-33.406175;-70.623244;49
101cI;-33.463178;-70.695377;0
101cI;-33.462398;-70.693314;1
101cI;-33.460745;-70.693397;2
101cI;-33.460667;-70.691776;3
101cI;-33.459033;-70.691874;4
101cI;-33.459737;-70.694044;5
101cI;-33.45271;-70.696675;6
101cI;-33.454309;-70.701639;7
101cI;-33.456072;-70.705704;8
101cI;-33.464538;-70.705158;9
101cI;-33.465574;-70.708135;10
101cI;-33.470022;-70.717252;11
101cI;-33.47334;-70.722257;12
101cI;-33.480131;-70.72359;13
101cI;-33.481778;-70.724629;14
101cI;-33.485074;-70.724733;15
101cI;-33.489107;-70.723708;16
101cI;-33.491629;-70.722357;17
101cI;-33.495029;-70.722307;18
101cI;-33.495937;-70.721283;19
101cI;-33.50006;-70.713582;20
101cI;-33.500871;-70.710074;21
101cI;-33.504146;-70.711851;22
101cI;-33.505596;-70.713849;23
101cI;-33.503817;-70.724536;24
101cI;-33.502294;-70.728952;25
101cI;-33.501825;-70.734397;26
101cI;-33.505094;-70.73583;27
101cI;-33.508445;-70.735054;28
101cI;-33.508434;-70.734582;29
101cR;-33.508434;-70.734582;0
101cR;-33.505145;-70.735355;1
101cR;-33.501892;-70.733916;2
101cR;-33.502294;-70.728952;3
101cR;-33.503769;-70.724748;4
101cR;-33.504891;-70.718035;5
101cR;-33.498602;-70.716293;6
101cR;-33.495378;-70.722105;7
101cR;-33.494856;-70.722364;8
101cR;-33.491629;-70.722357;9
101cR;-33.489107;-70.723708;10
101cR;-33.485454;-70.724712;11
101cR;-33.481716;-70.724364;12
101cR;-33.480139;-70.723486;13
101cR;-33.473353;-70.721962;14
101cR;-33.470195;-70.717004;15
101cR;-33.465774;-70.707952;16
101cR;-33.464507;-70.704416;17
101cR;-33.46432;-70.704499;18
101cR;-33.464502;-70.705072;19
101cR;-33.459132;-70.705433;20
101cR;-33.457475;-70.705233;21
101cR;-33.455487;-70.697222;22
101cR;-33.463178;-70.695377;23
102I;-33.463178;-70.695377;0
102I;-33.462398;-70.693314;1
102I;-33.460745;-70.693397;2
102I;-33.460667;-70.691776;3
102I;-33.459033;-70.691874;4
102I;-33.459737;-70.694044;5
102I;-33.45271;-70.696675;6
102I;-33.454309;-70.701639;7
102I;-33.456072;-70.705704;8
102I;-33.471335;-70.7044;9
102I;-33.478664;-70.702451;10
102I;-33.483178;-70.696325;11
102I;-33.484644;-70.692115;12
102I;-33.484271;-70.689781;13
102I;-33.484823;-70.688227;14
102I;-33.486328;-70.686644;15
102I;-33.48939;-70.682404;16
102I;-33.493421;-70.677621;17
102I;-33.498775;-70.670367;18
102I;-33.499382;-70.669234;19
102I;-33.500394;-70.666483;20
102I;-33.502504;-70.658337;21
102I;-33.503773;-70.654444;22
102I;-33.507258;-70.638699;23
102I;-33.507118;-70.631997;24
102I;-33.507757;-70.624045;25
102I;-33.508662;-70.606679;26
102I;-33.509737;-70.592069;27
102I;-33.510817;-70.58989;28
102I;-33.51084;-70.587935;29
102I;-33.516965;-70.58344;30
102I;-33.520299;-70.580301;31
102I;-33.521667;-70.57935;32
102I;-33.531914;-70.57495;33
102I;-33.535626;-70.573692;34
102I;-33.547743;-70.568284;35
102I;-33.559888;-70.558271;36
102I;-33.562891;-70.555329;37
102I;-33.563554;-70.555132;38
102I;-33.565348;-70.555295;39
102I;-33.567832;-70.554635;40
102I;-33.570901;-70.555034;41
102I;-33.573751;-70.554915;42
102I;-33.579187;-70.551908;43
102I;-33.579586;-70.551596;44
102I;-33.579407;-70.551336;45
102R;-33.579407;-70.551336;0
102R;-33.573232;-70.554842;1
102R;-33.568012;-70.554499;2
102R;-33.565477;-70.555142;3
102R;-33.56362;-70.554969;4
102R;-33.562895;-70.555157;5
102R;-33.557363;-70.560074;6
102R;-33.547485;-70.568035;7
102R;-33.534231;-70.573966;8
102R;-33.530777;-70.575129;9
102R;-33.52155;-70.578969;10
102R;-33.520358;-70.579682;11
102R;-33.517893;-70.582391;12
102R;-33.512927;-70.586087;13
102R;-33.510106;-70.586474;14
102R;-33.510039;-70.587991;15
102R;-33.510466;-70.589767;16
102R;-33.509714;-70.591605;17
102R;-33.508602;-70.606486;18
102R;-33.507053;-70.631111;19
102R;-33.506995;-70.638639;20
102R;-33.503981;-70.652915;21
102R;-33.500909;-70.664256;22
102R;-33.499284;-70.669385;23
102R;-33.491894;-70.679283;24
102R;-33.484708;-70.68831;25
102R;-33.484213;-70.689709;26
102R;-33.484512;-70.692111;27
102R;-33.483175;-70.696018;28
102R;-33.478566;-70.702371;29
102R;-33.471335;-70.7044;30
102R;-33.463058;-70.705184;31
102R;-33.457563;-70.705345;32
102R;-33.455487;-70.697222;33
102R;-33.463178;-70.695377;34
103I;-33.428821;-70.620362;0
103I;-33.429613;-70.619793;1
103I;-33.429188;-70.618897;2
103I;-33.425961;-70.614913;3
103I;-33.424602;-70.61199;4
103I;-33.431446;-70.609466;5
103I;-33.4381;-70.607501;6
103I;-33.45349;-70.604826;7
103I;-33.465973;-70.606787;8
103I;-33.476884;-70.606165;9
103I;-33.477083;-70.605872;10
103I;-33.490623;-70.606459;11
103I;-33.490265;-70.601769;12
103I;-33.497352;-70.602119;13
103I;-33.499427;-70.602597;14
103I;-33.501383;-70.600528;15
103I;-33.508977;-70.602015;16
103I;-33.507724;-70.621027;17
103I;-33.509959;-70.620653;18
103R;-33.509959;-70.620653;0
103R;-33.514294;-70.619989;1
103R;-33.516272;-70.62413;2
103R;-33.514946;-70.624756;3
103R;-33.512959;-70.624642;4
103R;-33.507925;-70.62577;5
103R;-33.507692;-70.625519;6
103R;-33.508445;-70.610225;7
103R;-33.508953;-70.60427;8
103R;-33.497474;-70.602043;9
103R;-33.490265;-70.601769;10
103R;-33.490549;-70.606426;11
103R;-33.477083;-70.605872;12
103R;-33.476884;-70.606165;13
103R;-33.465973;-70.606787;14
103R;-33.45321;-70.604844;15
103R;-33.43836;-70.607375;16
103R;-33.430664;-70.609727;17
103R;-33.423577;-70.612447;18
103R;-33.426909;-70.616211;19
103R;-33.428821;-70.620362;20
104I;-33.420756;-70.608112;0
104I;-33.421811;-70.607394;1
104I;-33.423659;-70.606782;2
104I;-33.423189;-70.604638;3
104I;-33.441578;-70.599662;4
104I;-33.448637;-70.5987;5
104I;-33.449287;-70.597854;6
104I;-33.454201;-70.598648;7
104I;-33.45604;-70.597916;8
104I;-33.494032;-70.599842;9
104I;-33.498002;-70.597298;10
104I;-33.516965;-70.58344;11
104I;-33.520299;-70.580301;12
104I;-33.521667;-70.57935;13
104I;-33.531914;-70.57495;14
104I;-33.535626;-70.573692;15
104I;-33.547743;-70.568284;16
104I;-33.559888;-70.558271;17
104I;-33.562891;-70.555329;18
104I;-33.563554;-70.555132;19
104I;-33.565348;-70.555295;20
104I;-33.567832;-70.554635;21
104I;-33.570901;-70.555034;22
104I;-33.573751;-70.554915;23
104I;-33.579187;-70.551908;24
104I;-33.579586;-70.551596;25
104I;-33.579407;-70.551336;26
104R;-33.579407;-70.551336;0
104R;-33.573232;-70.554842;1
104R;-33.568012;-70.554499;2
104R;-33.565477;-70.555142;3
104R;-33.56362;-70.554969;4
104R;-33.562694;-70.555266;5
104R;-33.557363;-70.560074;6
104R;-33.547485;-70.568035;7
104R;-33.534231;-70.573966;8
104R;-33.527159;-70.57658;9
104R;-33.520769;-70.57941;10
104R;-33.517893;-70.582391;11
104R;-33.511396;-70.587354;12
104R;-33.495627;-70.598962;13
104R;-33.493789;-70.599793;14
104R;-33.455333;-70.597764;15
104R;-33.454175;-70.598607;16
104R;-33.449287;-70.597854;17
104R;-33.448574;-70.598617;18
104R;-33.441556;-70.599576;19
104R;-33.423167;-70.604535;20
104R;-33.419919;-70.605878;21
104R;-33.419854;-70.606143;22
104R;-33.420756;-70.608112;23
105I;-33.394127;-70.759587;0
105I;-33.397398;-70.761134;1
105I;-33.399622;-70.755398;2
105I;-33.397663;-70.754468;3
105I;-33.397222;-70.753629;4
105I;-33.398793;-70.747694;5
105I;-33.399413;-70.746993;6
105I;-33.404041;-70.744907;7
105I;-33.40571;-70.74552;8
105I;-33.407191;-70.738569;9
105I;-33.407195;-70.737746;10
105I;-33.406462;-70.736092;11
105I;-33.407277;-70.733091;12
105I;-33.407363;-70.731279;13
105I;-33.406475;-70.727665;14
105I;-33.402193;-70.730977;15
105I;-33.401888;-70.730856;16
105I;-33.401909;-70.723921;17
105I;-33.401385;-70.720632;18
105I;-33.401525;-70.718667;19
105I;-33.402751;-70.711103;20
105I;-33.403389;-70.709351;21
105I;-33.404789;-70.709593;22
105I;-33.404341;-70.706756;23
105I;-33.404476;-70.705768;24
105I;-33.406039;-70.702733;25
105I;-33.408814;-70.694045;26
105I;-33.411973;-70.692804;27
105I;-33.415133;-70.692208;28
105I;-33.417407;-70.69034;29
105I;-33.418485;-70.69033;30
105I;-33.422211;-70.69118;31
105I;-33.43026;-70.692364;32
105I;-33.4378;-70.692449;33
105I;-33.439908;-70.691918;34
105I;-33.449683;-70.692611;35
105I;-33.461788;-70.688419;36
105I;-33.472843;-70.688423;37
105I;-33.47678;-70.686076;38
105I;-33.478763;-70.685539;39
105I;-33.481118;-70.68616;40
105I;-33.482297;-70.68693;41
105I;-33.485046;-70.687996;42
105I;-33.486351;-70.686728;43
105I;-33.488007;-70.687721;44
105I;-33.488513;-70.687272;45
105I;-33.495185;-70.686699;46
105I;-33.506299;-70.692121;47
105I;-33.507194;-70.689559;48
105I;-33.519529;-70.695659;49
105I;-33.524416;-70.699025;50
105I;-33.525033;-70.698723;51
105I;-33.525477;-70.69921;52
105I;-33.530903;-70.702061;53
105I;-33.532785;-70.702575;54
105I;-33.534176;-70.698807;55
105I;-33.541338;-70.705565;56
105R;-33.541338;-70.705565;0
105R;-33.543769;-70.707829;1
105R;-33.538024;-70.707503;2
105R;-33.531974;-70.705871;3
105R;-33.53184;-70.705527;4
105R;-33.532785;-70.702575;5
105R;-33.530688;-70.70199;6
105R;-33.525477;-70.69921;7
105R;-33.525033;-70.698723;8
105R;-33.524416;-70.699025;9
105R;-33.519529;-70.695659;10
105R;-33.507194;-70.689559;11
