service;origin;destiny;color_id;stopsI;stopsR;scheduleI;scheduleR
101;Recoleta;Cerrillos;4;PB1-PB2-PB3-PB4-PB5-PB6-PB7-PB8-PB9-PB10-PB11-PB1587-PB14-PB15-PB16-PB18-PB1469-PB1563-PB21-PB22-PB23-PB24-PB108-PJ1-PJ2-PJ3-PJ4-PJ5-PJ6-PJ7-PJ8-PJ9-PJ10-PJ11-PJ12-PJ13-PJ14-PJ15-PJ1582-PJ16-PJ17-PJ18-PI1-PI1489-PI3-PI4-PI5-PI6-PI7-PI8-PI9-PI10-PI11-PI12-PI13-PI14-PI1440-PI15-PI16-PI17-PI18-PI19-PI20-PI21-PI1321-PI1323-PI24-PI25-PI1643-PI1642-PI1641-PI1635-PI1640-PI695-PI1242-PI1243;PI883-PI884-PI1646-PI1644-PI1636-PI889-PI890-PI891-PI892-PI26-PI27-PI28-PI29-PI30-PI31-PI32-PI33-PI1441-PI34-PI1419-PI35-PI36-PI37-PI38-PI39-PI40-PI41-PI42-PI43-PI44-PI45-PI46-PI47-PI48-PJ19-PJ20-PJ21-PJ22-PJ23-PJ24-PJ25-PJ26-PJ27-PJ28-PJ29-PJ30-PJ31-PJ32-PB25-PB26-PB27-PB28-PB29-PB31-PB32-PB1586-PB35-PB36-PB37-PB38-PB40-PB41-PB42-PB43-PB44-PB45-PB46-PB47-PB48-PB49-PB50;Lunes a Viernes-05:30-00:30/Sábado-05:30-00:30;Domingo y Festivos-05:30-00:30/Lunes a Viernes-05:30-00:30/Sábado-05:30-00:30
101c;(M) Blanqueado;Cerrillos;4;PI1330-PI1201-PI549-PI909-PI910-PI1079-PI1080-PI1081-PJ18-PI1-PI1489-PI3-PI4-PI5-PI6-PI7-PI8-PI9-PI10-PI11-PI12-PI13-PI14-PI1440-PI15-PI16-PI17-PI18-PI19-PI20-PI21-PI1321-PI1323-PI24-PI25-PI1643-PI1642-PI1641-PI1635-PI1640-PI695-PI1242-PI1243;PI883-PI884-PI1646-PI1644-PI1636-PI889-PI890-PI891-PI892-PI26-PI27-PI28-PI29-PI30-PI31-PI32-PI33-PI1441-PI34-PI1419-PI35-PI36-PI37-PI38-PI39-PI40-PI41-PI42-PI43-PI44-PI45-PI1661-PI438-PI1793-PI1794;Lunes a Viernes-06:30-08:25/Lunes a Viernes-17:30-20:24;Lunes a Viernes-06:30-08:29/Lunes a Viernes-17:30-20:24
102;(M) Blanqueado;Mall Plaza Tobalaba;4;PI1330-PI1201-PI549-PI909-PI910-PI1079-PI1080-PI1081-PJ18-PI1-PI2-PI49-PI50-PI51-PI53-PI1375-PI55-PI56-PH2-PH3-PH4-PH5-PH6-PH1454-PH7-PH8-PH9-PH10-PH11-PH12-PH13-PH14-PH15-PH16-PH17-PH18-PH19-PH1456-PH1491-PH21-PH22-PE1-PE2-PE3-PE4-PE5-PE1292-PE7-PE8-PE9-PE10-PE11-PE12-PE13-PE14-PE15-PE16-PE17-PE18-PE19-PE20-PE21-PE22-PF1-PF2-PF3-PF4;PF5-PF829-PF6-PF7-PF8-PF9-PF10-PF11-PF12-PF13-PF15-PE23-PE24-PE25-PE26-PE27-PE28-PE29-PE1287-PE1383-PE30-PE31-PE32-PE33-PD1444-PD1-PD2-PD1161-PD4-PD5-PH45-PH23-PH24-PH1455-PH26-PH27-PH28-PH29-PH30-PH31-PH32-PH33-PH34-PH35-PH36-PH37-PH38-PH1453-PH39-PH40-PH41-PH42-PH43-PH44-PI58-PI59-PI60-PI61-PI62-PI63-PI64-PI45-PI1661-PI438-PI1793-PI1794;Lunes a Viernes-05:30-00:30/Domingo y Festivos-05:30-00:30/Sábado-05:30-00:30;Domingo y Festivos-05:30-00:30/Lunes a Viernes-05:30-00:30/Sábado-05:30-00:30
103;Providencia;San Joaquin;4;PC1-PC2-PC3-PC4-PC5-PC6-PC7-PC8-PC9-PC10-PC11-PD6-PD7-PD8-PD9-PD10-PD11-PD12-PD13-PD14-PD15-PD16-PD17-PD18-PD19-PD20-PD21-PD22-PD23-PD24-PD25-PD26-PD27-PD28-PD29-PD1161-PD4-PD5-PH45-PH23-PH46;PH47-PH48-PH49-PH1443-PH1442-PH1491-PH21-PH22-PH672-PE1-PE2-PD30-PD31-PD32-PD33-PD34-PD35-PD36-PD37-PD38-PD39-PD40-PD41-PD42-PD43-PD44-PD45-PD46-PD47-PD48-PD49-PD50-PD51-PD52-PC12-PC13-PC14-PC15-PC16-PC17-PC18-PC19-PC20-PC21;Domingo y Festivos-05:30-00:30/Sábado-05:30-00:40/Lunes a Viernes-05:30-00:40;Domingo y Festivos-05:30-00:30/Sábado-05:30-00:40/Lunes a Viernes-05:30-00:40
104;Providencia;Mall Plaza Tobalaba;4;PC37-PC22-PC23-PC24-PC25-PC26-PC27-PC28-PD53-PD54-PD56-PD57-PD107-PD58-PD59-PD60-PD61-PD62-PD63-PD64-PD65-PD66-PD67-PD68-PD1449-PD69-PD70-PD71-PD72-PD73-PD1417-PD74-PD75-PE7-PE8-PE9-PE10-PE11-PE12-PE13-PE14-PE15-PE16-PE17-PE18-PE19-PE20-PE21-PE22-PF1-PF2-PF3-PF4;PF5-PF829-PF6-PF7-PF8-PF9-PF10-PF11-PF12-PF13-PF15-PE23-PE24-PE25-PE26-PE27-PE28-PE29-PE1287-PE1383-PE30-PE31-PE32-PD85-PD147-PD87-PD148-PD149-PD88-PD89-PD1428-PD90-PD91-PD92-PD93-PD94-PD95-PD96-PD97-PD98-PD99-PD100-PD101-PD235-PD103-PD104-PD237-PD106-PC29-PC30-PC31-PC32-PC33-PC34-PC35-PC36-PC37;Domingo y Festivos-00:00-23:59/Lunes a Viernes-00:00-23:59/Sábado-00:00-23:59;Domingo y Festivos-00:00-23:59/Sábado-00:00-23:59/Lunes a Viernes-00:00-23:59
105;Renca;Lo Espejo;4;PB1520-PB1517-PB1518-PB1521-PB1060-PB1661-PB1660-PB1061-PB1644-PB787-PB53-PB54-PB55-PB56-PB57-PB1690-PB58-PB59-PB60-PB61-PB62-PB63-PB64-PB65-PB66-PB67-PB68-PB69-PB70-PB71-PB72-PB73-PB74-PB75-PJ36-PJ37-PJ38-PJ1774-PJ454-PJ455-PJ41-PJ42-PJ43-PJ44-PI65-PI66-PI67-PI68-PI69-PI70-PI71-PI72-PI73-PH581-PH52-PH53-PH54-PH55-PH56-PH57-PH58-PH59-PH60-PH61-PH62-PH63-PH64-PH65-PH66-PH67-PH356-PH68-PH801-PH795-PH1479-PG421-PG1635-PG1707-PG1704;PG1634-PG1632-PG1631-PH472-PH73-PH796-PH74-PH75-PH1513-PH76-PH77-PH78-PH79-PH80-PH81-PH82-PH83-PH84-PH85-PH86-PH87-PH88-PH89-PH90-PH91-PH92-PH93-PI75-PI76-PI77-PI78-PI79-PI80-PI81-PI82-PI83-PI84-PJ45-PJ591-PJ47-PJ48-PJ49-PJ50-PB76-PB77-PB78-PB79-PB80-PB81-PB82-PB83-PB84-PB85-PB86-PB1709-PB87-PB88-PB89-PB90-PB91-PB92-PB93-PB94-PB95-PB96-PB97-PB98-PB832-PB1642-PB1692-PB1387-PB1861-PB1540-PB1541;Lunes a Viernes-05:30-23:39/Sábado-05:30-23:35/Domingo y Festivos-05:30-23:30;Lunes a Viernes-05:30-23:39/Domingo y Festivos-05:30-23:30/Sábado-05:30-23:48
106;Nueva San Martin;La Florida;4;PI369-PI370-PI371-PI372-PI373-PI374-PI375-PI376-PI377-PI1674-PI378-PI379-PI380-PI565-PI1353-PI1351-PI1352-PI386-PI231-PI232-PI233-PI234-PI235-PI236-PI387-PI388-PI389-PI390-PI391-PI392-PI393-PI394-PI395-PI396-PI397-PI398-PI1632-PI437-PI438-PI448-PI340-PI439-PI342-PI1813-PA163-PA164-PA165-PA28-PA350-PA168-PA169-PA342-PC1148-PC200-PC201-PC202-PC38-PC39-PC40-PC41-PC42-PC43-PC44-PD108-PD109-PD110-PD1586-PD1585-PD113-PD114-PD528-PD529-PD61-PD62-PD63-PD64-PD65-PD66-PD67-PD68-PD1449-PD69-PD70-PD71-PD72-PD73-PD1417-PD74-PD130-PE1410-PE35-PE36-PD1347-PD1346-PD133-PD134-PD135-PD136-PD1452-PD620;PD614-PD462-PD463-PD139-PD140-PD141-PD142-PD143-PD144-PD1397-PD145-PD146-PD1374-PD85-PD147-PD87-PD148-PD149-PD88-PD89-PD1428-PD90-PD91-PD92-PD93-PD94-PD95-PD96-PD97-PD98-PD161-PD162-PD163-PD164-PD165-PD166-PD167-PD168-PC45-PC46-PC47-PC48-PC49-PC50-PC51-PC192-PC193-PC194-PC195-PC196-PA343-PA41-PA344-PA345-PA346-PA347-PA348-PA349-PI403-PI404-PI405-PI471-PI406-PJ112-PI407-PI408-PI409-PI410-PI411-PI412-PI413-PI414-PI415-PI416-PI417-PI418-PI253-PI217-PI218-PI219-PI220-PI221-PI419-PI420-PI422-PI423-PI424-PI425-PI426-PI427-PI1673-PI428-PI429-PI430-PI431-PI432-PI433-PI434-PI435-PI436;Domingo y Festivos-05:30-23:40/Lunes a Viernes-05:30-23:40/Sábado-05:30-23:40;Sábado-05:30-00:30/Lunes a Viernes-05:30-00:30/Domingo y Festivos-05:30-00:30
107;Ciudad Empresarial;Av. Departamental;4;PB101-PB102-PB103-PB104-PB1580-PB105-PB106-PB107-PB4-PB5-PB6-PB7-PB8-PB9-PB10-PB11-PB1587-PB14-PB15-PB16-PB18-PB1469-PB1563-PB21-PB22-PB23-PB24-PB108-PJ1-PJ2-PJ3-PJ4-PJ5-PJ6-PJ7-PJ8-PJ9-PJ10-PJ11-PJ12-PJ13-PJ14-PJ15-PJ1582-PJ16-PJ17-PJ18-PI1-PI2-PI49-PI50-PI51-PI53-PI1375-PI55-PI56-PH2-PH3-PH4-PH5-PH6-PH1454-PH7-PH8-PH9-PH10-PH11-PH12-PH13-PH14-PH15-PH16-PH17-PH18-PH19-PH1456-PH1491-PH21-PH22-PE1-PE2-PE3-PE4-PE5-PE874-PE1410-PE35-PE36-PE1284-PE1286-PE1285-PE1413-PD1409-PD618-PD1452-PD620;PD614-PD462-PD463-PD137-PD138-PD169-PD171-PD172-PD170-PD145-PD146-PD1374-PD1443-PD1444-PD1-PD2-PD1161-PD4-PD5-PH23-PH24-PH1455-PH26-PH27-PH28-PH29-PH30-PH31-PH32-PH33-PH34-PH35-PH36-PH37-PH38-PH1453-PH39-PH40-PH41-PH42-PH43-PH44-PI57-PI58-PI60-PI61-PI62-PI63-PI64-PI45-PI46-PI47-PI48-PJ19-PJ20-PJ21-PJ22-PJ23-PJ24-PJ25-PJ26-PJ27-PJ28-PJ29-PJ30-PJ31-PJ32-PB25-PB26-PB27-PB28-PB29-PB31-PB32-PB1586-PB35-PB36-PB37-PB38-PB40-PB43-PB44-PB45-PB46-PB47-PB109-PB110-PB111-PB1581-PB113-PB114-PB115;Lunes a Viernes-00:00-23:59/Sábado-00:00-23:59/Domingo y Festivos-00:00-23:59;Sábado-00:00-23:59/Domingo y Festivos-00:00-23:59/Lunes a Viernes-00:00-23:59
107c;Ciudad Empresarial;Plaza Renca;4;PB115-PB101-PB102-PB103-PB104-PB1580-PB105-PB106-PB107-PB4-PB5-PB6-PB7-PB8-PB9-PB10-PB11-PB1587-PB14-PB15-PB16-PB18-PB1469-PB1563-PB21-PB22-PB23-PB24-PB108;PB25-PB26-PB27-PB28-PB29-PB31-PB32-PB1586-PB35-PB36-PB37-PB38-PB40-PB43-PB44-PB45-PB46-PB47-PB109-PB110-PB111-PB1581-PB113-PB114-PB115;Lunes a Viernes-06:30-08:27/Lunes a Viernes-17:30-20:24;Lunes a Viernes-06:30-08:18/Lunes a Viernes-17:30-20:18
108;Maipu;La Florida;4;PI528-PI529-PI1350-PI89-PI90-PI91-PI92-PI93-PI94-PI95-PI96-PI97-PI98-PI99-PI100-PI101-PI1792-PI102-PI103-PI1816-PI105-PI106-PI1367-PI1368-PI1369-PI1370-PI112-PI114-PI115-PI116-PI118-PI119-PI120-PI1631-PI1630-PI1629-PI1628-PI1627-PI1626-PI1625-PI1375-PI55-PI56-PH2-PH3-PH4-PH5-PH6-PH1454-PH7-PH8-PH9-PH10-PH11-PH12-PH13-PH14-PH15-PH16-PH17-PH18-PH19-PH1456-PH1491-PH21-PH22-PE1-PE2-PE3-PE4-PE5-PE1292-PE7-PE8-PE9-PE10-PE382-PE383-PE384-PE385-PE386-PE387-PE388-PE1409-PE1407-PE40;PE42-PE1406-PE1408-PE413-PE414-PE415-PE416-PE417-PE418-PE1287-PE1383-PE30-PE31-PE32-PE33-PD1444-PD1-PD2-PD1161-PD4-PD5-PH45-PH23-PH24-PH1455-PH26-PH27-PH28-PH29-PH30-PH31-PH32-PH33-PH34-PH35-PH36-PH37-PH38-PH1453-PH39-PH40-PH41-PH42-PH43-PH44-PI57-PI181-PI1616-PI1617-PI1618-PI1619-PI23-PI1271-PI137-PI139-PI1314-PI141-PI142-PI1372-PI144-PI145-PI146-PI148-PI149-PI150-PI151-PI152-PI153-PI154-PI155-PI156-PI157-PI158-PI159-PI160-PI161-PI513-PI162-PI163-PI164-PI165-PI166-PI1578-PI564;Lunes a Viernes-05:30-00:30/Domingo y Festivos-05:30-00:30/Sábado-05:30-00:30;Domingo y Festivos-05:30-00:30/Lunes a Viernes-05:30-00:30/Sábado-05:30-00:30
