stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
PF-82,328,18 de Septiembre / Estadio Carlos Dittborn,Paradero Formal 82,-18.48684352,-70.29765714,,,0,,,0
PF-81,360,Santa Maria / Liceo A-1,Paradero Formal 81,-18.47433806,-70.30798425,,,0,,,0
PF-83,329,18 de Septiembre / Tucapel,Paradero Formal 83,-18.48692296,-70.29643959,,,0,,,0
PF-2,330,Capitán Ávalos / Pehuén,Paradero Formal 2,-18.48860139,-70.28558264,,,0,,,0
PF-3,331,Capitán Ávalos / Diego Portales,Paradero Formal 3,-18.48831178,-70.28576725,,,0,,,0
PF-4,266,Capitán Ávalos / Las Torres,Paradero Formal 4,-18.4842332,-70.284246,,,0,,,0
PF-5,230,Capitan Avalos / Alonso de Camargo,Paradero Formal 5,-18.48424087,-70.28450891,,,0,,,0
PF-6,233,Linderos / Dr. Amador Neghme,Paradero Formal 6,-18.43861804,-70.28675331,,,0,,,0
PF-80,318,Santa Maria / Cabo Elías Sánchez,Paradero Formal 80,-18.47436674,-70.30780811,,,0,,,0
PF-9,232,Cancha Rayada / Dr. Amador Neghme,Paradero Formal 9,-18.43860489,-70.29019567,,,0,,,0
PF-72,295,Dr. Juan Noe / Arturo Gallo,Paradero Formal 72,-18.4790689,-70.31115963,,,0,,,0
PF-8,231,Cancha Rayada / Dr. Amador Neghme,Paradero Formal 8,-18.43799306,-70.29054227,,,0,,,0
PF-71,300,José Victorino Lastarrias / Cementerio Municipal,Paradero Formal 71,-18.47881387,-70.30924979,,,0,,,0
PF-7,234,Linderos / Dr. Amador Neghme,Paradero Formal 7,-18.43912521,-70.28633113,,,0,,,0
PF-77,321,Comandante San Martin / Plaza Vicuña Mackenna,Paradero Formal 77,-18.47756608,-70.32257845,,,0,,,0
PF-76,320,Pedro Montt / Plaza Vicuña Mackena,Paradero Formal 76,-18.47763298,-70.32209417,,,0,,,0
PF-75,327,18 de Septiembre / General Manuel Baquedano,Paradero Formal 75,-18.47836019,-70.31786128,,,0,,,0
PF-74,353,Dr. Juan Noe / Manuel Blanco Encalada,Paradero Formal 74,-18.47762667,-70.3127893,,,0,,,0
PF-79,316,Santa Maria / Juán Antonio Ríos,Paradero Formal 79,-18.47370984,-70.30719438,,,0,,,0
PF-78,317,Santa Maria / Juan Antonio Ríos,Paradero Formal 78,-18.47328287,-70.30704133,,,0,,,0
PR-93,408,Joaquin Aracena / Las Acacias,Punto Referencia 93,-18.47927459,-70.28820885,,,0,,,0
PR-92,407,Libertad / Los Laureles,Punto Referencia 92,-18.47848651,-70.29137949,,,0,,,0
PR-95,410,Ramón Barros Luco / Las Torres,Punto Referencia 95,-18.48395117,-70.28215729,,,0,,,0
PR-94,409,Joaquin Aracena / Capitán Ávalos,Punto Referencia 94,-18.48268612,-70.28493434,,,0,,,0
PR-91,406,Las Tranqueras / Hernan Agurto,Punto Referencia 91,-18.48197064,-70.29213935,,,0,,,0
PR-90,405,Linderos / Villarrica,Punto Referencia 90,-18.43275052,-70.28890799,,,0,,,0
PR-97,412,Canteras / Retiros,Punto Referencia 97,-18.45938095,-70.28228739,,,0,,,0
PR-96,411,Ramón Barros Luco / El Quilllay,Punto Referencia 96,-18.48525183,-70.28254573,,,0,,,0
PR-99,415,Gonzalo Cerda / Alejandro Azola,Punto Referencia 99,-18.47234041,-70.29820712,,,0,,,0
PR-98,414,Barros Arana / Pasaje Nueve,Punto Referencia 98,-18.47190892,-70.30083483,,,0,,,0
PFA-99,359,Dr. Juan Noe / Patricio Lynch,Paradero Formal Antiguo 99,-18.47686596,-70.31366486,,,0,,,0
PR-80,394,Ginebra / Monza,Punto Referencia 80,-18.44783537,-70.29595394,,,0,,,0
PR-84,398,Cancha Rayada / Humberstone,Punto Referencia 84,-18.43295175,-70.29223664,,,0,,,0
PR-83,397,La proveedora / Llancolén,Punto Referencia 83,-18.44383196,-70.2924225,,,0,,,0
PR-82,396,Emilio Gutiérrez / Malahue,Punto Referencia 82,-18.44187621,-70.29351304,,,0,,,0
PR-81,395,Mentón / Panamericana Norte,Punto Referencia 81,-18.44211544,-70.29552755,,,0,,,0
PR-88,404,Las Acacias / CFT UTA,Punto Referencia 88,-18.48396154,-70.29182228,,,0,,,0
PR-87,401,Romulo Peña / Conrado Ríos,Punto Referencia 87,-18.4838086,-70.29843963,,,0,,,0
