trip_id,start_time,end_time,headway_secs,exact_times
90199,06:00:00,07:00:00,1200,0
90200,07:00:00,08:30:00,720,0
90201,08:30:00,17:30:00,1200,0
90202,17:30:00,20:30:00,900,0
90203,20:30:00,22:00:00,1200,0
90204,22:00:00,23:59:00,1800,0
90205,06:00:00,23:59:00,1200,0
90206,06:00:00,07:00:00,1200,0
90207,07:00:00,08:30:00,720,0
90208,08:30:00,17:30:00,1200,0
90209,17:30:00,20:30:00,900,0
90210,20:30:00,22:00:00,1200,0
90211,22:00:00,23:59:00,1800,0
90212,06:00:00,23:59:00,1200,0
90213,06:00:00,07:00:00,1200,0
90214,07:00:00,08:30:00,900,0
90215,08:30:00,17:30:00,1200,0
90216,17:30:00,20:30:00,900,0
90217,20:30:00,22:00:00,1200,0
90218,22:00:00,23:59:00,1800,0
90219,06:00:00,23:59:00,1200,0
90220,06:00:00,07:00:00,1200,0
90221,07:00:00,08:30:00,900,0
90222,08:30:00,17:30:00,1200,0
90223,17:30:00,20:30:00,900,0
90224,20:30:00,22:00:00,1200,0
90225,22:00:00,23:59:00,1800,0
90226,06:00:00,23:59:00,1200,0
90365,06:00:00,07:00:00,600,0
90366,07:00:00,08:30:00,300,0
90367,08:30:00,17:30:00,600,0
90368,17:30:00,20:30:00,420,0
90369,20:30:00,22:00:00,600,0
90370,22:00:00,23:59:00,1800,0
90371,06:00:00,23:59:00,600,0
90372,06:00:00,07:00:00,600,0
90373,07:00:00,08:30:00,300,0
90374,08:30:00,17:30:00,600,0
90375,17:30:00,20:30:00,420,0
90376,20:30:00,22:00:00,600,0
90377,22:00:00,23:59:00,1800,0
90378,06:00:00,23:59:00,600,0
90407,06:00:00,07:00:00,480,0
90408,07:00:00,08:30:00,240,0
90409,08:30:00,17:30:00,480,0
90410,17:30:00,20:30:00,300,0
90411,20:30:00,22:00:00,480,0
90412,22:00:00,23:59:00,1800,0
90413,06:00:00,07:00:00,540,0
90414,07:00:00,08:30:00,240,0
90415,08:30:00,17:30:00,540,0
90416,17:30:00,20:30:00,300,0
90417,20:30:00,22:00:00,540,0
90418,22:00:00,23:59:00,1800,0
90419,06:00:00,23:59:00,540,0
90420,06:00:00,07:00:00,900,0
90421,07:00:00,08:30:00,420,0
90422,08:30:00,17:30:00,900,0
90423,17:30:00,20:30:00,540,0
90424,20:30:00,22:00:00,900,0
90425,22:00:00,23:59:00,1800,0
90426,06:00:00,23:59:00,900,0
90427,06:00:00,07:00:00,900,0
90428,07:00:00,08:30:00,420,0
90429,08:30:00,17:30:00,900,0
90430,17:30:00,20:30:00,540,0
90431,20:30:00,22:00:00,900,0
90432,22:00:00,23:59:00,1800,0
90433,06:00:00,23:59:00,900,0
90842,06:00:00,23:59:00,480,0
90434,06:00:00,07:00:00,900,0
90435,07:00:00,08:30:00,480,0
90436,08:30:00,17:30:00,900,0
90437,17:30:00,20:30:00,600,0
90438,20:30:00,22:00:00,900,0
90439,22:00:00,23:59:00,1800,0
90440,06:00:00,23:59:00,900,0
90441,06:00:00,07:00:00,900,0
90442,07:00:00,08:30:00,480,0
90443,08:30:00,17:30:00,900,0
90444,17:30:00,20:30:00,600,0
90445,20:30:00,22:00:00,900,0
90446,22:00:00,23:59:00,1800,0
91246,06:00:00,23:59:00,900,0
90461,06:00:00,07:00:00,1200,0
90462,07:00:00,08:30:00,600,0
90463,08:30:00,17:30:00,1200,0
90464,17:30:00,20:30:00,720,0
90465,20:30:00,22:00:00,1200,0
90466,22:00:00,23:59:00,1800,0
90467,06:00:00,23:59:00,1200,0
1612320,06:00:00,23:59:00,1200,0
16115046,07:00:00,08:30:00,600,0
16136741,06:00:00,07:00:00,1200,0
16147247,17:30:00,20:30:00,300,0
16156858,20:30:00,22:00:00,1200,0
16168112,08:30:00,17:30:00,1200,0
16182594,22:00:00,23:59:00,1800,0
35442353,06:00:00,23:59:00,1200,0
243732145,06:00:00,07:00:00,1200,0
243750533,08:30:00,17:30:00,1200,0
243763694,20:30:00,22:00:00,1200,0
243780158,07:00:00,08:30:00,600,0
243782611,22:00:00,23:59:00,1800,0
243786469,17:30:00,20:30:00,720,0
243790478,06:00:00,23:59:00,1200,0
354421407,17:30:00,20:30:00,720,0
354435759,20:30:00,22:00:00,1200,0
354441770,06:00:00,07:00:00,1200,0
354461400,08:30:00,17:30:00,1200,0
354473362,22:00:00,23:59:00,1800,0
354494702,07:00:00,08:30:00,600,0
405421532,22:00:00,23:59:00,1800,0
405432345,08:30:00,17:30:00,1200,0
405435310,06:00:00,23:59:00,1200,0
405437486,17:30:00,20:30:00,720,0
405455354,07:00:00,08:30:00,600,0
405470806,06:00:00,07:00:00,1200,0
405473455,20:30:00,22:00:00,1200,0
536710352,08:30:00,17:30:00,1200,0
536711698,06:00:00,23:59:00,1200,0
