route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
2991,548,02a,Centinela,,3,,,
2992,548,02d,Diego Portales,,3,,,
2993,548,02k,Los Copihues,,3,,,
2994,548,02p,Peñuelas,,3,,,
3017,555,13g,Puerta Los Leones,,3,,,
3018,555,13s,Leonera,,3,,,
3027,558,17a,Cerro Verde Bajo,,3,,,
3028,558,17o,Valle Nonguen,,3,,,
3029,558,17w,Porvenir - Los Bloques,,3,,,
3030,558,17x,Porvenir - Los Bloques,,3,,,
3031,559,18p,Rinconada,,3,,,
3032,559,18y,Palomares,,3,,,
3036,560,20v,Boca Sur,,3,,,
3163,560,20l,Boca Sur,,3,,,
3164,560,20a,Puerta Los Leones,,3,,,
3165,560,20w,San Pedro De La Costa,,3,,,
3167,560,20j,Puerta Los Leones,,3,,,
3168,560,20z,Puerta Los Leones,,3,,,
3039,561,21b,Candelaria,,3,,,
3040,561,21q,Terminal Collao,,3,,,
3043,562,22r,Universidad Bio Bio,,3,,,
3044,562,22d,Michaihue,,3,,,
3045,562,22e,Candelaria,,3,,,
3046,562,22j,Collao,,3,,,
3047,562,22k,La Araucana,,3,,,
3048,562,22n,Michaihue,,3,,,
3050,562,22c,Lomas Coloradas - Coloane,,3,,,
3051,562,22s,La Araucana,,3,,,
3052,562,22x,Galvarino - Hospital Regional,,3,,,
3171,562,22o,San Pedro De La Costa,,3,,,
3053,563,23a,Terminal Collao,,3,,,
3054,563,23l,Michaihue,,3,,,
3055,563,23n,Terminal Collao,,3,,,
3056,563,23p,Valle Nonguén,,3,,,
3057,563,23q,Michaihue,,3,,,
3173,563,23t,San Pedro De La Costa,,3,,,
3072,566,31f,Lirquén,,3,,,
3180,566,31d,Lobos Viejos,,3,,,
3077,567,32y,Rios De Chile,,3,,,
3181,567,32e,Lobos Viejos,,3,,,
3183,567,32g,Rios De Chile,,3,,,
3184,567,32h,Lobos Viejos,,3,,,
3078,569,40b,La Araucana,,3,,,
3079,569,40g,Candelaria,,3,,,
3080,569,40n,4 Esquinas,,3,,,
3081,569,40p,4 Esquinas,,3,,,
3086,571,42f,4 Esquinas,,3,,,
3088,571,42u,Terminal Collao,,3,,,
3089,571,42w,Centro Concepción,,3,,,
3178,571,42h,4 Esquinas,,3,,,
3090,572,43j,Santa Sabina,,3,,,
3091,572,43t,Ccu,,3,,,
3092,573,44e,Lomas De San Andrés,,3,,,
3093,573,44u,Hualpencillo - Diego Portales,,3,,,
3094,574,50s,Centro Concepción,,3,,,
3095,574,50u,Las Higueras - Gaete,,3,,,
3096,575,52a,Puerta Los Leones,,3,,,
3185,575,52d,Palomares,,3,,,
3186,576,56o,Puerta Los Leones,,3,,,
3187,576,56v,Los Fresnos,,3,,,
3100,592,57p,San Vicente,,3,,,
3101,592,57y,Cosmito,,3,,,
3102,578,60k,Santa Sabina,,3,,,
3103,578,60l,Lomas,,3,,,
3104,578,60m,Bario Norte - Santa Sabina,,3,,,
3105,578,60x,Hualpén,,3,,,
3106,578,60y,Padre Hurtado,,3,,,
3107,578,60z,Pedro De Valdivia,,3,,,
