trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
90199,06:00:00,06:00:00,32599,0,,0,0,
90199,06:00:45,06:00:45,32722,1,,0,0,
90199,06:01:10,06:01:10,32723,2,,0,0,
90199,06:02:28,06:02:28,32600,3,,0,0,
90199,06:03:51,06:03:51,32601,4,,0,0,
90199,06:05:09,06:05:09,32724,5,,0,0,
90199,06:05:25,06:05:25,32602,6,,0,0,
90199,06:06:24,06:06:24,32603,7,,0,0,
90199,06:06:41,06:06:41,32604,8,,0,0,
90199,06:07:09,06:07:09,32605,9,,0,0,
90199,06:07:31,06:07:31,32606,10,,0,0,
90199,06:08:01,06:08:01,32607,11,,0,0,
90199,06:08:20,06:08:20,32608,12,,0,0,
90199,06:08:36,06:08:36,32609,13,,0,0,
90199,06:08:57,06:08:57,32610,14,,0,0,
90199,06:10:09,06:10:09,32611,15,,0,0,
90199,06:10:50,06:10:50,32612,16,,0,0,
90199,06:11:26,06:11:26,32725,17,,0,0,
90199,06:12:00,06:12:00,32727,18,,0,0,
90199,06:13:10,06:13:10,32728,19,,0,0,
90199,06:14:01,06:14:01,32729,20,,0,0,
90199,06:14:41,06:14:41,32730,21,,0,0,
90199,06:14:50,06:14:50,32731,22,,0,0,
90199,06:15:17,06:15:17,32726,23,,0,0,
90199,06:16:05,06:16:05,32732,24,,0,0,
90199,06:16:39,06:16:39,32733,25,,0,0,
90199,06:17:09,06:17:09,32734,26,,0,0,
90199,06:17:26,06:17:26,32735,27,,0,0,
90199,06:19:46,06:19:46,32736,28,,0,0,
90199,06:19:57,06:19:57,32738,29,,0,0,
90199,06:20:48,06:20:48,32739,30,,0,0,
90199,06:21:28,06:21:28,32740,31,,0,0,
90199,06:22:03,06:22:03,32741,32,,0,0,
90199,06:22:30,06:22:30,32742,33,,0,0,
90199,06:23:04,06:23:04,32743,34,,0,0,
90199,06:23:20,06:23:20,32744,35,,0,0,
90199,06:23:29,06:23:29,32745,36,,0,0,
90199,06:23:52,06:23:52,32746,37,,0,0,
90199,06:24:13,06:24:13,32747,38,,0,0,
90199,06:24:51,06:24:51,32748,39,,0,0,
90199,06:25:28,06:25:28,32749,40,,0,0,
90199,06:25:44,06:25:44,32750,41,,0,0,
90199,06:26:46,06:26:46,32638,42,,0,0,
90199,06:27:11,06:27:11,32639,43,,0,0,
90199,06:27:55,06:27:55,32640,44,,0,0,
90199,06:28:59,06:28:59,32633,45,,0,0,
90199,06:29:52,06:29:52,32641,46,,0,0,
90199,06:30:36,06:30:36,32642,47,,0,0,
90199,06:31:10,06:31:10,32643,48,,0,0,
90199,06:32:44,06:32:44,32644,49,,0,0,
90199,06:33:30,06:33:30,32645,50,,0,0,
90199,06:34:30,06:34:30,32646,51,,0,0,
90199,06:36:07,06:36:07,32647,52,,0,0,
90199,06:36:48,06:36:48,32648,53,,0,0,
90199,06:37:41,06:37:41,32649,54,,0,0,
90199,06:38:39,06:38:39,32650,55,,0,0,
90199,06:39:09,06:39:09,32651,56,,0,0,
90199,06:40:02,06:40:02,32652,57,,0,0,
90199,06:40:37,06:40:37,32653,58,,0,0,
90199,06:41:20,06:41:20,32654,59,,0,0,
90199,06:41:38,06:41:38,32655,60,,0,0,
90199,06:42:35,06:42:35,32656,61,,0,0,
90199,06:43:15,06:43:15,32657,62,,0,0,
90199,06:43:43,06:43:43,32658,63,,0,0,
90199,06:44:03,06:44:03,32659,64,,0,0,
90199,06:44:36,06:44:36,32660,65,,0,0,
90199,06:45:47,06:45:47,32661,66,,0,0,
90199,06:45:59,06:45:59,32662,67,,0,0,
90199,06:46:35,06:46:35,32663,68,,0,0,
90199,06:46:51,06:46:51,32664,69,,0,0,
90199,06:47:14,06:47:14,32665,70,,0,0,
90199,06:47:56,06:47:56,32666,71,,0,0,
90199,06:48:43,06:48:43,32667,72,,0,0,
90199,06:49:25,06:49:25,32668,73,,0,0,
90199,06:49:42,06:49:42,32669,74,,0,0,
90199,06:50:03,06:50:03,32670,75,,0,0,
90199,06:50:16,06:50:16,32671,76,,0,0,
90199,06:50:40,06:50:40,32672,77,,0,0,
90199,06:50:58,06:50:58,32673,78,,0,0,
90199,06:51:19,06:51:19,32674,79,,0,0,
90199,06:54:15,06:54:15,32675,80,,0,0,
90199,06:54:40,06:54:40,32676,81,,0,0,
90199,06:54:58,06:54:58,32677,82,,0,0,
90199,06:55:24,06:55:24,32678,83,,0,0,
90199,06:56:35,06:56:35,32502,84,,0,0,
90199,06:57:33,06:57:33,32679,85,,0,0,
90199,06:57:52,06:57:52,32680,86,,0,0,
90199,06:59:48,06:59:48,32681,87,,0,0,
90199,07:00:29,07:00:29,32682,88,,0,0,
90199,07:00:56,07:00:56,32683,89,,0,0,
90199,07:01:25,07:01:25,32684,90,,0,0,
90199,07:01:39,07:01:39,32685,91,,0,0,
90199,07:01:58,07:01:58,32686,92,,0,0,
90199,07:02:32,07:02:32,32751,93,,0,0,
90199,07:02:49,07:02:49,32752,94,,0,0,
90199,07:03:09,07:03:09,32753,95,,0,0,
90199,07:03:48,07:03:48,32737,96,,0,0,
90199,07:04:05,07:04:05,32693,97,,0,0,
90200,07:00:00,07:00:00,32599,0,,0,0,
90200,07:00:45,07:00:45,32722,1,,0,0,
90200,07:01:10,07:01:10,32723,2,,0,0,
90200,07:02:28,07:02:28,32600,3,,0,0,
90200,07:03:51,07:03:51,32601,4,,0,0,
90200,07:05:09,07:05:09,32724,5,,0,0,
90200,07:05:25,07:05:25,32602,6,,0,0,
90200,07:06:24,07:06:24,32603,7,,0,0,
90200,07:06:41,07:06:41,32604,8,,0,0,
90200,07:07:09,07:07:09,32605,9,,0,0,
90200,07:07:31,07:07:31,32606,10,,0,0,
90200,07:08:01,07:08:01,32607,11,,0,0,
90200,07:08:20,07:08:20,32608,12,,0,0,
90200,07:08:36,07:08:36,32609,13,,0,0,
90200,07:08:57,07:08:57,32610,14,,0,0,
90200,07:10:09,07:10:09,32611,15,,0,0,
90200,07:10:50,07:10:50,32612,16,,0,0,
90200,07:11:26,07:11:26,32725,17,,0,0,
90200,07:12:00,07:12:00,32727,18,,0,0,
90200,07:13:10,07:13:10,32728,19,,0,0,
90200,07:14:01,07:14:01,32729,20,,0,0,
90200,07:14:41,07:14:41,32730,21,,0,0,
90200,07:14:50,07:14:50,32731,22,,0,0,
90200,07:15:17,07:15:17,32726,23,,0,0,
90200,07:16:05,07:16:05,32732,24,,0,0,
90200,07:16:39,07:16:39,32733,25,,0,0,
90200,07:17:09,07:17:09,32734,26,,0,0,
90200,07:17:26,07:17:26,32735,27,,0,0,
90200,07:19:46,07:19:46,32736,28,,0,0,
90200,07:19:57,07:19:57,32738,29,,0,0,
90200,07:20:48,07:20:48,32739,30,,0,0,
90200,07:21:28,07:21:28,32740,31,,0,0,
90200,07:22:03,07:22:03,32741,32,,0,0,
90200,07:22:30,07:22:30,32742,33,,0,0,
90200,07:23:04,07:23:04,32743,34,,0,0,
90200,07:23:20,07:23:20,32744,35,,0,0,
90200,07:23:29,07:23:29,32745,36,,0,0,
90200,07:23:52,07:23:52,32746,37,,0,0,
90200,07:24:13,07:24:13,32747,38,,0,0,
90200,07:24:51,07:24:51,32748,39,,0,0,
90200,07:25:28,07:25:28,32749,40,,0,0,
90200,07:25:44,07:25:44,32750,41,,0,0,
90200,07:26:46,07:26:46,32638,42,,0,0,
90200,07:27:11,07:27:11,32639,43,,0,0,
90200,07:27:55,07:27:55,32640,44,,0,0,
90200,07:28:59,07:28:59,32633,45,,0,0,
90200,07:29:52,07:29:52,32641,46,,0,0,
90200,07:30:36,07:30:36,32642,47,,0,0,
90200,07:31:10,07:31:10,32643,48,,0,0,
90200,07:32:44,07:32:44,32644,49,,0,0,
90200,07:33:30,07:33:30,32645,50,,0,0,
90200,07:34:30,07:34:30,32646,51,,0,0,
90200,07:36:07,07:36:07,32647,52,,0,0,
90200,07:36:48,07:36:48,32648,53,,0,0,
90200,07:37:41,07:37:41,32649,54,,0,0,
90200,07:38:39,07:38:39,32650,55,,0,0,
90200,07:39:09,07:39:09,32651,56,,0,0,
90200,07:40:02,07:40:02,32652,57,,0,0,
90200,07:40:37,07:40:37,32653,58,,0,0,
90200,07:41:20,07:41:20,32654,59,,0,0,
90200,07:41:38,07:41:38,32655,60,,0,0,
90200,07:42:35,07:42:35,32656,61,,0,0,
90200,07:43:15,07:43:15,32657,62,,0,0,
90200,07:43:43,07:43:43,32658,63,,0,0,
90200,07:44:03,07:44:03,32659,64,,0,0,
90200,07:44:36,07:44:36,32660,65,,0,0,
90200,07:45:47,07:45:47,32661,66,,0,0,
90200,07:45:59,07:45:59,32662,67,,0,0,
90200,07:46:35,07:46:35,32663,68,,0,0,
90200,07:46:51,07:46:51,32664,69,,0,0,
90200,07:47:14,07:47:14,32665,70,,0,0,
90200,07:47:56,07:47:56,32666,71,,0,0,
90200,07:48:43,07:48:43,32667,72,,0,0,
90200,07:49:25,07:49:25,32668,73,,0,0,
90200,07:49:42,07:49:42,32669,74,,0,0,
90200,07:50:03,07:50:03,32670,75,,0,0,
90200,07:50:16,07:50:16,32671,76,,0,0,
90200,07:50:40,07:50:40,32672,77,,0,0,
90200,07:50:58,07:50:58,32673,78,,0,0,
90200,07:51:19,07:51:19,32674,79,,0,0,
90200,07:54:15,07:54:15,32675,80,,0,0,
90200,07:54:40,07:54:40,32676,81,,0,0,
90200,07:54:58,07:54:58,32677,82,,0,0,
90200,07:55:24,07:55:24,32678,83,,0,0,
90200,07:56:35,07:56:35,32502,84,,0,0,
90200,07:57:33,07:57:33,32679,85,,0,0,
90200,07:57:52,07:57:52,32680,86,,0,0,
90200,07:59:48,07:59:48,32681,87,,0,0,
90200,08:00:29,08:00:29,32682,88,,0,0,
90200,08:00:56,08:00:56,32683,89,,0,0,
90200,08:01:25,08:01:25,32684,90,,0,0,
90200,08:01:39,08:01:39,32685,91,,0,0,
90200,08:01:58,08:01:58,32686,92,,0,0,
90200,08:02:32,08:02:32,32751,93,,0,0,
90200,08:02:49,08:02:49,32752,94,,0,0,
90200,08:03:09,08:03:09,32753,95,,0,0,
90200,08:03:48,08:03:48,32737,96,,0,0,
90200,08:04:05,08:04:05,32693,97,,0,0,
90201,08:30:00,08:30:00,32599,0,,0,0,
90201,08:30:45,08:30:45,32722,1,,0,0,
90201,08:31:10,08:31:10,32723,2,,0,0,
90201,08:32:28,08:32:28,32600,3,,0,0,
90201,08:33:51,08:33:51,32601,4,,0,0,
90201,08:35:09,08:35:09,32724,5,,0,0,
90201,08:35:25,08:35:25,32602,6,,0,0,
90201,08:36:24,08:36:24,32603,7,,0,0,
90201,08:36:41,08:36:41,32604,8,,0,0,
90201,08:37:09,08:37:09,32605,9,,0,0,
90201,08:37:31,08:37:31,32606,10,,0,0,
90201,08:38:01,08:38:01,32607,11,,0,0,
90201,08:38:20,08:38:20,32608,12,,0,0,
90201,08:38:36,08:38:36,32609,13,,0,0,
90201,08:38:57,08:38:57,32610,14,,0,0,
90201,08:40:09,08:40:09,32611,15,,0,0,
90201,08:40:50,08:40:50,32612,16,,0,0,
90201,08:41:26,08:41:26,32725,17,,0,0,
90201,08:42:00,08:42:00,32727,18,,0,0,
90201,08:43:10,08:43:10,32728,19,,0,0,
90201,08:44:01,08:44:01,32729,20,,0,0,
90201,08:44:41,08:44:41,32730,21,,0,0,
90201,08:44:50,08:44:50,32731,22,,0,0,
90201,08:45:17,08:45:17,32726,23,,0,0,
90201,08:46:05,08:46:05,32732,24,,0,0,
90201,08:46:39,08:46:39,32733,25,,0,0,
90201,08:47:09,08:47:09,32734,26,,0,0,
90201,08:47:26,08:47:26,32735,27,,0,0,
90201,08:49:46,08:49:46,32736,28,,0,0,
90201,08:49:57,08:49:57,32738,29,,0,0,
90201,08:50:48,08:50:48,32739,30,,0,0,
90201,08:51:28,08:51:28,32740,31,,0,0,
90201,08:52:03,08:52:03,32741,32,,0,0,
90201,08:52:30,08:52:30,32742,33,,0,0,
90201,08:53:04,08:53:04,32743,34,,0,0,
90201,08:53:20,08:53:20,32744,35,,0,0,
90201,08:53:29,08:53:29,32745,36,,0,0,
90201,08:53:52,08:53:52,32746,37,,0,0,
90201,08:54:13,08:54:13,32747,38,,0,0,
90201,08:54:51,08:54:51,32748,39,,0,0,
90201,08:55:28,08:55:28,32749,40,,0,0,
90201,08:55:44,08:55:44,32750,41,,0,0,
90201,08:56:46,08:56:46,32638,42,,0,0,
90201,08:57:11,08:57:11,32639,43,,0,0,
90201,08:57:55,08:57:55,32640,44,,0,0,
90201,08:58:59,08:58:59,32633,45,,0,0,
90201,08:59:52,08:59:52,32641,46,,0,0,
90201,09:00:36,09:00:36,32642,47,,0,0,
90201,09:01:10,09:01:10,32643,48,,0,0,
90201,09:02:44,09:02:44,32644,49,,0,0,
90201,09:03:30,09:03:30,32645,50,,0,0,
90201,09:04:30,09:04:30,32646,51,,0,0,
90201,09:06:07,09:06:07,32647,52,,0,0,
90201,09:06:48,09:06:48,32648,53,,0,0,
90201,09:07:41,09:07:41,32649,54,,0,0,
90201,09:08:39,09:08:39,32650,55,,0,0,
90201,09:09:09,09:09:09,32651,56,,0,0,
90201,09:10:02,09:10:02,32652,57,,0,0,
90201,09:10:37,09:10:37,32653,58,,0,0,
