stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
95120,,Pedro De Valdivia / Hochsteller - Sur,,-38.72860142,-72.61040012,,,0,,,0
95121,,Manuel Rodriguez / Pasaje Huelen,,-38.73450816,-72.60199361,,,0,,,0
95122,,Inglaterra / Mall Portal Temuco,,-38.73209019,-72.61011867,,,0,,,0
95123,,Alemania / Iquique,,-38.73153195,-72.62087054,,,0,,,0
95124,,Alemania / Volcan Tupungato,,-38.73158819,-72.62017563,,,0,,,0
95125,,Alemania / Las Delicias,,-38.73237312,-72.61840664,,,0,,,0
95126,,Alemania / Recreo,,-38.73279448,-72.61721052,,,0,,,0
95127,,Alemania / Torremolinos,,-38.7333325,-72.61567633,,,0,,,0
95128,,Alemania / Espana,,-38.73437897,-72.61280717,,,0,,,0
95129,,Alemania / Dinamarca,,-38.73609534,-72.60593129,,,0,,,0
95324,,Manuel Recabarren / Portal Del Maipo - Sur,,-38.75740006,-72.65874647,,,0,,,0
95323,,Manuel Recabarren / Portal Del Maipo - Norte,,-38.75707437,-72.65906877,,,0,,,0
95326,,S - 40 - Sur / río Cautín,,-38.75778578,-72.6648968,,,0,,,0
95325,,S - 40 / Los Urbanistas - Sur,,-38.75731808,-72.66210262,,,0,,,0
95328,,"S-40/ km 1,5",,-38.76019383,-72.67492503,,,0,,,0
95327,,"S-40/ km 1,5",,-38.76050965,-72.67486181,,,0,,,0
95329,,S-40 / S-262,,-38.76098642,-72.7030916,,,0,,,0
95320,,Manuel Recabarren / Marte - Sur,,-38.75604825,-72.63822778,,,0,,,0
95322,,Manuel Recabarren / Martin Lutero - Sur,,-38.75720122,-72.64746227,,,0,,,0
95321,,Manuel Recabarren / Tomas Alba Edison - Sur,,-38.75683065,-72.64172158,,,0,,,0
95130,,Alemania / Dr Carrillo - Sur,,-38.73621062,-72.60522272,,,0,,,0
95131,,Alemania / Phillippi - Sur,,-38.7363558,-72.6044909,,,0,,,0
95134,,Alemania / 18 De Septiembre,,-38.73580421,-72.60675526,,,0,,,0
95135,,Alemania / Francia,,-38.73524197,-72.60978255,,,0,,,0
95132,,Alemania / Phillippi - Norte,,-38.73631015,-72.60412619,,,0,,,0
95133,,Alemania / Dr Carrillo - Norte,,-38.73611226,-72.60506645,,,0,,,0
95138,,Alemania / Casino Dreams Araucania,,-38.73286434,-72.61646185,,,0,,,0
95139,,Alemania / Reusch,,-38.73239332,-72.61784779,,,0,,,0
95136,,Alemania / Mall Portal Temuco,,-38.73450077,-72.61185198,,,0,,,0
95137,,Alemania / Hochstetter,,-38.73400869,-72.61333218,,,0,,,0
95337,,Las Tranquera / Italia - Sur,,-38.75114263,-72.6275615,,,0,,,0
95336,,Las Tranquera / Los Corrales - Sur,,-38.75120146,-72.62977057,,,0,,,0
95335,,Las Tranquera / Las Vaquerias - Sur,,-38.75129679,-72.6314587,,,0,,,0
95334,,S-40 - Sur / los Labradores,,-38.76101303,-72.72045978,,,0,,,0
95339,,Las Encinas / Simon Bolicar - Oriente,,-38.7476063,-72.6286958,,,0,,,0
95338,,Las Tranquera / Mantua - Sur,,-38.75105941,-72.62533254,,,0,,,0
95333,,"S-40/ km 7,2",,-38.76469197,-72.73924525,,,0,,,0
95332,,"S-40/ km 5,7",,-38.76064604,-72.72323436,,,0,,,0
95331,,"S-40/ km 5,7",,-38.76097007,-72.72296863,,,0,,,0
95330,,S-40/ S-262,,-38.76065266,-72.70319134,,,0,,,0
95143,,San Martin / Sta Teresa,,-38.73904408,-72.61344571,,,0,,,0
95144,,San Martin / Senador Estebanez,,-38.73876806,-72.61518482,,,0,,,0
95145,,San Martin / Recreo,,-38.73720047,-72.61864247,,,0,,,0
95146,,San Martin / Porvenir,,-38.73687381,-72.61983335,,,0,,,0
95140,,San Martin / Phillippi,,-38.74025051,-72.60573317,,,0,,,0
95141,,San Martin / Dieciocho De Septiembre,,-38.73984443,-72.60827723,,,0,,,0
95142,,San Martin / San Guillermo,,-38.73965317,-72.6095523,,,0,,,0
95147,,San Martin / Coquimbo,,-38.73644666,-72.62163493,,,0,,,0
95148,,San Martin / Andes,,-38.7360504,-72.62312934,,,0,,,0
95149,,Andes / San Martin - Poniente,,-38.73561079,-72.62327479,,,0,,,0
