agency_id,agency_name,agency_phone,agency_url,agency_timezone,agency_lang
1,Administradora Francke Ltda.,560996398652,http://www.transporteinforma.cl,America/Santiago,es
2,Buses Cruz Del Sur,560652436410,http://www.busescruzdelsur.cl,America/Santiago,es
3,Expresos Austral,560998883369,http://www.transporteinforma.cl,America/Santiago,es
4,Buses Isla Chiloe,560652635604,http://www.transporteinforma.cl,America/Santiago,es
5,Buses J.B.,560652290850,http://www.transporteinforma.cl,America/Santiago,es
6,Buses Ojeda,56098874129,http://www.transporteinforma.cl,America/Santiago,es
7,Bus Norte Chile,560642233319,http://www.busnortechile.cl,America/Santiago,es
8,Transportes Chinquihue Ltda.,560652288244,http://www.transporteinforma.cl,America/Santiago,es
9,Cumbres Nevadas,560652721390,http://www.transporteinforma.cl,America/Santiago,es
10,Expreso Lago Puyehue,560642243919,http://www.transporteinforma.cl,America/Santiago,es
11,Fortuoso Subiabre,560988637143,http://www.transporteinforma.cl,America/Santiago,es
12,Frankol Ltda.,560642216330,http://www.transporteinforma.cl,America/Santiago,es
13,Full Express,560652283000,http://www.transporteinforma.cl,America/Santiago,es
14,Guido Molina,560991470836,http://www.transporteinforma.cl,America/Santiago,es
15,Héctor Mascareña,560985311429,http://www.transporteinforma.cl,America/Santiago,es
16,Buses De Ancud,560652620962,http://www.transporteinforma.cl,America/Santiago,es
17,Inversiones Oceánicas S.A.,560991832554,http://www.transporteinforma.cl,America/Santiago,es
18,Jorge Sandoval Loncon,560995092317,http://www.transporteinforma.cl,America/Santiago,es
19,Juan Contreras,560992477157,http://www.transporteinforma.cl,America/Santiago,es
20,Juan Guenchur,560996438680,http://www.transporteinforma.cl,America/Santiago,es
21,Juan Ruiz,560961662477,http://www.transporteinforma.cl,America/Santiago,es
22,Brembus,560983600006,http://www.transporteinforma.cl,America/Santiago,es
23,Julio Huinao,560988521946,http://www.transporteinforma.cl,America/Santiago,es
24,Kemelbus,560652256450,http://www.kemelbus.cl,America/Santiago,es
25,Leonel Molina,560996433472,http://www.transporteinforma.cl,America/Santiago,es
26,Semaju Bus,560652283000,http://www.transporteinforma.cl,America/Santiago,es
27,Via Lago Sur,560652283000,http://www.transporteinforma.cl,America/Santiago,es
28,Buses Fierro,560642230295,http://www.busesfierro.cl,America/Santiago,es
29,Manuel Guichaman,560996209658,http://www.transporteinforma.cl,America/Santiago,es
30,Naviera Austral,560652270430,http://www.navieraustral.cl,America/Santiago,es
