service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20120101,20151231
2,0,0,0,0,0,1,0,20120101,20151231
3,0,0,0,0,0,0,1,20120101,20151231
4,1,1,1,1,1,0,0,20120101,20151231
5,0,0,0,0,0,1,0,20120101,20151231
6,0,0,0,0,0,0,1,20120101,20151231
7,1,1,1,1,1,0,0,20120101,20151231
8,0,0,0,0,0,1,0,20120101,20151231
9,0,0,0,0,0,0,1,20120101,20151231
10,1,1,1,1,1,0,0,20120101,20151231
11,0,0,0,0,0,1,0,20120101,20151231
12,0,0,0,0,0,0,1,20120101,20151231
13,1,1,1,1,1,1,1,20120101,20151231
14,1,1,1,1,1,1,1,20120101,20151231
15,1,1,1,1,1,1,1,20120101,20151231
16,1,1,1,1,1,1,1,20120101,20151231
17,1,1,1,1,1,1,1,20120101,20151231
18,1,1,1,1,1,1,1,20120101,20151231
19,1,1,1,1,1,1,1,20120101,20151231
20,1,1,1,1,1,1,1,20120101,20151231
21,1,1,1,1,1,1,1,20120101,20151231
22,1,1,1,1,1,1,1,20120101,20151231
23,1,1,1,1,1,1,1,20120101,20151231
24,1,1,1,1,1,1,1,20120101,20151231
25,1,1,1,1,1,1,1,20120101,20151231
26,1,1,1,1,1,1,1,20120101,20151231
27,1,1,1,1,1,1,1,20120101,20151231
28,1,1,1,1,1,1,1,20120101,20151231
29,1,1,1,1,1,1,1,20120101,20151231
30,1,1,1,1,1,1,1,20120101,20151231
31,1,1,1,1,1,1,1,20120101,20151231
32,1,1,1,1,1,1,1,20120101,20151231
33,1,1,1,1,1,1,1,20120101,20151231
34,1,1,1,1,1,1,1,20120101,20151231
35,1,1,1,1,1,1,1,20120101,20151231
36,1,1,1,1,1,1,1,20120101,20151231
37,1,1,1,1,1,1,1,20120101,20151231
38,1,1,1,1,1,1,1,20120101,20151231
39,1,1,1,1,1,1,1,20120101,20151231
40,1,1,1,1,1,1,1,20120101,20151231
41,1,1,1,1,1,1,1,20120101,20151231
42,1,1,1,1,1,1,1,20120101,20151231
43,1,1,1,1,1,1,1,20120101,20151231
44,1,1,1,1,1,1,1,20120101,20151231
45,1,1,1,1,1,1,1,20120101,20151231
46,1,1,1,1,1,1,1,20120101,20151231
47,1,1,1,1,1,1,1,20120101,20151231
48,1,1,1,1,1,1,1,20120101,20151231
49,1,1,1,1,1,1,1,20120101,20151231
50,1,1,1,1,1,1,1,20120101,20151231
51,1,1,1,1,1,1,1,20120101,20151231
52,1,1,1,1,1,1,1,20120101,20151231
53,1,1,1,1,1,1,1,20120101,20151231
54,1,1,1,1,1,1,1,20120101,20151231
55,1,1,1,1,1,1,1,20120101,20151231
56,1,1,1,1,1,1,1,20120101,20151231
57,1,1,1,1,1,1,1,20120101,20151231
58,1,1,1,1,1,1,1,20120101,20151231
59,1,1,1,1,1,1,1,20120101,20151231
60,1,1,1,1,1,1,1,20120101,20151231
61,1,1,1,1,1,1,1,20120101,20151231
62,1,1,1,1,1,1,1,20120101,20151231
63,1,1,1,1,1,1,1,20120101,20151231
64,1,1,1,1,1,1,1,20120101,20151231
65,1,1,1,1,1,1,1,20120101,20151231
66,1,1,1,1,1,1,1,20120101,20151231
67,1,1,1,1,1,1,1,20120101,20151231
68,1,1,1,1,1,1,1,20120101,20151231
69,1,1,1,1,1,1,1,20120101,20151231
70,1,1,1,1,1,1,1,20120101,20151231
71,1,1,1,1,1,1,1,20120101,20151231
72,1,1,1,1,1,1,1,20120101,20151231
73,1,1,1,1,1,1,1,20120101,20151231
74,1,1,1,1,1,1,1,20120101,20151231
75,1,1,1,1,1,1,1,20120101,20151231
76,1,1,1,1,1,1,1,20120101,20151231
77,1,1,1,1,1,1,1,20120101,20151231
78,1,1,1,1,1,1,1,20120101,20151231
79,1,1,1,1,1,1,1,20120101,20151231
80,1,1,1,1,1,1,1,20120101,20151231
81,1,1,1,1,1,1,1,20120101,20151231
82,1,1,1,1,1,1,1,20120101,20151231
83,1,1,1,1,1,1,1,20120101,20151231
84,1,1,1,1,1,1,1,20120101,20151231
85,1,1,1,1,1,1,1,20120101,20151231
86,1,1,1,1,1,1,1,20120101,20151231
87,1,1,1,1,1,1,1,20120101,20151231
88,1,1,1,1,1,1,1,20120101,20151231
89,1,1,1,1,1,1,1,20120101,20151231
90,1,1,1,1,1,1,1,20120101,20151231
91,1,1,1,1,1,1,1,20120101,20151231
92,1,1,1,1,1,1,1,20120101,20151231
93,1,1,1,1,1,1,1,20120101,20151231
94,1,1,1,1,1,1,1,20120101,20151231
95,1,1,1,1,1,1,1,20120101,20151231
96,1,1,1,1,1,1,1,20120101,20151231
97,1,1,1,1,1,1,1,20120101,20151231
98,1,1,1,1,1,1,1,20120101,20151231
99,1,1,1,1,1,1,1,20120101,20151231
100,1,1,1,1,1,1,1,20120101,20151231
101,1,1,1,1,1,1,1,20120101,20151231
102,1,1,1,1,1,1,1,20120101,20151231
103,1,1,1,1,1,1,1,20120101,20151231
104,1,1,1,1,1,1,1,20120101,20151231
105,1,1,1,1,1,1,1,20120101,20151231
106,1,1,1,1,1,1,1,20120101,20151231
107,1,1,1,1,1,1,1,20120101,20151231
108,1,1,1,1,1,1,1,20120101,20151231
109,1,1,1,1,1,1,1,20120101,20151231
110,1,1,1,1,1,1,1,20120101,20151231
111,1,1,1,1,1,1,1,20120101,20151231
112,1,1,1,1,1,1,1,20120101,20151231
113,1,1,1,1,1,1,1,20120101,20151231
114,1,1,1,1,1,1,1,20120101,20151231
115,1,1,1,1,1,1,1,20120101,20151231
116,1,1,1,1,1,1,1,20120101,20151231
117,1,1,1,1,1,1,1,20120101,20151231
118,1,1,1,1,1,1,1,20120101,20151231
119,1,1,1,1,1,1,1,20120101,20151231
