agency_id,fare_id,price,currency_type,payment_method,transfers,transfer_duration
1,1,300,CLP,0,0,
2,7,2400,CLP,1,0,
2,8,5800,CLP,1,0,
2,11,7300,CLP,0,0,
2,13,1400,CLP,1,0,
2,16,4000,CLP,1,0,
2,17,8000,CLP,1,0,
2,18,5500,CLP,1,0,
2,20,8300,CLP,0,0,
2,21,3900,CLP,0,0,
2,26,6000,CLP,1,0,
2,29,6500,CLP,0,0,
2,32,3500,CLP,0,0,
2,33,700,CLP,1,0,
2,37,3300,CLP,1,0,
2,42,2000,CLP,1,0,
2,51,6200,CLP,1,0,
2,53,1500,CLP,1,0,
2,55,2500,CLP,1,0,
2,56,2200,CLP,1,0,
2,57,3700,CLP,1,0,
2,63,1600,CLP,1,0,
2,78,7000,CLP,0,0,
2,79,5500,CLP,0,0,
2,82,4000,CLP,0,0,
2,83,450,CLP,0,0,
3,84,1300,CLP,1,0,
4,85,700,CLP,0,0,
4,94,1500,CLP,0,0,
4,95,500,CLP,0,0,
4,97,800,CLP,0,0,
4,100,1000,CLP,0,0,
5,103,1300,CLP,0,0,
6,111,1500,CLP,0,0,
7,116,2000,CLP,1,0,
8,117,450,CLP,0,0,
9,118,1000,CLP,0,0,
9,119,2000,CLP,0,0,
10,123,6000,CLP,0,0,
10,125,800,CLP,0,0,
10,127,1500,CLP,0,0,
10,131,2200,CLP,0,0,
10,132,1400,CLP,0,0,
11,133,1000,CLP,0,0,
12,134,350,CLP,0,0,
13,135,500,CLP,0,0,
13,136,900,CLP,0,0,
14,139,650,CLP,0,0,
15,140,1000,CLP,0,0,
16,141,300,CLP,0,0,
17,142,1000,CLP,0,0,
17,143,900,CLP,0,0,
18,144,350,CLP,0,0,
19,145,700,CLP,0,0,
20,146,700,CLP,0,0,
21,147,1000,CLP,0,0,
22,148,300,CLP,0,0,
23,149,800,CLP,0,0,
24,154,3200,CLP,1,0,
24,158,1200,CLP,1,0,
24,163,1000,CLP,1,0,
24,169,5500,CLP,1,0,
24,171,3500,CLP,1,0,
24,172,4000,CLP,1,0,
24,174,0.1,CLP,1,0,
24,175,16000,CLP,0,0,
25,177,650,CLP,0,0,
26,178,2000,CLP,1,0,
27,179,2000,CLP,1,0,
28,180,1300,CLP,1,0,
29,181,800,CLP,0,0,
30,182,16000,CLP,1,0,
30,183,16000,CLP,0,0,
31,184,600,CLP,1,0,
32,185,600,CLP,1,0,
33,186,600,CLP,1,0,
33,187,2000,CLP,1,0,
33,188,3000,CLP,1,0,
34,189,500,CLP,0,0,
34,190,900,CLP,0,0,
35,197,6000,CLP,1,0,
35,199,7000,CLP,0,0,
35,201,3700,CLP,1,0,
35,202,1200,CLP,1,0,
35,208,3000,CLP,0,0,
35,210,2200,CLP,1,0,
35,212,1600,CLP,1,0,
35,215,4500,CLP,0,0,
35,220,1500,CLP,1,0,
35,227,3000,CLP,1,0,
35,232,4200,CLP,0,0,
35,233,5000,CLP,0,0,
35,238,700,CLP,0,0,
35,242,4000,CLP,0,0,
35,252,3500,CLP,0,0,
35,255,1000,CLP,0,0,
36,257,1000,CLP,0,0,
37,258,400,CLP,0,0,
38,259,400,CLP,0,0,
39,263,400,CLP,0,0,
40,266,400,CLP,0,0,
41,268,300,CLP,0,0,
42,270,400,CLP,0,0,
43,271,400,CLP,0,0,
44,274,500,CLP,0,0,
45,276,500,CLP,0,0,
45,277,900,CLP,0,0,
46,284,900,CLP,0,0,
46,287,1000,CLP,0,0,
46,289,2100,CLP,0,0,
46,308,500,CLP,0,0,
47,310,400,CLP,0,0,
47,313,500,CLP,0,0,
48,317,400,CLP,0,0,
49,319,400,CLP,0,0,
50,321,600,CLP,1,0,
51,322,400,CLP,0,0,
52,327,400,CLP,0,0,
53,329,0.01,CLP,0,0,
54,330,350,CLP,0,0,
58,332,1200,CLP,0,0,
56,333,1200,CLP,0,,
59,334,1200,CLP,0,,
60,335,1200,CLP,0,,
62,336,1200,CLP,0,,
63,337,1300,CLP,0,,
64,338,1200,CLP,0,0,
65,339,1200,CLP,0,0,
66,340,1200,CLP,0,,
67,341,1200,CLP,0,,
68,342,1200,CLP,0,0,
69,343,1200,CLP,0,0,
70,347,400,CLP,0,,
71,351,600,CLP,0,,
33,352,500,CLP,0,,
72,353,1600,CLP,0,,
73,354,1600,CLP,0,,
74,355,1600,CLP,0,,
75,356,1600,CLP,0,,
76,357,1600,CLP,0,,
77,358,1600,CLP,0,,
78,359,1700,CLP,0,0,
46,360,1600,CLP,0,0,
33,361,0,CLP,0,,
17,362,300,CLP,0,,
70,363,250,CLP,0,,
46,364,2000,CLP,0,0,
79,365,1500,CLP,0,,
80,366,1500,CLP,0,,
81,367,1500,CLP,0,,
82,368,1500,CLP,0,,
83,369,1500,CLP,0,,
13,372,1000,CLP,0,0,
78,373,900,CLP,0,0,
78,374,1000,CLP,0,0,
78,376,500,CLP,0,0,
78,377,600,CLP,0,0,
13,378,600,CLP,0,0,
88,380,400,CLP,0,,
