fare_id,route_id,origin_id,destination_id,contains_id
1,1,,,
1,2,,,
7,,1,5,
7,,5,1,
8,,1,6,
8,,6,1,
11,,1,9,
11,,9,1,
13,,1,2,
13,,2,1,
13,,2,2,
16,,2,5,
16,,5,2,
16,,5,6,
16,,6,5,
17,,2,6,
17,,6,2,
18,,2,7,
18,,2,8,
18,,7,2,
18,,8,2,
20,,2,9,
20,,9,2,
21,,1,3,
21,,3,1,
26,,3,6,
26,,6,3,
29,,3,9,
29,,9,3,
32,,3,4,
32,,4,3,
33,,1,1,
33,,1,4,
33,,4,1,
33,,4,4,
37,,3,7,
37,,3,8,
37,,4,7,
37,,4,8,
37,,7,3,
37,,7,4,
37,,8,3,
37,,8,4,
42,,2,4,
42,,4,2,
42,,4,5,
42,,5,4,
42,,5,7,
42,,7,5,
51,,4,6,
51,,6,4,
53,,3,3,
53,,3,5,
53,,5,3,
53,,5,5,
53,,5,8,
53,,6,6,
53,,8,5,
55,,6,7,
55,,6,8,
55,,7,6,
55,,8,6,
56,,6,9,
56,,9,6,
57,,1,7,
57,,1,8,
57,,7,1,
57,,8,1,
63,,7,7,
63,,7,8,
63,,8,7,
63,,8,8,
78,,4,9,
78,,9,4,
79,,2,3,
79,,3,2,
79,,5,9,
79,,9,5,
82,,7,9,
82,,8,9,
82,,9,7,
82,,9,8,
83,,9,9,
84,7,,,
85,,10,11,
85,,11,10,
85,,13,14,
85,,14,13,
94,,10,14,
94,,12,14,
94,,14,10,
94,,14,12,
95,,10,13,
95,,11,12,
95,,11,13,
95,,12,11,
95,,13,10,
95,,13,11,
97,,12,13,
97,,13,12,
100,,11,14,
100,,14,11,
103,9,,,
111,,17,18,
111,,18,17,
116,11,,,
117,12,,,
118,13,,,
119,14,,,
119,15,,,
123,,20,23,
123,,23,20,
125,,20,21,
125,,21,20,
125,,21,22,
125,,22,21,
127,,20,22,
127,,22,20,
131,,21,23,
131,,23,21,
132,,22,23,
132,,23,22,
133,19,,,
134,20,,,
135,,67,67,
135,,68,68,
135,,69,69,
136,,67,68,
136,,68,67,
139,22,,,
140,23,,,
141,24,,,
142,25,,,
143,26,,,
144,27,,,
145,28,,,
146,29,,,
147,30,,,
148,31,,,
149,32,,,
154,,31,37,
154,,37,31,
158,,31,33,
158,,31,34,
158,,32,34,
158,,33,31,
158,,34,31,
158,,34,32,
163,,31,32,
163,,32,31,
163,,32,33,
163,,33,32,
163,,33,34,
163,,34,33,
169,,34,37,
169,,37,34,
171,,32,37,
171,,37,32,
172,,33,37,
172,,37,33,
174,,31,31,
174,,32,32,
174,,33,33,
174,,34,34,
174,,37,37,
175,,37,39,
175,,39,37,
177,35,,,
178,36,,,
179,37,,,
180,38,,,
181,39,,,
182,40,,,
183,41,,,
184,42,,,
185,43,,,
186,44,,,
186,130,,,
187,45,,,
188,46,,,
189,,41,41,
189,,42,42,
190,,41,42,
190,,42,41,
197,,43,47,
197,,47,43,
199,,43,49,
199,,49,43,
201,,43,44,
201,,44,43,
202,,44,44,
202,,44,47,
202,,47,44,
202,,47,47,
208,,44,48,
208,,44,50,
208,,48,44,
208,,50,44,
210,,44,45,
210,,45,44,
212,,45,46,
212,,46,45,
215,,45,49,
215,,46,49,
215,,49,45,
215,,49,46,
220,,43,43,
220,,43,45,
220,,43,46,
220,,44,46,
220,,45,43,
220,,45,45,
220,,46,43,
220,,46,44,
220,,46,46,
227,,45,47,
227,,46,47,
227,,47,45,
227,,47,46,
232,,47,48,
232,,47,49,
232,,47,50,
232,,48,47,
232,,49,47,
232,,50,47,
233,,43,48,
233,,43,50,
233,,48,43,
233,,50,43,
238,,48,48,
238,,48,50,
238,,50,48,
238,,50,50,
242,,44,49,
242,,49,44,
252,,45,48,
252,,45,50,
252,,46,48,
252,,46,50,
252,,48,45,
252,,48,46,
252,,50,45,
252,,50,46,
255,,48,49,
255,,49,48,
255,,49,49,
255,,49,50,
255,,50,49,
257,50,,,
258,51,,,
259,52,,,
259,53,,,
259,54,,,
259,55,,,
263,56,,,
263,57,,,
263,58,,,
266,59,,,
266,60,,,
268,62,,,
270,63,,,
271,64,,,
271,65,,,
271,66,,,
274,67,,,
274,68,,,
276,,70,70,
276,,71,71,
277,,70,71,
277,,71,70,
284,,53,55,
284,,55,53,
287,,53,56,
287,,56,53,
289,,55,60,
289,,55,61,
289,,55,62,
289,,60,55,
289,,61,55,
289,,62,55,
308,,53,53,
308,,55,55,
308,,56,56,
308,,58,58,
308,,60,60,
308,,60,61,
308,,60,62,
308,,61,60,
308,,61,61,
308,,61,62,
308,,62,60,
308,,62,61,
308,,62,62,
308,,72,72,
310,75,,,
310,79,,,
310,81,,,
313,74,,,
313,76,,,
313,77,,,
313,78,,,
313,80,,,
317,82,,,
317,83,,,
319,84,,,
319,85,,,
321,86,,,
322,87,,,
322,88,,,
322,89,,,
322,90,,,
322,91,,,
327,92,,,
329,94,,,
330,95,,,
332,99,,,
333,97,,,
334,100,,,
335,101,,,
336,102,,,
337,103,,,
338,104,,,
339,105,,,
340,106,,,
341,107,,,
342,108,,,
343,109,,,
347,113,,,
351,115,,,
351,116,,,
351,117,,,
352,119,,,
353,121,,,
354,122,,,
355,123,,,
356,124,,,
357,125,,,
358,126,,,
359,127,,,
360,,53,58,
360,,58,53,
361,128,,,
362,129,,,
363,114,,,
363,118,,,
364,,53,72,
364,,72,53,
365,133,,,
366,134,,,
367,135,,,
368,136,,,
369,137,,,
372,,67,69,
372,,69,67,
373,,64,66,
373,,66,64,
374,,65,66,
374,,66,65,
376,,64,64,
376,,65,65,
376,,66,66,
377,,64,65,
377,,65,64,
378,,68,69,
378,,69,68,
380,145,,,
