trip_id,start_time,end_time,headway_secs
1,06:50:00,20:13:00,300
2,07:30:00,20:18:00,600
3,08:30:00,20:18:00,600
4,07:16:00,20:39:00,300
5,07:56:00,20:44:00,600
6,08:56:00,20:44:00,600
7,06:50:00,20:11:00,300
8,07:30:00,20:16:00,600
9,08:30:00,20:16:00,600
10,07:17:00,20:38:00,300
11,07:57:00,20:43:00,600
12,08:57:00,20:43:00,600
167,06:50:00,20:35:00,300
168,06:55:00,20:36:00,360
169,07:30:00,20:38:00,480
170,06:40:00,20:35:00,300
171,07:08:00,20:36:00,360
172,07:30:00,20:38:00,480
246,06:50:00,21:41:00,180
247,07:18:00,22:09:00,180
248,07:00:00,22:35:00,300
249,06:15:00,21:30:00,300
254,07:05:00,21:05:00,300
255,08:00:00,21:05:00,300
256,09:00:00,21:09:00,540
257,08:18:00,22:17:00,300
258,09:13:00,22:17:00,300
259,10:13:00,22:21:00,540
267,06:54:00,19:37:00,420
268,07:05:00,19:37:00,420
269,09:00:00,19:10:00,600
270,07:35:00,20:42:00,420
271,07:46:00,20:18:00,420
272,09:41:00,20:51:00,600
290,07:36:00,20:55:00,240
291,08:01:00,20:59:00,480
292,09:01:00,20:53:00,720
293,06:55:00,20:14:00,240
294,07:20:00,20:18:00,480
295,08:20:00,20:12:00,720
386,06:35:00,23:05:00,5400
387,07:00:00,23:30:00,5400
388,07:20:00,23:50:00,5400
389,09:00:00,25:30:00,5400
390,06:35:00,23:05:00,5400
391,07:20:00,23:50:00,5400
392,07:45:00,24:15:00,5400
393,08:15:00,23:45:00,5400
441,07:00:00,22:06:00,360
442,07:00:00,22:21:00,360
483,07:48:00,20:23:00,180
484,08:50:00,20:27:00,420
485,06:58:00,19:33:00,180
486,08:00:00,19:37:00,420
487,06:35:00,20:33:00,180
488,08:00:00,20:37:00,420
489,07:25:00,21:23:00,180
490,08:50:00,21:27:00,420
491,07:20:00,21:23:00,180
492,08:50:00,21:27:00,420
493,06:30:00,20:33:00,180
494,08:00:00,20:37:00,420
495,06:50:00,19:33:00,180
496,08:00:00,19:37:00,420
497,07:30:00,20:13:00,180
498,08:40:00,20:17:00,420
499,07:14:00,20:46:00,360
500,07:40:00,20:43:00,480
501,09:20:00,20:22:00,420
502,06:44:00,20:16:00,360
503,07:10:00,20:13:00,480
504,08:50:00,19:55:00,600
505,07:29:00,21:02:00,360
506,07:54:00,21:18:00,420
507,09:26:00,20:39:00,480
508,06:43:00,20:16:00,360
509,07:08:00,20:32:00,420
510,07:50:00,19:53:00,480
511,07:01:00,19:48:00,480
512,07:30:00,19:40:00,600
513,09:30:00,17:20:00,1200
514,07:32:00,20:19:00,480
515,08:01:00,20:11:00,600
516,10:01:00,17:51:00,1200
517,07:05:00,20:34:00,240
518,07:30:00,20:07:00,420
519,08:30:00,20:10:00,600
520,07:38:00,21:07:00,240
521,08:03:00,20:40:00,420
522,09:03:00,20:43:00,600
523,07:43:00,21:07:00,240
524,08:08:00,20:40:00,420
525,09:08:00,20:43:00,600
526,07:10:00,20:34:00,240
527,07:35:00,20:07:00,420
528,08:35:00,20:10:00,600
533,07:10:00,21:00:00,600
534,08:40:00,21:00:00,600
535,06:50:00,20:40:00,600
536,08:20:00,20:40:00,600
537,07:02:00,20:26:00,300
538,07:32:00,19:27:00,360
539,09:37:00,21:01:00,600
540,06:25:00,19:49:00,300
541,06:55:00,18:50:00,360
542,09:00:00,20:24:00,600
543,07:35:00,21:02:00,720
544,09:15:00,19:35:00,900
545,09:45:00,19:40:00,1200
546,06:50:00,20:17:00,720
547,08:30:00,18:50:00,900
548,09:00:00,18:55:00,1200
549,07:30:00,21:12:00,720
