route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,1,L26-T,Población Parque Norte - Hospital,"",3,,00FF08,""
2,1,L26v1,Población Parque Norte - Casas De Bellavista,"",3,,FF0000,""
3,2,B-Cds,Puerto Montt - Quellón,"Ruta Abarca Desde Puerto Montt, Pargua, Chacao, Ancud, Castro, Chonchi Hasta Llegar A Quellón",3,,0841FF,ffffff
4,2,B-Cds,Puerto Montt - Castro,"Ruta Abarca Desde Puerto Montt, Pargua, Chacao, Ancud Hasta Llegar A Castro",3,,FF7700,""
5,2,B-Cds,Puerto Montt - Dalcahue,"Ruta Abarca Desde Puerto Montt, Pargua, Chacao, Ancud Hasta Llegar A Dalcahue",3,,F7FF0F,""
6,2,B-Cds,Puerto Montt - Osorno,Ruta Abarca Desde Puerto Montt Hasta Llegar A Osorno,3,,08FF10,""
7,3,Exaus,Puerto Montt - Caleta La Arena,Paradas A Solicitud De Los Pasajeros,3,,09FF00,""
8,4,Is-Ch,Castro - Parque Nacional Chiloé,Ruta Que Abarca Desde Castro Hasta Cucao Entrada Al Parque Nacional Chiloé,3,,FF17E0,""
9,5,B-Jb,Puerto Montt - Caleta La Arena,Paradas A Solicitud De Los Pasajeros,3,,6AFF14,""
10,6,Ojeda,Castro - Parque Nacional Chiloé,Ruta Que Abarca Desde Castro Hasta Cucao Entrada Al Parque Nacional Chiloé,3,,247BFF,""
11,7,Bus.N,Puerto Montt - Osorno,Paradas Solo Si Los Pasajeros La Solicitan,3,,FF0000,""
12,8,4t,Chinquihue - Pelluco,Línea 4t,3,,2659FF,""
13,9,C.Nev,Palena - Futaleufú,Ruta Que Abarca Desde Futalefú Hasta Palena Ida Y Vuelta,3,,1EFF05,""
14,9,C.Nev,Chaitén - Palena,"",3,http://www.transporteinforma.cl,E70DFF,""
15,9,C.Nev,Chaitén - Futaleufú,"",3,http://www.transporteinforma.cl,08E6FF,""
16,10,Elp,Osorno - Aguas Calientes,"",3,,FFE70A,""
17,10,Elp,Osorno - Entre Lagos,"",3,,1100FF,ffffff
18,10,Elp,Osorno - Anticura,"",3,,08FF41,""
19,11,F.Sub,Isla Apiao Ostricultura - Achao,Ferry Marbella III,4,,0066FF,""
20,12,L7-T,San Maximiliano Kolbe - Francke,"",3,,0000FF,ffffff
21,13,Fulle,Puerto Montt - Llanquihue,Ruta Que Abarca Desde Puerto Montt Hasta Llanquihue,3,,FF4747,""
22,14,G.Mol,Isla Lin Lin Curaco - Achao,Ferry Gissela II,4,,03D5FF,""
23,15,H.Mas,Isla Chaulinec Capilla Antigua - Achao,Ferry Don Luis II,4,,7003FF,ffffff
24,16,L1-T,Villa Esperanza - Centro,"",3,,CE5CFF,""
25,17,I.Oce,Isla Apiao La Capilla - Achao,Ferry Esperanza II,4,,F7FF00,""
26,17,I.Oce,Isla Caguach La Capilla - Achao,Ferry Coral I,4,,08FF52,""
27,18,L1-T,Ruta San Antonio - Punta De Lapas,"",3,,00FF80,""
28,19,J.Con,Isla Meulin El Transito - Achao,Ferry Norgina II,4,,D400FF,""
29,20,J.Gue,Isla Teuquelin - Achao,Ferry Paulita II,4,,FF034E,""
30,21,J.Rui,Isla Alao Capilla - Achao,Ferry Pesmar,4,,FF0000,""
31,22,L2-T,Galvarino Riveros - Los Aromos,"",3,,0303FF,ffffff
