stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1,,César Ercilla / Alejandro Humboldt,,-40.570927,-73.109565,,,0,
2,,Dieciocho De Septiembre / Julio Buschman,,-40.576437,-73.107111,,,0,
3,,César Ercilla / Zenteno,,-40.585451,-73.121437,,,0,
4,,Los Carrera / Manuel Bulnes,,-40.571679,-73.137948,,,0,
5,,Ramón Freire / Francisco Bilbao,"",-40.575613,-73.131124,,,0,
6,,Héroes De La Concepción / Chapiquiña,,-40.562962,-73.152441,,,0,
7,,Doctor Guillermo Buhler / Los Conquistadores,,-40.584228,-73.128701,,,0,
8,,Guillermo Francke / Machalí,,-40.568662,-73.147152,,,0,
9,,Francisco Bilbao / Bernardo O´Higgins,,-40.575876,-73.135907,,,0,
10,,Francisco Bilbao / Manuel Antonio Matta,,-40.575911,-73.135051,,,0,
11,,Diego De Almagro / El Dorado,,-40.590301,-73.116884,,,0,
12,,Argomedo / Juan Schuurman,,-40.579984,-73.105256,,,0,
13,,Julio Buschman / Pedro Aguirre Cerda,,-40.576102,-73.114047,,,0,
14,,Patricio Lynch / Andrés Bello,,-40.574494,-73.120792,,,0,
15,,Los Carrera / Angúlo,,-40.572383,-73.124823,,,0,
16,,Los Carrera / Ramón Freire,,-40.572008,-73.13096,,,0,
17,,Guillermo Francke / Julio Montt,,-40.570371,-73.146113,,,0,
18,,Francisco Bilbao / Ramón Freire,,-40.576047,-73.132064,,,0,
19,,Santa María / Alcalde Arturo Bertín,,-40.569636,-73.10765,,,0,
20,,Julio Buschman / José Vidal,,-40.578451,-73.104811,,,0,
21,,César Ercilla / Margaritas,,-40.586391,-73.122981,,,0,
22,,Portales / Eleuterio Ramírez,,-40.5732,-73.140373,,,0,
23,,Francisco Bilbao / Cristóbal Colón,,-40.576194,-73.127636,,,0,
24,,Dieciocho De Septiembre / Santa María,,-40.57222,-73.10554,,,0,
25,,Argomedo / Aldea San Alberto Magno,,-40.580499,-73.105947,,,0,
26,,César Ercilla / Doctor Guillermo Buhler,,-40.58783,-73.12616,,,0,
27,,Ramón Freire / Los Carrera,"",-40.572416,-73.13149,,,0,
28,,Guillermo Francke / Julio Montt,,-40.569794,-73.146362,,,0,
29,,Héroes De La Concepción / Potrerillos,,-40.562109,-73.152413,,,0,
30,,Le Mans / Eduardo Meyer E,,-40.597027,-73.104967,,,0,
31,,Argomedo / Julio Buschman,,-40.579172,-73.104551,,,0,
32,,Patricio Lynch / Manuel Montt,,-40.575262,-73.117381,,,0,
33,,Patricio Lynch / Angúlo,,-40.574355,-73.12389,,,0,
34,,Los Carrera / Cristóbal Colón,,-40.572248,-73.126898,,,0,
35,,Terminal De Buses Línea 26,,-40.551531,-73.163393,,,0,
36,,Los Boldos / Los Piñones,,-40.552115,-73.158787,,,0,
37,,Los Boldos / Los Damascos,,-40.555413,-73.156746,,,0,
38,,Héroes De La Concepción / Paipote,,-40.564396,-73.152395,,,0,
39,,Héroes De La Concepción / Los Algarrobos,,-40.565467,-73.152043,,,0,
40,,Francisco Bilbao / Portales,,-40.575711,-73.13919,,,0,
41,,Luis Emilio Recabarren / Pedro Aguirre Cerda,,-40.574596,-73.113164,,,0,
42,,Dieciocho De Septiembre / Miguel De Unamuno,,-40.573215,-73.105902,,,0,
43,,Diego De Almagro / Guacolda,,-40.589633,-73.116399,,,0,
44,,Zenteno / Dieciocho De Septiembre,,-40.587407,-73.119021,,,0,
45,,Doctor Guillermo Buhler / Hospital Del Trabajador,,-40.586911,-73.127329,,,0,
46,,Doctor Guillermo Buhler / Santiago Rosas,,-40.584114,-73.128441,,,0,
47,,Ramón Freire / Conrado Amthauer,,-40.578938,-73.130915,,,0,
48,,Los Carrera / Lord Cochrane,,-40.57185,-73.134135,,,0,
49,,Guillermo Francke / Los Tigres,,-40.568517,-73.147023,,,0,
50,,Los Laureles / Los Cafelates,,-40.551046,-73.160754,,,0,
51,,Francia / Luisa Schöner,,-40.58933,-73.102927,,,0,
52,,Francisco Bilbao / Manuel Bulnes,,-40.575743,-73.138603,,,0,
53,,César Ercilla / Los Carrera,,-40.574188,-73.11076,,,0,
54,,Dieciocho De Septiembre / Milton Vásquez,,-40.574435,-73.106359,,,0,
55,,Zenteno / Carol Urzúa,,-40.588478,-73.118094,,,0,
56,,Arturo Prat / Barros Araña,,-40.58157,-73.128798,,,0,
57,,Doctor Guillermo Buhler / Hospital Del Trabajador,,-40.586704,-73.127961,,,0,
