id;entity;name;address;schedule;longitude;latitude;services
1;Unimarc;UNIMARC ZAPADORES;ZAPADORES 1320;Lun-Vie 08:30 a 22:00,Sab 08:30 a 22:00,Dom 08:30 a 22:00;-70.6641478015796;-33.3862617267971;Carga de tarjetas,Consulta de saldo, Activación de carga remota
2;Unimarc;UNIMARC LAS REJAS;LAS REJAS SUR 1279;Lun-Vie 08:30 a 22:00,Sab 08:30 a 22:00,Dom 08:30 a 22:00;-70.70507104166667;-33.46882000000001;Carga de tarjetas,Consulta de saldo, Activación de carga remota
3;Unimarc;UNIMARC JUAN ANTONIO RIOS;SALOMON SACK 351;Lun-Vie 08:30 a 22:00,Sab 08:30 a 22:00,Dom 08:30 a 22:00;-70.67080616666668;-33.419566666666654;Carga de tarjetas,Consulta de saldo, Activación de carga remota
4;Unimarc;UNIMARC-INDEPENDENCIA;AVDA. EL GUANACO 3100;Lun-Vie 08:30 a 22:00,Sab 08:30 a 22:00,Dom 08:30 a 22:00;-70.6578679616206;-33.3945915377861;Carga de tarjetas,Consulta de saldo, Activación de carga remota
5;Unimarc;UNIMARC LO OVALLE;GRAN AVENIDA 6555;Lun-Vie 08:30 a 22:00,Sab 08:30 a 22:00,Dom 08:30 a 22:00;-70.65963511904762;-33.516832083333334;Carga de tarjetas,Consulta de saldo, Activación de carga remota
6;Unimarc;UNIMARC VICUÑA PARAD 19;AVDA.VICUÑA MACKENNA 9090;Lun-Vie 08:30 a 22:00,Sab 08:30 a 22:00,Dom 08:30 a 22:00;-70.5914099988768;-33.5394802038029;Carga de tarjetas,Consulta de saldo, Activación de carga remota
7;Unimarc;UNIMARC ROJAS MAGALLANES;ROJAS MAGALLANES 3638;Lun-Vie 08:30 a 22:00,Sab 08:30 a 22:00,Dom 08:30 a 22:00;-70.5547798666583;-33.5359270019668;Carga de tarjetas,Consulta de saldo, Activación de carga remota
8;Unimarc;UNIMARC MIRADOR;VICUÑA MACKENNA ORIENTE 6331;Lun-Dom 09:00 a 21:00;-70.6071683333333;-33.513935000000004;Carga de tarjetas,Consulta de saldo, Activación de carga remota
9;Unimarc;UNIMARC VICENTE VALDES;VICENTE VALDES 087;Lun-Vie 08:30 a 22:00,Sab 08:30 a 22:00,Dom 08:30 a 22:00;-70.595128;-33.526600;Carga de tarjetas,Consulta de saldo, Activación de carga remota
10;Unimarc;UNIMARC LA REINA;PRINCIPE DE GALES 7271;Lun-Vie 08:30 a 22:00,Sab 08:30 a 22:00,Dom 08:30 a 22:00;-70.5566216661032;-33.439033930051;Carga de tarjetas,Consulta de saldo, Activación de carga remota
11;Unimarc;UNIMARC BATUCO;AVDA. FRANCIA 640;Lun-Vie 08:30 a 22:00,Sab 08:30 a 22:00,Dom 08:30 a 22:00;-70.80771748822639;-33.230514171094136;Carga de tarjetas,Consulta de saldo, Activación de carga remota
12;Unimarc;UNIMARC LAMPA;ARTURO PRAT 681;Lun-Vie 08:30 a 22:00,Sab 08:30 a 22:00,Dom 08:30 a 22:00;-70.87704195288244;-33.28562288539904;Carga de tarjetas,Consulta de saldo, Activación de carga remota
13;Unimarc;UNIMARC LARAPINTA;LOS HALCONES 2180;Lun-Vie 08:30 a 22:00,Sab 08:30 a 22:00,Dom 08:30 a 22:00;-70.86674258469635;-33.294249826808695;Carga de tarjetas,Consulta de saldo, Activación de carga remota
14;Unimarc;UNIMARC LAS CONDES;AVDA. LAS CONDES 14791;Lun-Vie 08:30 a 22:00,Sab 08:30 a 22:00,Dom 08:30 a 22:00;-70.4992863209999;-33.3671586729999;Carga de tarjetas,Consulta de saldo, Activación de carga remota
15;Unimarc;UNIMARC LOS MILITARES;MANQUEHUE NORTE 457;Lun-Vie 08:30 a 22:00,Sab 08:30 a 22:00,Dom 08:30 a 22:00;-70.569019;-33.403826;Carga de tarjetas,Consulta de saldo, Activación de carga remota
16;Unimarc;UNIMARC ESC. MILITAR;AVDA. APOQUINDO 4335;Lun-Vie 08:30 a 22:00,Sab 08:30 a 22:00,Dom 08:30 a 22:00;-70.5854137269988;-33.4151957807766;Carga de tarjetas,Consulta de saldo, Activación de carga remota
17;Unimarc;UNIMARC MANQUEHUE;MANQUEHUE 1700;Lun-Vie 08:30 a 22:00,Sab 08:30 a 22:00,Dom 08:30 a 22:00;-70.5638241520871;-33.4267767581412;Carga de tarjetas,Consulta de saldo, Activación de carga remota
18;Unimarc;UNIMARC LOS TRAPENSES;AVDA. JOSE ALCALDE DELANO 10497;Lun-Vie 08:30 a 22:00,Sab 08:30 a 22:00,Dom 08:30 a 22:00;-70.539645;-33.356825;Carga de tarjetas,Consulta de saldo, Activación de carga remota
19;Unimarc;UNIMARC 2da TRANSVERSAL MAIPU;SEGUNDA TRANSVERSAL 4090;Lun-Vie 08:30 a 22:00,Sab 08:30 a 22:00,Dom 08:30 a 22:00;-70.742400759;-33.488491715;Carga de tarjetas,Consulta de saldo, Activación de carga remota
20;Unimarc;UNIMARC EL ROSAL;AVENIDA EL ROSAL 6361;Lun-Vie 08:30 a 22:00,Sab 08:30 a 22:00,Dom 08:30 a 22:00;-70.755865037;-33.4790914719999;Carga de tarjetas,Consulta de saldo, Activación de carga remota
