PLAZA DE ARMAS|346563|6299017|-33.4373|-70.6506|
ZAPADORES|347244|6304165|-33.3909|-70.6424|
EL GOLF|351618|6301382|-33.4167|-70.5959|
SAN MIGUEL|346636|6293302|-33.4888|-70.6508|
TOBALABA L1|351068|6301189|-33.4183|-70.6018|
TOBALABA L4|351112|6301179|-33.4184|-70.6013|
LOS LEONES|350438|6300752|-33.4222|-70.6087|
VICUNA MACKENNA L4|351929|6290201|-33.5175|-70.5944|
VICUNA MACKENNA L4A|351883|6290142|-33.518|-70.5949|
SANTA JULIA|350919|6288671|-33.5312|-70.6055|
PRINCIPE DE GALES|353708|6299052|-33.438|-70.5738|
SAN RAMON|346685|6287624|-33.54|-70.6512|
SIMON BOLIVAR|353926|6297939|-33.448|-70.5716|
LOS PRESIDENTES|353325|6294397|-33.4799|-70.5787|
LA GRANJA|349955|6287544|-33.5412|-70.6161|
PLAZA EGANA|354017|6297380|-33.4531|-70.5707|
Avda. Americo Vespucio N� 3411|353181|6293467|-33.4882|-70.5804|
LAS TORRES|352640|6292278|-33.4989|-70.5864|
LOS ORIENTALES|353739|6296327|-33.4625|-70.5739|
ALCANTARA|352190|6301526|-33.4154|-70.5897|
MANQUEHUE|354184|6302268|-33.409|-70.5681|
ESCUELA MILITAR|352658|6301660|-33.4143|-70.5846|
HERNANDO DE MAGALLANES|355347|6302398|-33.408|-70.5556|
LOS DOMINICOS|356325|6302425|-33.4079|-70.5451|
PLAZA PUENTE ALTO|353814|6279920|-33.6105|-70.5758|
LAS MERCEDES|353627|6280998|-33.6007|-70.5776|
SOTERO DEL RIO|353162|6283611|-33.5771|-70.5822|
ELISA CORREA|353003|6284455|-33.5695|-70.5837|
PEDRERO|350235|6291225|-33.508|-70.6124|
EINSTEIN|347200|6302442|-33.4065|-70.6432|
PAJARITOS|340527|6296685|-33.4574|-70.7159|
BARRANCAS|338375|6297139|-33.453|-70.739|
GRECIA|353508|6295537|-33.4696|-70.5765|
LAGUNA SUR|338505|6296045|-33.4629|-70.7378|
ESTACION CENTRAL|343934|6297466|-33.4509|-70.6791|
UNIVERSIDAD DE SANTIAGO|343266|6297238|-33.4528|-70.6864|
SALVADOR|345054|6297836|-33.4477|-70.667|
ECUADOR|341905|6296835|-33.4563|-70.7011|
UNIVERSIDAD DE CHILE|346604|6298297|-33.4438|-70.6503|
LA MONEDA|346187|6298170|-33.4449|-70.6548|
LOS HEROES L1|345685|6298017|-33.4462|-70.6602|
LOS HEROES L2|345667|6298019|-33.4461|-70.6604|
PEDRO DE VALDIVIA|342712|6297075|-33.4542|-70.6924|
UNIVERSIDAD CATOLICA|347551|6298746|-33.4399|-70.64|
UNION LATINOAMERICANA|344461|6297635|-33.4494|-70.6735|
LAS REJAS|341462|6296705|-33.4574|-70.7059|
SANTA LUCIA|347075|6298439|-33.4426|-70.6452|
