paradas;servicios
AG;L5R-L5VR
AH;L1R
AL;L1R
AN;L2R-L2RR-L2VR-L5R-L5RR-L5VR
AV;L2R-L2RR-L2VR
BA;L1R-L5R-L5RR-L5VR
BE;L5R-L5RR-L5VR
BI;L4R-L4RR-L4VR
BL;L5R-L5RR
BR;L5R-L5RR
BU;L5R-L5RR
CA;L2R-L2RR-L2VR
CB;L2R-L2VR
CE;L2R-L2RR
CH;L1R
CN;L2R-L2RR
CO;L4R-L4VR
CV;L5R-L5RR
DE;L2R-L2VR
DO;L2R-L2RR
DS;L5R-L5VR
EA;L4R-L4RR-L4VR
EC;L1R
EG;L4R-L4RR-L4VR
EI;L2R-L2VR
EL;L1R
EM;L1R
EP;L2I-L2VI
FR;L2R-L2VR
GA;L4R-L4RR
GL;L5R-L5VR
GO;L1R
HM;L1I
HS;L4R-L4RR-L4VR
IR;L5R-L5RR-L5VR
JE;L4R-L4VR
JU;L4AR
LA;L1R
LC;L2R-L2RR-L2VR-L4AR
LD;L1R
LE;L1R
LF;L5I-L5RI-L5VI
LG;L4AR
LH;L1R-L2R-L2RR-L2VR
LL;L2R-L2RR
LM;L1R
LO;L2R-L2RI-L2VR
LP;L4R-L4RR
LQ;L4R-L4RR
LR;L1R
LS;L5R-L5RR-L5VR
LT;L4R-L4RR
LV;L2R-L2RR
MA;L5R-L5RR
MC;L4R-L4RR-L4VR
ME;L4I-L4RI
MM;L1R
MQ;L1R
MT;L5R-L5RR
NP;L1R
NU;L5R-L5RR
OR;L4R-L4RR
PA;L5R-L5VR
PA1;109I-406I-422I-426I-505I-507I-508I-513I-B26I-B28I-J01I-J02I-J05I-J16I
PA10;109R-109NR-119R-345I-511R-I18I
PA100;203R-206R-385R
PA101;203R-203eR-206R-206eR-385R
PA102;203R-206R-385R-I01I
PA103;203R-206R-385R-I01I
PA104;203R-203eR-206R-206eR-385R-I01R
PA105;203R-203eR-206R-206eR-385R
PA106;203R-206R-385R
PA107;203R-203eR-206R-206eR-214I-226R-385R
PA108;203R-206R-214I-226R-385R
PA109;203R-203eR-208R-B30NR-B31NI
PA11;109R-109NR-119R-345I-511R-I18I
PA111;203R-208R-B02NR-B30NR-B31NI
PA112;203R-208R-B02NR-B30NR-B31NI
PA113;203R-208R-B02NR-B27R-B30NR-B31NI
PA114;203eR-206R-206eR-207eR-214I-226R-230R-404I
PA115;204R-204eR
PA116;204I-205I-209I
PA117;204I
PA118;204I-204eI
PA119;204I
PA12;109R-109NR-119R-345I-511R-I18I
PA120;204I
PA121;204I-204eI
PA122;204I
PA123;204I-204eI
PA124;204I
PA125;204I
PA126;204I-D07R
PA127;204R
PA128;204R
PA129;204R
PA13;109R-109NR-345I-507R-511R-I18I
PA130;204R-204eR
PA131;204R
PA132;204R-204eR
PA133;204R
PA134;204R
PA135;204R-204eR
PA136;204R
PA137;204R-204eR-205I-209I
PA138;205R-205eR-209R-209eR
PA139;205I-205eI-207eI-209I-209eI-230I
PA14;109R-109NR-345I-507R-511R-B26R-I09R-I09eR-I18I-J13R
PA140;205I-209I-230I
PA141;205I-205eI-207eI-209I-209eI-230I
PA142;205I-205eI-207eI-209I-209eI-230I
PA143;205I-209I-230I
PA144;205I-209I-227I-230I
PA145;205I-205eI-207eI-209I-209eI-227I-230I
PA146;205R-209R-227R-230R-D07I-E04I
PA147;205R-205eR-207eR-209R-209eR-227R-230R
PA148;205R-209R-227R-230R
PA149;205R-209R-227R-230R-I01I
PA15;109R-109NR-345I-507R-511R-B26R-I09R-I09eR-I14R-I17I-I18I-J13R
PA150;205R-205eR-207eR-209R-209eR-230R
PA151;205R-205eR-207eR-209R-209eR-230R-I01R
PA152;205R-209R-230R
PA153;205R-205eR-207eR-209R-209eR-230R
PA154;205R-209R-230R
PA155;504I
PA156;203eR-206R-206eR-207eR-214I-226R-230R
PA158;207eI-226I-230I
PA159;206R-226R-230R-404I
PA16;109R-109NR-210R-210vR-221eI-385R-407R-412R-418R-427R-507R-511R-513R-J16I
PA160;203eR-206R-206eR-226R-230R-404I
PA161;207eR-226R-230R-404I
PA162;307I-307eI-404R-B30NI-B31NR
PA163;106I-210I-210vI-345I-346NI-385I-404I-419I-422I-423I-424I-I08NI-I10NI
PA164;106I-345I-346NI-385I-404I-422I-510I-513I-516I-I08NI-I10NI
PA165;106I-345I-346NI-385I-516I-519eI-I08NI-I10NI
PA166;113I-113eR-115I-125R
PA167;210I-210vI-221eR-345I-346NI-385I-403I-412I-418I-422I-513I-518I-F30NR
PA168;106I-210I-210vI-221eR-345I-403I-419I-422I-423I-513I-516I-518I-519eI-F30NR
PA169;106I-210I-210vI-303I-307I-307eI-314I-314eI-315eI-403I-419I-422I-423I-513I-F30NR
PA17;113I-115I-125R-302R-302NR-511R-H07I-I01R
PA170;210I-210vI-213eI-221eR-303I-307I-307eI-314I-314eI-315eI-B02NI-F30NR
PA171;210I-210vI-307I-307eR-314I-314eR-315eR-403I-B02NI-F30NR
PA172;210I-210vI-213eI-403I-513I-516I-519eI-F30NR
PA174;210I-210vI-213eI-403I-513I-516I-F30NR
PA176;210I-210vI-F30NR
PA177;210I-210vI-213eI-221eR-F30NR
PA178;210I-210vI-213eI-227I-F30NR
PA179;210I-210vI-227I-F30NR
PA18;113I-115I-125R-302R-302NR-511R-H07I-I01R
PA180;210I-210vI-227I-F30NR
PA181;210I-210vI-213eI-221eR-F30NR
PA182;210R-210vR-221eI-345R-403R-513R-518R-F30NI
PA183;210R-210vR-221eI-302NI-345R-346NR-385R-403R-412R-418R-516R-518R-519eR-F30NI-I08NR-I10NR
PA184;125I-210R-210vR-302NI-345R-346NR-385R-401R-401NR-403R-405R-419R-421R-423R-518R-541NR-F30NI
PA185;210R-210vR-221eI-345R-346NR-385R-412R-418R-516R-518R-I08NR-I10NR
PA186;210R-210vR-345R-346NR-385R-406R-407R-412R-418R-422R-426R-427R-513R-I08NR-I10NR
PA187;210R-210vR-221eI-345R-346NR-385R-406R-407R-412R-418R-422R-426R-427R-513R-I08NR-I10NR-J03I
PA19;113I-115I-H07R-I01I
PA190;217eI
PA191;218eI-221eI
PA193;222eI
PA195;307I-307eI-404R-517I-B02NI
PA196;214R-226I-229I-301I
PA197;214R-226I-229I-301I-301eI
PA198;229R-301R
PA199;227I-H13R
PA2;109I-109NI-406I-422I-426I-507I-513I-B26I-J16I
PA20;113I-115I
PA200;227I
PA202;227I-D05R
PA203;227I
PA204;227I
PA205;227I
PA206;227R
PA207;227R
PA208;227R
PA209;227R
PA21;113I-115I
PA210;227R
PA212;201R-223R-229R-301R-301eR
PA213;301R-509I
PA214;121I-502R-502cR-503R-517R
PA215;210I-210vI-229I-301I-301eI-385I-403I-422I-513I-516I-519eI-F30NR-I08NI-I10NI
PA218;201R-223R-301R-509I
PA219;301R-509I
PA22;113I-115I
PA220;119R-301R-509I
PA221;119R-121R
PA222;402I
PA223;402I
PA224;402I
PA225;402I
PA226;121R-402I
PA228;504I-J03I
PA229;302I-504I-J03I
PA23;113I-115I-509I
PA230;302I-403I
PA231;302I-302eI-403I
PA232;302I-302NI-302eI
PA233;125I-302I-302NI-510I
PA234;302I-302NI
PA235;125R-302R-302NR
PA236;125R-302R-302NR
PA237;125R-302R-302NR
PA238;125R-302R-302NR
PA239;125R-302R-302NR
PA24;113I-115I-509I
PA240;125R-302R-302NR
PA241;302R-302NR
PA243;403R
PA244;302R-303eR
PA245;303R-307I-314I-B29R
PA246;119I-402R-505R
PA247;402R
PA248;402R-505R
PA249;402R-505R
PA25;113I-115I-D03R
PA250;402R-505R
PA251;402R-505R
PA259;307I-314I-314eR-517R-B27R
PA26;113I-115I
PA260;307I-314I-314eR-502cR-517R
PA261;214I-303R-307I-307eR-314I-314eR
PA262;214I-303R-307I-314I-314eR
PA263;303R-307I-314I-314eR
PA264;504R-505R-508R-514R
PA265;303R-307I-314I-409I-B29R
PA27;229R-301eR
PA270;119I
PA271;119I-J03I
PA272;119I-121I-J03I
PA273;119I-121I
PA274;119I-121I
PA275;119I-121I
PA276;119I-121I
PA277;119I-507R
PA278;507R
PA279;119I-511I-I18R
PA28;106I-303I-314I-314eI-315eI-404I-419I-423I-424I-518I
PA280;119I-345R-511I-I18R
PA281;119I-345R-511I-I18R
PA282;119I
PA283;119I
PA284;119I
PA285;119I-511I
PA286;119I-121I
PA287;119R-345I-H07R
PA288;345I-511R-H07R
PA289;119R-506I-506eI-506vI-509I
PA29;226I-229I-301I-301eI
