paradero;servicio;distancia
32599;02aI;0
32722;02aI;138
32723;02aI;646
32600;02aI;1680
32601;02aI;2592
32724;02aI;2881
32602;02aI;3021
32603;02aI;3252
32604;02aI;3404
32605;02aI;3618
32606;02aI;3845
32607;02aI;4025
32608;02aI;4246
32609;02aI;4318
32610;02aI;4413
32611;02aI;4595
32612;02aI;4757
32725;02aI;5203
32727;02aI;5531
32728;02aI;5824
32729;02aI;6035
32730;02aI;6271
32731;02aI;6375
32726;02aI;6570
32732;02aI;6814
32733;02aI;7181
32734;02aI;7454
32735;02aI;7562
32736;02aI;7951
32738;02aI;8529
32739;02aI;8789
32740;02aI;9145
32741;02aI;9288
32742;02aI;9481
32743;02aI;9678
32744;02aI;9864
32745;02aI;9947
32746;02aI;10171
32747;02aI;10578
32748;02aI;10892
32749;02aI;11184
32750;02aI;11379
32638;02aI;11663
32639;02aI;11894
32640;02aI;12187
32633;02aI;13019
32641;02aI;13522
32642;02aI;13893
32643;02aI;14183
32644;02aI;14521
32645;02aI;14882
32646;02aI;15220
32647;02aI;15717
32648;02aI;16008
32649;02aI;16317
32650;02aI;16652
32651;02aI;16946
32652;02aI;17393
32653;02aI;17866
32654;02aI;18277
32655;02aI;18500
32656;02aI;19073
32657;02aI;19203
32658;02aI;19486
32659;02aI;19690
32660;02aI;19921
32661;02aI;20254
32662;02aI;20388
32663;02aI;20561
32664;02aI;20772
32665;02aI;20997
32666;02aI;21434
32667;02aI;21747
32668;02aI;21904
32669;02aI;22033
32670;02aI;22270
32671;02aI;22415
32672;02aI;22669
32673;02aI;22915
32674;02aI;23182
32675;02aI;24024
32676;02aI;24244
32677;02aI;24460
32678;02aI;24637
32502;02aI;24945
32679;02aI;25283
32680;02aI;25471
32681;02aI;26224
32682;02aI;26779
32683;02aI;27067
32684;02aI;27328
32685;02aI;27477
32686;02aI;27724
32751;02aI;27970
32752;02aI;28111
32753;02aI;28354
32737;02aI;29111
32693;02aI;29335
32693;02dI;0
32694;02dI;764
32695;02dI;1012
32696;02dI;1369
32494;02dI;1637
32495;02dI;1927
32496;02dI;2080
32497;02dI;2378
32498;02dI;2835
32499;02dI;3260
32500;02dI;3638
32501;02dI;3854
32503;02dI;4142
32504;02dI;4453
32505;02dI;4629
32506;02dI;4850
32507;02dI;5086
32508;02dI;5759
32509;02dI;5993
32510;02dI;6331
32511;02dI;6458
32512;02dI;6750
32513;02dI;7036
32514;02dI;7450
32515;02dI;7729
32516;02dI;8182
32517;02dI;8457
32518;02dI;8615
32519;02dI;8761
32520;02dI;8936
32521;02dI;9122
32522;02dI;9313
32523;02dI;9695
32524;02dI;10050
32525;02dI;10266
32526;02dI;10474
32527;02dI;10675
32528;02dI;10901
32529;02dI;11402
32530;02dI;11827
32531;02dI;12139
32532;02dI;12475
32533;02dI;12801
32534;02dI;13090
32535;02dI;13545
32536;02dI;13891
32537;02dI;14249
32538;02dI;14584
32539;02dI;14860
32540;02dI;15092
32541;02dI;16111
32542;02dI;16389
32543;02dI;16620
32544;02dI;16817
32631;02dI;17163
32697;02dI;17546
32698;02dI;17790
32692;02dI;18035
32699;02dI;18503
32702;02dI;18666
32703;02dI;18841
32704;02dI;19086
32705;02dI;19274
32706;02dI;19497
32707;02dI;19963
32708;02dI;20245
32709;02dI;20384
32710;02dI;20626
32711;02dI;20865
32712;02dI;21100
32713;02dI;21359
32714;02dI;21718
32715;02dI;21803
32716;02dI;21965
32717;02dI;22345
32700;02dI;22524
32718;02dI;22721
32719;02dI;22831
32720;02dI;22989
32721;02dI;23097
32589;02dI;23163
32590;02dI;23307
32591;02dI;23490
32592;02dI;23707
32593;02dI;23834
32594;02dI;24017
32595;02dI;24157
32596;02dI;24330
32597;02dI;24617
32701;02dI;24771
