service;origin;destiny;color
101;RECOLETA;CERRILLOS;F58220
101c;(M) BLANQUEADO;CERRILLOS;F58220
102;(M) BLANQUEADO;MALL PLAZA TOBALABA;FFD400
103;PROVIDENCIA;SAN JOAQUIN;F58220
104;PROVIDENCIA;MALL PLAZA TOBALABA;FFD400
105;RENCA;LO ESPEJO;00D5FF
106;NUEVA SAN MARTIN;LA FLORIDA;F58220
107;CIUDAD EMPRESARIAL;AV. DEPARTAMENTAL;F58220
107c;CIUDAD EMPRESARIAL;PLAZA RENCA;F58220
108;MAIPU;LA FLORIDA;F58220
109;RENCA;MAIPU;00D9A3
109N;(M) QUINTA NORMAL;MAIPU;00D9A3
110;RENCA;MAIPU;00D9A3
110c;RENCA;PUDAHUEL SUR;00D9A3
111;(M) PAJARITO;CIUDAD SATELITE;00B33C
113;CIUDAD SATELITE;(M) LA MONEDA;00B33C
113c;(M) CERRILLOS;CIUDAD SATELITE;00B33C
113e;CIUDAD SATELITE;(M) LA MONEDA;00B33C
114;(M) ÑUñOA;MALL PLAZA TOBALABA;FFD400
115;VILLA EL ABRAZO;(M) LA MONEDA;00D9A3
116;HUECHURABA;SANTIAGO CENTRO;00D5FF
117;(M) VESPUCIO NORTE;SAN JOAQUIN;F58220
117c;HUECHURABA;PROVIDENCIA;F58220
118;MAIPU;MALL PLAZA VESPUCIO;00D9A3
119;MAPOCHO;LO ESPEJO;00B33C
120;RENCA;(M) LA CISTERNA;00D5FF
121;MAPOCHO;LO ESPEJO;00B33C
125;(M) U. DE CHILE;LO ESPEJO;00B33C
126;(M) MANUEL MONTT;LA HIGUERA;00B33C
201;MALL PLAZA NORTE;SAN BERNARDO;0067AC
201e;(M) SANTA ANA;SAN BERNARDO;0067AC
202c;EL CORTIJO;MAPOCHO;0067AC
203;HUECHURABA;LA PINTANA;0067AC
203e;HUECHURABA;LA PINTANA;0067AC
204;ALAMEDA;GABRIELA;0067AC
204N;ALAMEDA;GABRIELA;0067AC
204e;ALAMEDA;GABRIELA;0067AC
205;SANTIAGO;PUENTE ALTO;0067AC
205e;SANTIAGO;PUENTE ALTO;0067AC
206;CENTRO;LA PINTANA;0067AC
206c;(M) BIO BIO;LA PINTANA;0067AC
207e;MAPOCHO;AV. SANTA ROSA;0067AC
208;HUECHURABA;CENTRO;0067AC
