101
Cerrillos,Lunes a Viernes,05:30,00:30
Cerrillos,Sábado,05:30,00:30
Recoleta,Domingo y Festivos,05:30,00:30
Recoleta,Lunes a Viernes,05:30,00:30
Recoleta,Sábado,05:30,00:30

101c
Cerrillos,Lunes a Viernes,06:30,08:25
Cerrillos,Lunes a Viernes,17:30,20:24
(M) Las Rejas,Lunes a Viernes,06:30,08:29
(M) Las Rejas,Lunes a Viernes,17:30,20:24

102
Mall Plaza Tobalaba,Lunes a Viernes,05:30,00:30
Mall Plaza Tobalaba,Domingo y Festivos,05:30,00:30
Mall Plaza Tobalaba,Sábado,05:30,00:30
(M) Las Rejas,Domingo y Festivos,05:30,00:30
(M) Las Rejas,Lunes a Viernes,05:30,00:30
(M) Las Rejas,Sábado,05:30,00:30

103
San Joaquin,Domingo y Festivos,05:30,00:30
San Joaquin,Sábado,05:30,00:40
San Joaquin,Lunes a Viernes,05:30,00:40
Providencia,Domingo y Festivos,05:30,00:30
Providencia,Sábado,05:30,00:40
Providencia,Lunes a Viernes,05:30,00:40

104
Mall Plaza Tobalaba,Domingo y Festivos,00:00,23:59
Mall Plaza Tobalaba,Lunes a Viernes,00:00,23:59
Mall Plaza Tobalaba,Sábado,00:00,23:59
Providencia,Domingo y Festivos,00:00,23:59
Providencia,Sábado,00:00,23:59
Providencia,Lunes a Viernes,00:00,23:59

105
Lo Espejo,Lunes a Viernes,05:30,23:39
Lo Espejo,Sábado,05:30,23:35
Lo Espejo,Domingo y Festivos,05:30,23:30
Renca,Lunes a Viernes,05:30,23:39
Renca,Domingo y Festivos,05:30,23:30
Renca,Sábado,05:30,23:48

106
La Florida,Domingo y Festivos,05:30,23:40
La Florida,Lunes a Viernes,05:30,23:40
La Florida,Sábado,05:30,23:40
Nueva San Martin,Sábado,05:30,00:30
Nueva San Martin,Lunes a Viernes,05:30,00:30
Nueva San Martin,Domingo y Festivos,05:30,00:30

107
Av. Departamental,Lunes a Viernes,00:00,23:59
Av. Departamental,Sábado,00:00,23:59
Av. Departamental,Domingo y Festivos,00:00,23:59
Ciudad Empresarial,Sábado,00:00,23:59
Ciudad Empresarial,Domingo y Festivos,00:00,23:59
Ciudad Empresarial,Lunes a Viernes,00:00,23:59

107c
Plaza Renca,Lunes a Viernes,06:30,08:27
Plaza Renca,Lunes a Viernes,17:30,20:24
Ciudad Empresarial,Lunes a Viernes,06:30,08:18
Ciudad Empresarial,Lunes a Viernes,17:30,20:18

108
La Florida,Lunes a Viernes,05:30,00:30
La Florida,Domingo y Festivos,05:30,00:30
La Florida,Sábado,05:30,00:30
Maipu,Domingo y Festivos,05:30,00:30
Maipu,Lunes a Viernes,05:30,00:30
Maipu,Sábado,05:30,00:30

109
Maipu,Sábado,05:30,23:45
Maipu,Lunes a Viernes,05:30,23:30
Maipu,Domingo y Festivos,05:30,23:45
Renca,Domingo y Festivos,05:30,23:45
Renca,Sábado,05:30,23:45
Renca,Lunes a Viernes,05:30,23:45

109N

110
Maipu,Domingo y Festivos,05:30,00:30
Maipu,Sábado,05:30,00:30
Maipu,Lunes a Viernes,05:30,00:30
Renca,Domingo y Festivos,05:30,00:30
Renca,Lunes a Viernes,05:30,00:30
Renca,Sábado,05:30,00:30

110c
Pudahuel Sur,Domingo y Festivos,10:00,20:50
Pudahuel Sur,Lunes a Viernes,06:30,21:22
