X,Y,gid,Name,description,tessellate,Servicio,Largo,Sentido
-71.4006043871795,-33.0340034636824,1,101_R,,1,101,34.03,1
-71.626121,-33.0397409024548,2,1,,-1,101,,1
-71.617521,-33.0436479024548,3,2,,-1,101,,1
-71.605312,-33.0434759024548,4,3,,-1,101,,1
-71.599577,-33.0379669024548,5,4,,-1,101,,1
-71.589794,-33.0324649024548,6,5,,-1,101,,1
-71.464523,-33.0428559024548,7,9,,-1,101,,1
-71.445758,-33.0478619024548,8,10,,-1,101,,1
-71.438042,-33.0483169024548,9,11,,-1,101,,1
-71.420596,-33.0438549024548,10,12,,-1,101,,1
-71.41241,-33.0388089024548,11,13,,-1,101,,1
-71.407328,-33.0319169024548,12,14,,-1,101,,1
-71.403547,-33.0350859024548,13,15,,-1,101,,1
-71.394706,-33.0400139024548,14,17,,-1,101,,1
-71.398636,-33.0357879024548,15,16,,-1,101,,1
-71.374205,-33.0421769024548,16,18,,-1,101,,1
-71.358164,-33.0412359024548,17,19,,-1,101,,1
-71.567666,-33.0232739024548,18,6,,-1,101,,1
-71.549753,-33.0228469024548,19,7,,-1,101,,1
-71.533809,-33.0299409024548,20,8,,-1,101,,1
