stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1,1,58,,-33.04621675481698,-71.5967184060703,,,,,
2,2,59,,-33.05076009734012,-71.64873810338639,,,,,
3,3,60,,-33.05244742721104,-71.64602903779257,,,,,
4,4,61,,-33.05849864202205,-71.64399936077912,,,,,
5,5,62,,-33.05194192607658,-71.63682117707444,,,,,
6,6,63,,-33.04645813741625,-71.63639762770859,,,,,
7,7,64,,-33.04642025458109,-71.63659951090918,,,,,
8,8,65,,-33.04454434930815,-71.63649651486152,,,,,
9,9,66,,-33.04504197305096,-71.63624219754173,,,,,
10,10,67,,-33.04379922438511,-71.63558368549366,,,,,
11,11,68,,-33.0414717745828,-71.63733393096207,,,,,
12,12,69,,-33.04047845014222,-71.63831020073903,,,,,
13,13,70,,-33.03757501532357,-71.63688192189839,,,,,
14,14,71,,-33.03611589759304,-71.63708624745711,,,,,
15,15,72,,-33.03417407575297,-71.63531901356721,,,,,
16,16,73,,-33.03255549373539,-71.63559509964384,,,,,
17,17,74,,-33.03160112267543,-71.63439383270389,,,,,
18,18,75,,-33.02891826578235,-71.63333491962256,,,,,
19,19,76,,-33.02882757516468,-71.63314376282418,,,,,
20,20,77,,-33.02695565166306,-71.63498987592134,,,,,
21,21,78,,-33.02479489720445,-71.63844200568904,,,,,
22,22,79,,-33.02992806800046,-71.63655582844993,,,,,
23,23,80,,-33.03687828369004,-71.59593806985998,,,,,
24,24,81,,-33.03663217758827,-71.59461061594661,,,,,
25,25,82,,-33.03638687678164,-71.59475287236572,,,,,
26,26,83,,-33.03600481798868,-71.59301043059769,,,,,
27,27,84,,-33.039746399143,-71.60306086771841,,,,,
28,28,85,,-33.04121288864908,-71.60353828214295,,,,,
29,29,44,,-33.07381737869317,-71.5833355438027,,,,,
30,30,45,,-33.07443214458922,-71.58331428728182,,,,,
31,31,46,,-33.04182459704077,-71.64594113068756,,,,,
32,32,47,,-33.04175449786979,-71.64575217683162,,,,,
33,33,48,,-33.0427784461857,-71.64650199995998,,,,,
34,34,49,,-33.05020918463988,-71.65241024191111,,,,,
35,35,50,,-33.05029274231167,-71.65280385792903,,,,,
36,36,51,,-33.04745786443644,-71.65262356444235,,,,,
37,37,52,,-33.02023721712811,-71.64188126910518,,,,,
38,38,53,,-33.04120189744209,-71.65755505253783,,,,,
39,39,54,,-33.0408248850476,-71.6518867174955,,,,,
40,40,55,,-33.06150454350985,-71.63800788016081,,,,,
41,41,56,,-33.06115251322735,-71.64022260670683,,,,,
42,42,57,,-33.05010587982245,-71.6501515147682,,,,,
43,43,1,,-33.05195285407539,-71.60269314563946,,,,,
44,44,2,,-33.05124759377034,-71.60540666120986,,,,,
45,45,3,,-33.05106371102502,-71.60561128773878,,,,,
46,46,4,,-33.05003190483728,-71.6115601905497,,,,,
47,47,5,,-33.05001237338679,-71.61306630114899,,,,,
48,48,6,,-33.04918667777967,-71.61605262574315,,,,,
49,49,7,,-33.04912097349132,-71.61663113722658,,,,,
50,50,8,,-33.04872942748209,-71.61739078913365,,,,,
51,51,9,,-33.04869894528409,-71.6179848044483,,,,,
52,52,10,,-33.04711441365869,-71.61944868017058,,,,,
53,53,11,,-33.04570663856465,-71.60998771064978,,,,,
54,54,12,,-33.0461503362052,-71.6120830323877,,,,,
55,55,13,,-33.0442566933804,-71.61169077569977,,,,,
56,56,14,,-33.04609653116889,-71.61432643908488,,,,,
57,57,15,,-33.04605036776304,-71.6166755446272,,,,,
58,58,17,,-33.04594392713157,-71.61892929536086,,,,,
59,59,18,,-33.04521180295944,-71.61943217268036,,,,,
60,60,19,,-33.04446688063938,-71.62047708003586,,,,,
61,61,20,,-33.04363666544977,-71.61911481863794,,,,,
62,62,21,,-33.0497295860792,-71.61325190946913,,,,,
63,63,22,,-33.1128307368692,-71.5610708072203,,,,,
64,64,23,,-33.11271145370852,-71.56291966816259,,,,,
65,65,24,,-33.11244587427397,-71.56569483743087,,,,,
66,66,25,,-33.11201743782411,-71.5713278703028,,,,,
67,67,26,,-33.11182390280123,-71.57386286331102,,,,,
68,68,27,,-33.11164037960177,-71.57403891509387,,,,,
69,69,28,,-33.11153103930942,-71.5773487254539,,,,,
70,70,29,,-33.11334566423119,-71.57734669998989,,,,,
71,71,30,,-33.11468518740492,-71.57697956909289,,,,,
72,72,31,,-33.11304940140427,-71.57444493081522,,,,,
73,73,32,,-33.11313179630344,-71.57313900561574,,,,,
74,74,33,,-33.11324357098579,-71.57191576590172,,,,,
75,75,34,,-33.11332183378848,-71.56991380035743,,,,,
76,76,35,,-33.11352403796158,-71.5682935453863,,,,,
77,77,36,,-33.11366214221148,-71.56664228555874,,,,,
78,78,37,,-33.11390415121772,-71.5628492483215,,,,,
79,79,38,,-33.11403924961064,-71.56161391560066,,,,,
80,80,39,,-33.02024503962896,-71.64163338278159,,,,,
81,81,40,,-33.02518532318562,-71.63974999900412,,,,,
82,82,41,,-33.02717812614346,-71.63919862488861,,,,,
83,83,42,,-33.03110179272671,-71.63801986335122,,,,,
84,84,43,,-33.03247473618698,-71.63985540049166,,,,,
85,85,Marca de posición sin título,,-33.02306645545976,-71.55768005776116,,,,,
86,86,Marca de posición sin título,,-33.05534576935095,-71.55813441047968,,,,,
87,87,Marca de posición sin título,,-33.05782593254409,-71.56379761000059,,,,,
88,88,Marca de posición sin título,,-33.04124190037945,-71.54111377756439,,,,,
89,89,Marca de posición sin título,,-33.02507696893416,-71.54897319146878,,,,,
90,90,Marca de posición sin título,,-33.04030432698855,-71.54060101287486,,,,,
91,91,Marca de posición sin título,,-33.02466229668848,-71.55102161057135,,,,,
92,92,Marca de posición sin título,,-33.02412453014516,-71.55402237357463,,,,,
93,93,Marca de posición sin título,,-33.05531779766939,-71.55828005290239,,,,,
94,94,Marca de posición sin título,,-33.05488744632243,-71.55809879266582,,,,,
95,95,Marca de posición sin título,,-33.02427779405481,-71.54965957964983,,,,,
96,96,Marca de posición sin título,,-33.02535422198577,-71.54975781088574,,,,,
97,97,Marca de posición sin título,,-33.02381555187153,-71.55285741887109,,,,,
98,98,Marca de posición sin título,,-33.02449081021712,-71.54795199095548,,,,,
99,99,Marca de posición sin título,,-33.0645667794244,-71.57095147066488,,,,,
100,100,Marca de posición sin título,,-33.02571683067286,-71.54811842658803,,,,,
101,101,Marca de posición sin título,,-33.02615067608205,-71.54518005287167,,,,,
102,102,Marca de posición sin título,,-33.02288850175198,-71.55900067580787,,,,,
103,103,Marca de posición sin título,,-33.02436178989814,-71.54567824944853,,,,,
104,104,Marca de posición sin título,,-33.02354878820661,-71.55469631643884,,,,,
105,105,Marca de posición sin título,,-33.05075584963198,-71.53804185145788,,,,,
106,106,Marca de posición sin título,,-33.03814576707396,-71.54219642673638,,,,,
107,107,Marca de posición sin título,,-33.02355025118614,-71.56192015876704,,,,,
108,108,Marca de posición sin título,,-33.02074993728871,-71.56151554500598,,,,,
109,109,Marca de posición sin título,,-33.02176789063169,-71.55994444875465,,,,,
110,110,Marca de posición sin título,,-33.03595251187504,-71.59866401993583,,,,,
111,111,Marca de posición sin título,,-33.03421072965743,-71.59570229186876,,,,,
112,112,Marca de posición sin título,,-33.03392129703715,-71.59553326499363,,,,,
113,113,Marca de posición sin título,,-33.03280062227568,-71.59122379195827,,,,,
114,114,Marca de posición sin título,,-33.03314500738811,-71.59115753645857,,,,,
115,115,Marca de posición sin título,,-33.03263591184619,-71.58998013776494,,,,,
116,116,Marca de posición sin título,,-33.02632387544485,-71.58504017950884,,,,,
117,117,Marca de posición sin título,,-33.0271025553847,-71.57557254480473,,,,,
