stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1,1,58,,-71.5967184060703,-33.04621675481698,,,,,
2,2,59,,-71.64873810338639,-33.05076009734012,,,,,
3,3,60,,-71.64602903779257,-33.05244742721104,,,,,
4,4,61,,-71.64399936077912,-33.05849864202205,,,,,
5,5,62,,-71.63682117707444,-33.05194192607658,,,,,
6,6,63,,-71.63639762770859,-33.04645813741625,,,,,
7,7,64,,-71.63659951090918,-33.04642025458109,,,,,
8,8,65,,-71.63649651486152,-33.04454434930815,,,,,
9,9,66,,-71.63624219754173,-33.04504197305096,,,,,
10,10,67,,-71.63558368549366,-33.04379922438511,,,,,
11,11,68,,-71.63733393096207,-33.0414717745828,,,,,
12,12,69,,-71.63831020073903,-33.04047845014222,,,,,
13,13,70,,-71.63688192189839,-33.03757501532357,,,,,
14,14,71,,-71.63708624745711,-33.03611589759304,,,,,
15,15,72,,-71.63531901356721,-33.03417407575297,,,,,
16,16,73,,-71.63559509964384,-33.03255549373539,,,,,
17,17,74,,-71.63439383270389,-33.03160112267543,,,,,
18,18,75,,-71.63333491962256,-33.02891826578235,,,,,
19,19,76,,-71.63314376282418,-33.02882757516468,,,,,
20,20,77,,-71.63498987592134,-33.02695565166306,,,,,
21,21,78,,-71.63844200568904,-33.02479489720445,,,,,
22,22,79,,-71.63655582844993,-33.02992806800046,,,,,
23,23,80,,-71.59593806985998,-33.03687828369004,,,,,
24,24,81,,-71.59461061594661,-33.03663217758827,,,,,
25,25,82,,-71.59475287236572,-33.03638687678164,,,,,
26,26,83,,-71.59301043059769,-33.03600481798868,,,,,
27,27,84,,-71.60306086771841,-33.039746399143,,,,,
28,28,85,,-71.60353828214295,-33.04121288864908,,,,,
29,29,44,,-71.5833355438027,-33.07381737869317,,,,,
30,30,45,,-71.58331428728182,-33.07443214458922,,,,,
31,31,46,,-71.64594113068756,-33.04182459704077,,,,,
32,32,47,,-71.64575217683162,-33.04175449786979,,,,,
33,33,48,,-71.64650199995998,-33.0427784461857,,,,,
34,34,49,,-71.65241024191111,-33.05020918463988,,,,,
35,35,50,,-71.65280385792903,-33.05029274231167,,,,,
36,36,51,,-71.65262356444235,-33.04745786443644,,,,,
37,37,52,,-71.64188126910518,-33.02023721712811,,,,,
38,38,53,,-71.65755505253783,-33.04120189744209,,,,,
39,39,54,,-71.6518867174955,-33.0408248850476,,,,,
40,40,55,,-71.63800788016081,-33.06150454350985,,,,,
41,41,56,,-71.64022260670683,-33.06115251322735,,,,,
42,42,57,,-71.6501515147682,-33.05010587982245,,,,,
43,43,1,,-71.60269314563946,-33.05195285407539,,,,,
44,44,2,,-71.60540666120986,-33.05124759377034,,,,,
45,45,3,,-71.60561128773878,-33.05106371102502,,,,,
46,46,4,,-71.6115601905497,-33.05003190483728,,,,,
47,47,5,,-71.61306630114899,-33.05001237338679,,,,,
48,48,6,,-71.61605262574315,-33.04918667777967,,,,,
49,49,7,,-71.61663113722658,-33.04912097349132,,,,,
50,50,8,,-71.61739078913365,-33.04872942748209,,,,,
51,51,9,,-71.6179848044483,-33.04869894528409,,,,,
52,52,10,,-71.61944868017058,-33.04711441365869,,,,,
53,53,11,,-71.60998771064978,-33.04570663856465,,,,,
54,54,12,,-71.6120830323877,-33.0461503362052,,,,,
55,55,13,,-71.61169077569977,-33.0442566933804,,,,,
56,56,14,,-71.61432643908488,-33.04609653116889,,,,,
57,57,15,,-71.6166755446272,-33.04605036776304,,,,,
58,58,17,,-71.61892929536086,-33.04594392713157,,,,,
59,59,18,,-71.61943217268036,-33.04521180295944,,,,,
60,60,19,,-71.62047708003586,-33.04446688063938,,,,,
61,61,20,,-71.61911481863794,-33.04363666544977,,,,,
