Codigo;Abreviacion;Nombre;Linea;Dias;Apertura Estacion;Apertura Boletaria;Cierre boleteria;Cierre Estacion;Destino 1;Primer Tren D1;Ultimo tren D1;Destino 2;Primer Tren D2;Ultimo tren D2;Expreso
91;SO;San Pablo;L1;Lunes a Viernes;5:35;6:00;23:00;23:35;San Pablo;-;-;Los Dominicos;5:36;23:05;
60;NP;Neptuno;L1;Lunes a Viernes;5:35;6:00;23:00;23:35;San Pablo;5:44;23:46;Los Dominicos;5:37;23:06;
67;PJ;Pajaritos;L1;Lunes a Viernes;5:35;6:00;23:00;23:35;San Pablo;5:42;23:44;Los Dominicos;5:36;23:07;
50;LR;Las Rejas;L1;Lunes a Viernes;5:35;6:00;23:00;23:32;San Pablo;5:40;23:42;Los Dominicos;5:37;23:09;
23;EC;Ecuador;L1;Lunes a Viernes;5:35;6:00;23:00;23:25;San Pablo;5:39;23:41;Los Dominicos;5:36;23:10;
2;AH;San Alberto Hurtado;L1;Lunes a Viernes;5:35;6:00;23:00;23:30;San Pablo;5:38;23:39;Los Dominicos;5:37;23:12;
97;US;Universidad de Santiago;L1;Lunes a Viernes;5:35;6:00;23:00;23:28;San Pablo;5:37;23:38;Los Dominicos;5:35;23:13;
26;EL;Estación Central;L1;Lunes a Viernes;5:35;6:00;23:00;23:27;San Pablo;5:35;23:37;Los Dominicos;5:37;23:14;
38;LA;Unión Latinoamericana;L1;Lunes a Viernes;5:40;6:00;23:00;23:25;San Pablo;5:40;23:35;Los Dominicos;5:41;23:15;
83;RP;República;L1;Lunes a Viernes;5:40;6:00;23:00;23:25;San Pablo;5:44;23:34;Los Dominicos;5:42;23:17;
44;LH;Los Héroes;L1;Lunes a Viernes;5:40;6:00;23:00;23:22;San Pablo;5:43;23:33;Los Dominicos;5:41;23:18;
46;LM;La Moneda;L1;Lunes a Viernes;5:40;6:00;23:00;23:20;San Pablo;5:41;23:31;Los Dominicos;5:42;23:19;
15;CH;Universidad de Chile;L1;Lunes a Viernes;5:40;6:00;23:00;23:20;San Pablo;5:40;23:30;Los Dominicos;5:40;23:20;
89;SL;Santa Lucía;L1;Lunes a Viernes;5:40;6:00;23:00;23:20;San Pablo;5:45;23:29;Los Dominicos;5:42;23:22;
96;UC;Universidad Católica;L1;Lunes a Viernes;5:40;6:00;23:00;23:20;San Pablo;5:43;23:27;Los Dominicos;5:40;23:23;
6;BA;Baquedano;L1;Lunes a Viernes;5:45;6:00;23:00;23:22;San Pablo;5:47;23:26;Los Dominicos;5:45;23:24;
85;SA;Salvador;L1;Lunes a Viernes;5:45;6:00;23:00;23:25;San Pablo;5:46;23:25;Los Dominicos;5:46;23:26;
