Linea	Estacion	codigo
L1	Alcántara	23
L1	Baquedano	16
L5	Baquedano	96
L5	Barrancas	85
L5	Bellas Artes	95
L5	Bellavista de La Florida	107
L6	Bio Bio	113
L5	Blanqueado	89
L5	Camino Agrícola	103
L3	Cardenal Caro	120
L5	Carlos Valdovinos	102
L2	Cementerios	32
L6	Cerillos	109
L2	Cerro Blanco	33
L3	Chile España	133
L2	Ciudad del Niño	46
L3	Conchalí	122
L4	Cristobal Colón	51
L5	Cumming	92
L5	Del Sol	81
L2	Departamental	45
L2	Dorsal	30
L1	Ecuador	5
L2	Einstien	31
L1	El Golf	22
L2	El Llano	42
L2	El Parrón	48
L4	Elisa Correa	68
L1	Escuela Militar	24
L1	Estación Central	8
L6	Estadio Nacional	115
L3	Fernando Castillo Velasco	136
L4	Francisco Bilbao	52
L2	Franklin	41
L6	Franklin	112
L4	Grecia	57
L5	Gruta de Lourdes	90
L1	Hernando de Magallanes	26
L4	Hospital Sótero del Río	69
L3	Hospitales	124
L6	Inés de Suárez	117
L5	Irarrázaval	99
L3	Irarrázaval	130
L2	La Cisterna	49
L4A	La Cisterna	78
L4A	La Granja	75
L1	La Moneda	12
L5	Laguna Sur	84
L4	Las Mercedes	71
L5	Las Parcelas	83
L1	Las Rejas	4
L4	Las Torres	60
L2	Lo Ovalle	47
L5	Lo Prado	88
L6	Lo Valledor	110
L2	Lo Vial	44
L1	Los Dominicos	27
L1	Los Héroes	11
L2	Los Héroes	37
L1	Los Leones	20
L6	Los Leones	118
L3	Los Libertadores	119
L4	Los Orientales	56
L4	Los Presidentes	58
L4	Los Quillayes	67
L4	Macul	61
L1	Manquehue	25
L1	Manuel Montt	18
L3	Matta	129
L5	Mirador	106
L3	Monseñor Eyzaguirre	131
L5	Monte Tabor	82
L1	Neptuno	2
L5	Ñuble	100
L6	Ñuble	114
L6	Ñuñoa	116
L3	Ñuñoa	132
L1	Pajaritos	3
L3	Parque Almagro	128
L5	Parque Bustamante	97
L2	Parque O'Higgins	39
L2	Patronato	34
L6	Pdte Pedro Aguirre Cerda	111
L5	Pedrero	105
L1	Pedro de Valdivia	19
L3	Plaza Chacabuco	123
L5	Plaza de Armas	94
L3	Plaza de Armas	126
L5	Plaza de Maipú	79
L4	Plaza de Puente Alto	72
L4	Plaza Egaña	55
L3	Plaza Egaña	135
L4	Príncipe de Gales	53
L4	Protectora de la Infancia	70
L5	Pudahuel	86
L2	Puente Cal y Canto	35
L3	Puente Cal y Canto	125
L4	Quilín	59
L5	Quinta Normal	91
L1	República	10
L5	Rodrigo de Araya	101
L4	Rojas Magallanes	64
L2	Rondizzoni	40
L1	Salvador	17
L1	San Alberto Hurtado	6
L5	San Joaquín	104
L4	San José de la Estrella	66
L2	San Miguel	43
L1	San Pablo	1
L5	San Pablo	87
L4A	San Ramón	77
L2	Santa Ana	36
L5	Santa Ana	93
L5	Santa Isabel	98
L4A	Santa Julia	74
L1	Santa Lucia	14
L4A	Santa Rosa	76
L5	Santiago Bueras	80
L4	Simón Bolívar	54
L1	Tobalaba	21
L4	Tobalaba	50
L2	Toesca	38
L4	Trinidad	65
L1	Unión Latinoamericana	9
L1	Universidad Católica	15
L1	Universidad de Chile	13
L3	Universidad de Chile	127
L1	Universidad de Santiago	7
L2	Vespucio Norte	28
L4	Vicente Valdés	63
L5	Vicente Valdés	108
L4	Vicuña Mackenna	62
L4A	Vicuña Mackenna	73
L3	Villa Frei	134
L3	Vivaceta	121
L2	Zapadores	29
