NOMBRE FANTASIA;LONGITUD;LATITUD
PLAZA DE ARMAS;-70.65060895;-33.43727179
ZAPADORES;-70.64241097;-33.39094974
EL GOLF;-70.59585634;-33.41665773
SAN MIGUEL;-70.6508078;-33.48880753
TOBALABA L1;-70.601805;-33.4183253
TOBALABA L4;-70.60133022;-33.41842024
LOS LEONES;-70.60865006;-33.42217409
VICUNA MACKENNA L4;-70.59435709;-33.51751569
VICUNA MACKENNA L4A;-70.59486533;-33.51803886
SANTA JULIA;-70.605488;-33.53116125
PRINCIPE DE GALES;-70.57377057;-33.43795692
SAN RAMON;-70.65124793;-33.54000867
SIMON BOLIVAR;-70.57160757;-33.4480175
LOS PRESIDENTES;-70.57865169;-33.47987017
LA GRANJA;-70.61605065;-33.54119132
PLAZA EGANA;-70.57071311;-33.4530748
Avda. Americo Vespucio Nº 3411;-70.58035428;-33.48823591
LAS TORRES;-70.58636495;-33.49888191
LOS ORIENTALES;-70.57388164;-33.46252415
ALCANTARA;-70.58968584;-33.41543877
MANQUEHUE;-70.56812562;-33.4090259
ESCUELA MILITAR;-70.5846369;-33.41429088
HERNANDO DE MAGALLANES;-70.55559909;-33.4080066
LOS DOMINICOS;-70.5450801;-33.4078964
PLAZA PUENTE ALTO;-70.57575465;-33.61046273
LAS MERCEDES;-70.57759514;-33.60072058
SOTERO DEL RIO;-70.58217591;-33.57710174
ELISA CORREA;-70.5837448;-33.56946535
PEDRERO;-70.61242684;-33.50804733
EINSTEIN;-70.64317829;-33.40647739
PAJARITOS;-70.71593663;-33.45741718
BARRANCAS;-70.73900243;-33.45299778
GRECIA;-70.57649201;-33.46961865
LAGUNA SUR;-70.73779937;-33.462878
ESTACION CENTRAL;-70.6791488;-33.45087477
UNIVERSIDAD DE SANTIAGO;-70.6863706;-33.45283211
SALVADOR;-70.66703694;-33.44770483
ECUADOR;-70.7010856;-33.45626665
UNIVERSIDAD DE CHILE;-70.65029168;-33.44376503
LA MONEDA;-70.65479586;-33.44485501
LOS HEROES L1;-70.66022784;-33.44615564
LOS HEROES L2;-70.66041973;-33.44613516
PEDRO DE VALDIVIA;-70.69236796;-33.45422373
UNIVERSIDAD CATOLICA;-70.64003081;-33.43985337
UNION LATINOAMERICANA;-70.67345643;-33.44942278
LAS REJAS;-70.70587076;-33.45736879
SANTA LUCIA;-70.64520402;-33.44255404
MACUL;-70.58999289;-33.50922302
PARQUE O'HIGGINS;-70.65682185;-33.46084182
NEPTUNO;-70.72264572;-33.45153638
PLAZA DE MAIPU;-70.75726982;-33.51063767
SANTIAGO BUERAS;-70.75743006;-33.49641509
DEL SOL;-70.75273454;-33.489837
MONTE TABOR;-70.7453728;-33.48211614
LAS PARCELAS;-70.74149089;-33.47735571
PATRONATO;-70.64705304;-33.42962862
CEMENTERIOS;-70.64361969;-33.41387349
DORSAL;-70.6427391;-33.39680353
CERRO BLANCO;-70.64493917;-33.42247685
RICARDO CUMMING;-70.66854158;-33.43916458
GRUTA DE LOURDES;-70.6917117;-33.4384028
BLANQUEADO;-70.70726277;-33.44148648
LO PRADO;-70.715913;-33.44329548
SAN PABLO L1;-70.72325742;-33.44440321
SAN PABLO L5;-70.7228342;-33.44418473
SANTA ROSA;-70.63409398;-33.5424495
PUDAHUEL;-70.74059879;-33.4449745
SAN JOSE DE LA ESTRELLA;-70.58653604;-33.5533554
LOS QUILLAYES;-70.58517708;-33.56133276
ROJAS MAGALLANES;-70.59261037;-33.53616799
TRINIDAD;-70.58788652;-33.54658109
RODRIGO DE ARAYA;-70.62230025;-33.47759015
CARLOS VALDOVINOS;-70.61909384;-33.48647187
CAMINO AGRICOLA;-70.61749874;-33.49184748
SAN JOAQUIN;-70.61633335;-33.49690561
NUBLE;-70.62471345;-33.46740043
SANTA ANA L5;-70.65987093;-33.43816546
TOESCA;-70.6587341;-33.45235149
QUINTA NORMAL;-70.68018787;-33.44040945
PROTECTORA DE LA INFANCIA;-70.57979352;-33.58975371
CRISTOBAL COLON;-70.59115277;-33.42630504
FRANCISCO BILBAO;-70.58460176;-33.43195483
PARQUE BUSTAMANTE;-70.63154738;-33.44280337
RONDIZZONI;-70.6563235;-33.47020604
CAL Y CANTO;-70.65222894;-33.43294603
EL LLANO;-70.64912373;-33.48259804
LA CISTERNA;-70.66447587;-33.53797104
LO OVALLE;-70.65880733;-33.51723324
SANTA ANA L2;-70.65923853;-33.43820972
LO VIAL;-70.6528928;-33.49641338
DEPARTAMENTAL;-70.65479674;-33.50306902
CIUDAD DEL NINO;-70.6566527;-33.50961155
EL PARRON;-70.66142413;-33.52651309
LA CISTERNA;-70.66447587;-33.53797104
IRARRAZAVAL;-70.62824732;-33.45528289
BELLAS ARTES;-70.64502132;-33.43668061
FRANKLIN;-70.6494014;-33.47606832
VESPUCIO NORTE;-70.64652278;-33.38056867
BAQUEDANO L5;-70.63369007;-33.43713962
BAQUEDANO L1;-70.6344818;-33.43720518
MANUEL MONTT;-70.61891639;-33.42920051
PADRE ALBERTO HURTADO;-70.62620853;-33.43346653
REPUBLICA;-70.61243387;-33.42492921
SANTA ISABEL;-70.63041764;-33.44713023
BELLAVISTA LA FLORIDA;-70.59934833;-33.5204449
MIRADOR;-70.60620007;-33.51315457
VICENTE VALDES L5;-70.59686528;-33.5262106
VICENTE VALDES L4;-70.59657995;-33.52651894
EL RINCON DEL GUSTO MAIPU;-70.78489467;-33.53436509
LALITO SN RAMON;-70.64443457;-33.53259911
LUIS ARAYA CARVAJAL;-70.6967945734628;-33.3903495490553
DON ALEJO LO ESPEJO;-70.6886937574691;-33.5184399537654
LOS PEQUES SN JOAQUIN;-70.62299239;-33.51340381
NISSY LA PINTANA;-70.62268808;-33.56360171
ERICHOPER;-70.62318232;-33.37779948
DON ORLANDO RENCA;-70.73299013;-33.40400045
NOLBERTO VALDES NAVARRO;-70.56833145643716;-33.50171990370461
BAZAR LA KUKA;-70.6422992625761;-33.3884287445116
SUPER OFERTAS SANTIAGO;-70.63530722;-33.47396145
LICORES JUAN INAREJO;-70.69780225;-33.42147769
FERRADA GONZALEZ JOSEFINA;-70.57490277777778;-33.55014138888888
SOMOS;-70.53190641;-33.45919537
ATEMIS COMPUTACION;-70.58762524;-33.57983789
JOSE MANUEL NAVARRETE OSSES;-70.6556213958106;-33.4255468198297
ALMACEN GERUDA LO ESPEJO;-70.68083991;-33.52312601
CARMEN ARANEDA GOMEZ;-70.56072166319444;-33.57626677083333
ALMACEN;-70.6310983333333;-33.5406205555555
JOSE ANTONIO LUNA RAMIREZ;-70.6579729;-33.4008017
GABRIEL;-70.65988334;-33.40988614
SEBASTIAN;-70.6010626388889;-33.60669902777778
JUANA HUENUN;-70.68548030634682;-33.58508964967516
MARIA ANGELICA - QUILICURA;-70.74196643939392;-33.361943449494945
TERESA MICAELA ARAYA ARAYA;-70.66081525;-33.39109066666666
MONICA DEL CARMEN MORALES CARES;-70.5663469929415;-33.5699539306027
LUCIA DE LOS ANGELES FUENTES GONZALEZ;-70.54425098;-33.46904913
MINIMARKET - PSJE. PAILLACO;-70.6118877935446;-33.620933239242845
CHRIS ;-70.72051728;-33.35270816
BUSTAMANTE;-70.7066513888888;-33.4724813888888
EDGAR COSME PORTAL;-70.7065919667437;-33.4414644927552
LOS ROBLES LA PINTANA;-70.64201139;-33.58700337
ELENA MINCHAN AMBROSIO;-70.5361847222222;-33.41448888888889
KIOSKO LAS CARRETAS;-70.578449;-33.431578
JUANITA;-70.7529148;-33.4164973
DON VICENTE;-70.7157983072916;-33.447817109375
ALMACEN DONDE IVAN;-70.5516327601861;-33.46602302042598
DAFNE;-70.56276626666667;-33.527231533333335
LA VALE EL BOSQUE;-70.68380735853458;-33.567822914405426
FREDDY EDISON VALENZUELA RIQUELME;-70.6507305562553;-33.57671781285276
MARIA TERESA;-70.6450131207735;-33.5369698874354
SAN ESTEBAN;-70.69585993697999;-33.457857044831776
SAN ALFONSO SN BERNARDO;-70.69111827;-33.58056155
POMPEYITA;-70.67795612;-33.51286149
KIOSKO MARIAN LA FLORIDA;-70.600016;-33.56222676
JASE MANUELA CORNEJO PEREZ;-70.5809953;-33.54368094
EL VECINO - LA  PINTANA;-70.6383977150537;-33.5626634946236
REPUBLICA DOMINICANA;-70.73243946484713;-33.4623445282946
OASIS - MAIPU II;-70.7557102;-33.513673600000004
BAZAR MARY LA FLORIDA;-70.59967951557142;-33.546760320366026
ANGELICA BEATRIZ BUSTOS RETAMAL;-70.61432470954713;-33.59040692459469
MILON;-70.743321;-33.667651
LOTO;-70.57531944444445;-33.6093277777778
MIGUEL AGUILERA;-70.55766685;-33.47595427
PUNTO ARCUICO;-70.62870143;-33.47031701
ANITA - LA FLORIDA;-70.60079640347087;-33.52301696108695
MONICA PILAR ESPINOZA MARTINEZ;-70.6289944871794;-33.400252051282
ROSITA;-70.6868241087579;-33.5050846561781
ELLEN MARLENE MOSCOSO GAS;-70.55635616738475;-33.59360142005146
GUILLERMINA ESTER;-70.6730765471254;-33.57857107027501
D LLA FRUIT;-70.7064117593493;-33.3655641126751
D Y D;-70.5656938114264;-33.5499736222131
CAMILA PUDAHUEL;-70.74709686;-33.43705396
DON JOSE LA FLORIDA;-70.58741653;-33.56927015
L Y L;-70.6502761282051;-33.3940063076923
MARKITO;-70.66145075;-33.49450266
ALMACEN CHARLY CHICO;-70.6450931803966;-33.5859315758334
FELIX RIVERA PONCE;-70.7032633333333;-33.6067033333333
FERNANDA-CHIGUAYANTE;-70.70272520172391;-33.5767942517638
LAS PASTORA PTE ALTO;-70.58651322;-33.60963157
GLADYS;-70.69900069444445;-33.624617777777786
DON BETO;-70.66313081413;-33.575610358146754
LUIS FERNANDO SILVA ARAVE;-70.73218409;-33.46812967
