UNIMARC LAS REJAS|341557|6295437|-33.4688|-70.7051|
UNIMARC JUAN ANTONIO RIOS|344654|6300950|-33.4196|-70.6708|
UNIMARC DORSAL|345813|6303739|-33.3946|-70.6579|
UNIMARC LO OVALLE|345865|6290181|-33.5168|-70.6596|
UNIMARC VICUÑA PARAD 19|352240|6287769|-33.5395|-70.5914|
UNIMARC ROJAS MAGALLANES|355636|6288215|-33.5359|-70.5548|
UNIMARC MIRADOR|350733|6290579|-33.5139|-70.6072|
UNIMARC VICENTE VALDES|351873|6289192|-33.5266|-70.5951|
UNIMARC LA REINA|355304|6298956|-33.439|-70.5566|
UNIMARC BATUCO|331559|6321701|-33.2305|-70.8077|
UNIMARC LARAPINTA|326185|6314537|-33.2942|-70.8667|
UNIMARC LAS CONDES|360519|6307004|-33.3672|-70.4993|
UNIMARC LOS MILITARES|354092|6302843|-33.4038|-70.569|
UNIMARC ESCUELA MILITAR|352587|6301559|-33.4152|-70.5854|
UNIMARC MANQUEHUE|354614|6300305|-33.4268|-70.5638|
UNIMARC LOS TRAPENSES|356747|6308095|-33.3568|-70.5396|
UNIMARC 2° TRANSVERSAL MAIPU|338125|6293198|-33.4885|-70.7424|
UNIMARC EL ROSAL|336856|6294219|-33.4791|-70.7559|
UNIMARC MAIPU 4 PONIENTE |333506|6288391|-33.5311|-70.793|
UNIMARC SILVA CARVALLO|335189|6288349|-33.5318|-70.7749|
UNIMARC ABRAZO DE MAIPU|335551|6287207|-33.5421|-70.7712|
UNIMARC IGNACIO CARRERA PINTO|352178|6295350|-33.4711|-70.5908|
UNIMARC IRARRAZAVAL|352854|6297184|-33.4547|-70.5833|
UNIMARC VILLA OLIMPICA|349440|6296297|-33.4622|-70.6201|
UNIMARC GRECIA|348999|6296862|-33.457|-70.6248|
UNIMARC LOS LEONES|351475|6297762|-33.4493|-70.598|
UNIMARC BUIN MAIPO|335520|6266251|-33.731|-70.7754|
UNIMARC MANUEL MONTT|350095|6297309|-33.4532|-70.6129|
UNIMARC CONSISTORIAL|356177|6293899|-33.4848|-70.548|
UNIMARC FCO. BILBAO|350678|6299014|-33.4379|-70.6064|
UNIMARC CIUDAD DE LOS VALLES|328622|6297415|-33.449|-70.8438|
UNIMARC CONCHA y TORO|353269|6283170|-33.5811|-70.5811|
UNIMARC TRONCAL SAN FRANCISCO|355568|6282217|-33.59|-70.5565|
UNIMARC CARRASCAL|342151|6300975|-33.419|-70.6977|
UNIMARC BUIN|338837|6266105|-33.7328|-70.7396|
UNIMARC ALTO JAHUEL|343961|6265942|-33.7351|-70.6844|
UNIMARC SAN JOAQUIN|347828|6291445|-33.5057|-70.6383|
UNIMARC GRAN AVENIDA 1|346251|6291646|-33.5037|-70.6552|
UNIMARC ESTADO|346718|6298498|-33.442|-70.649|
UNIMARC ESPACIO M|346246|6298861|-33.4386|-70.654|
UNIMARC RENCA BIGGER|337700|6302963|-33.4004|-70.7452|
UNIMARC VITACURA|352462|6303414|-33.3985|-70.5864|
UNIMARC SANTA MARIA|354095|6305848|-33.3767|-70.5685|
UNIMARC PUDAHUEL|338183|6298073|-33.4446|-70.7409|
UNIMARC HUECHURABA|344579|6308761|-33.3491|-70.6703|
UNIMARC EL ABRAZO|334730|6287029|-33.5436|-70.7801|
UNIMARC LOS DOMINICOS|356388|6302215|-33.4098|-70.5444|
UNIMARC ALFEREZ REAL|349784|6299041|-33.4375|-70.616|
OK MARKET ELIODORO YAÑEZ|348894|6299532|-33.433|-70.6255|
OK MARKET EL RODEO|358725|6308619|-33.3524|-70.5183|
Ok Market Ciudad Empresarial|349845|6303973|-33.393|-70.6145|
OK MARKET IRARRAZAVAL|352022|6297120|-33.4551|-70.5922|
Ok Market Macul|351421|6293707|-33.4858|-70.5993|
Ok Market Rosario Norte|353719|6302761|-33.4045|-70.573|
Ok Market Tobalaba|351037|6301174|-33.4185|-70.6021|
Ok Market Encomenderos|351024|6301376|-33.4166|-70.6022|
Ok Market Santa Blanca|357418|6308305|-33.355|-70.5324|
Ok Market Los Ingleses|343978|6315733|-33.2862|-70.6755|
UNIMARC TALAGANTE|319929|6272647|-33.6708|-70.9423|
UNIMARC NOS|342083|6276465|-33.6399|-70.7028|
OK MARKET SAN PASCUAL|353018|6301795|-33.4131|-70.5807|
